lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[EYE],34.0,36.0,30.0,29.0,31.0,33.0,52.0,43.0,54.0,50.0,60.0,60.0,68.0,55.0,79.0,61.0,60.0,54.0,82.0,971.0
[SECRET],26.0,26.0,26.0,9.0,15.0,36.0,19.0,23.0,23.0,25.0,23.0,2.0,20.0,9.0,24.0,14.0,24.0,16.0,20.0,380.0
[HAND],6.0,9.0,12.0,4.0,12.0,13.0,8.0,12.0,14.0,13.0,21.0,21.0,18.0,28.0,16.0,19.0,16.0,24.0,21.0,287.0
[MIND],2.0,4.0,3.0,8.0,8.0,9.0,12.0,6.0,20.0,10.0,20.0,26.0,13.0,20.0,20.0,19.0,14.0,14.0,24.0,252.0
[HOUSE],5.0,6.0,11.0,14.0,17.0,18.0,14.0,16.0,23.0,17.0,13.0,18.0,15.0,11.0,11.0,4.0,9.0,11.0,6.0,239.0
[WATCH],10.0,12.0,24.0,16.0,18.0,11.0,8.0,20.0,16.0,13.0,18.0,12.0,9.0,6.0,6.0,11.0,13.0,10.0,6.0,239.0
[WAY],6.0,10.0,5.0,20.0,7.0,11.0,9.0,18.0,11.0,20.0,3.0,12.0,17.0,13.0,13.0,11.0,13.0,8.0,10.0,217.0
[HEAD],3.0,2.0,4.0,7.0,11.0,9.0,4.0,11.0,6.0,12.0,9.0,14.0,17.0,12.0,9.0,12.0,18.0,20.0,19.0,199.0
[THING],2.0,11.0,5.0,4.0,5.0,9.0,5.0,9.0,11.0,17.0,12.0,8.0,15.0,8.0,17.0,12.0,14.0,18.0,16.0,198.0
[COMPANY],8.0,13.0,13.0,14.0,10.0,9.0,9.0,4.0,9.0,11.0,10.0,12.0,10.0,10.0,10.0,10.0,6.0,11.0,12.0,191.0
[MAN],4.0,9.0,7.0,7.0,10.0,11.0,6.0,11.0,11.0,13.0,11.0,17.0,12.0,14.0,8.0,13.0,7.0,6.0,12.0,189.0
[QUIET],1.0,6.0,2.0,7.0,11.0,7.0,11.0,9.0,9.0,17.0,16.0,14.0,14.0,6.0,10.0,10.0,9.0,8.0,5.0,172.0
[PLACE],10.0,2.0,5.0,11.0,12.0,9.0,8.0,7.0,10.0,12.0,11.0,12.0,8.0,13.0,5.0,4.0,11.0,5.0,11.0,166.0
[THINK],2.0,2.0,2.0,3.0,5.0,6.0,5.0,3.0,8.0,1.0,8.0,13.0,20.0,14.0,7.0,12.0,15.0,13.0,13.0,152.0
[WORD],12.0,2.0,13.0,9.0,13.0,15.0,17.0,8.0,15.0,11.0,8.0,3.0,0.0,4.0,3.0,2.0,6.0,3.0,6.0,150.0
[PROMISE],9.0,2.0,10.0,5.0,18.0,15.0,12.0,4.0,13.0,10.0,15.0,7.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,147.0
[FACE],4.0,2.0,7.0,5.0,5.0,2.0,8.0,6.0,7.0,7.0,8.0,13.0,13.0,7.0,12.0,8.0,17.0,5.0,10.0,146.0
