lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[EYE],4.0,9.0,7.0,8.0,12.0,11.0,8.0,12.0,8.0,13.0,28.0,29.0,23.0,36.0,22.0,25.0,15.0,27.0,25.0,322.0
[MIND],3.0,17.0,13.0,11.0,10.0,16.0,9.0,9.0,16.0,20.0,20.0,31.0,17.0,11.0,7.0,11.0,12.0,26.0,35.0,294.0
[PACE],17.0,13.0,18.0,11.0,17.0,15.0,8.0,15.0,10.0,12.0,9.0,13.0,11.0,16.0,10.0,15.0,11.0,4.0,8.0,233.0
[SECRET],12.0,9.0,7.0,7.0,7.0,8.0,15.0,8.0,9.0,6.0,9.0,7.0,10.0,9.0,9.0,15.0,9.0,7.0,12.0,175.0
[PEOPLE],2.0,4.0,7.0,3.0,5.0,3.0,3.0,8.0,5.0,11.0,6.0,13.0,12.0,12.0,11.0,8.0,22.0,13.0,9.0,157.0
[HAND],2.0,4.0,4.0,3.0,2.0,13.0,11.0,14.0,15.0,8.0,13.0,5.0,8.0,9.0,9.0,6.0,4.0,13.0,6.0,149.0
[MAN],8.0,3.0,5.0,9.0,9.0,8.0,15.0,5.0,12.0,11.0,13.0,12.0,8.0,4.0,10.0,4.0,1.0,3.0,5.0,145.0
[ORDER],4.0,9.0,11.0,4.0,4.0,6.0,2.0,10.0,5.0,18.0,10.0,9.0,4.0,6.0,6.0,9.0,5.0,2.0,3.0,127.0
[VIEW],13.0,15.0,16.0,17.0,14.0,14.0,4.0,8.0,5.0,3.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,122.0
[HOUSE],2.0,5.0,5.0,2.0,5.0,5.0,5.0,10.0,8.0,6.0,14.0,6.0,8.0,13.0,11.0,6.0,8.0,0.0,3.0,122.0
[THING],1.0,2.0,3.0,1.0,3.0,6.0,8.0,1.0,5.0,4.0,6.0,8.0,9.0,6.0,4.0,8.0,11.0,11.0,12.0,109.0
[PEACE],2.0,5.0,4.0,11.0,5.0,8.0,4.0,5.0,4.0,10.0,5.0,6.0,5.0,9.0,8.0,4.0,3.0,5.0,3.0,106.0
[WATCH],2.0,1.0,5.0,3.0,4.0,7.0,0.0,9.0,4.0,9.0,7.0,8.0,14.0,9.0,3.0,8.0,4.0,3.0,6.0,106.0
[PLACE],3.0,6.0,6.0,7.0,6.0,5.0,11.0,6.0,8.0,3.0,4.0,7.0,6.0,3.0,9.0,0.0,6.0,4.0,4.0,104.0
[TRACK],0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,5.0,13.0,6.0,7.0,11.0,12.0,7.0,16.0,13.0,98.0
[HEAD],3.0,6.0,1.0,4.0,1.0,4.0,5.0,7.0,6.0,2.0,5.0,6.0,3.0,11.0,4.0,4.0,9.0,3.0,11.0,95.0
[CHILD],1.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,7.0,5.0,12.0,3.0,8.0,6.0,4.0,4.0,10.0,14.0,94.0
[RECORD],5.0,0.0,4.0,1.0,4.0,6.0,3.0,3.0,3.0,2.0,3.0,13.0,4.0,6.0,4.0,8.0,8.0,6.0,4.0,87.0
[WORK],2.0,3.0,4.0,2.0,3.0,4.0,3.0,9.0,8.0,5.0,6.0,5.0,7.0,2.0,3.0,2.0,4.0,3.0,8.0,83.0
[WAY],1.0,1.0,6.0,9.0,4.0,2.0,5.0,2.0,6.0,7.0,6.0,5.0,5.0,7.0,2.0,2.0,7.0,1.0,5.0,83.0
[COMPANY],3.0,4.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,6.0,4.0,3.0,3.0,4.0,5.0,5.0,8.0,80.0
[SCHOOL],10.0,7.0,2.0,2.0,3.0,3.0,5.0,6.0,6.0,3.0,3.0,7.0,1.0,3.0,4.0,4.0,4.0,2.0,3.0,78.0
[STATE],7.0,5.0,8.0,6.0,4.0,4.0,4.0,9.0,4.0,2.0,3.0,2.0,4.0,1.0,7.0,3.0,0.0,2.0,2.0,77.0
[WATER],2.0,8.0,4.0,4.0,2.0,1.0,2.0,3.0,4.0,6.0,3.0,5.0,3.0,7.0,2.0,6.0,3.0,3.0,8.0,76.0
[FAMILY],0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,7.0,5.0,7.0,5.0,5.0,8.0,6.0,7.0,7.0,8.0,76.0
[HOME],5.0,2.0,3.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,3.0,7.0,4.0,7.0,5.0,6.0,10.0,4.0,4.0,74.0
[LINE],1.0,1.0,2.0,0.0,1.0,3.0,5.0,3.0,3.0,4.0,3.0,12.0,7.0,3.0,6.0,2.0,4.0,7.0,5.0,72.0
