lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[MIND],15.0,15.0,16.0,6.0,7.0,10.0,6.0,6.0,16.0,25.0,19.0,23.0,17.0,35.0,28.0,16.0,20.0,48.0,24.0,352.0
[EYE],6.0,11.0,8.0,10.0,5.0,15.0,8.0,11.0,6.0,13.0,10.0,6.0,11.0,7.0,7.0,17.0,11.0,7.0,10.0,179.0
[PLACE],6.0,17.0,11.0,21.0,3.0,7.0,20.0,10.0,4.0,14.0,3.0,10.0,5.0,11.0,3.0,7.0,3.0,5.0,8.0,168.0
[PACE],4.0,8.0,5.0,10.0,7.0,8.0,6.0,4.0,11.0,3.0,10.0,13.0,8.0,12.0,13.0,8.0,10.0,7.0,8.0,155.0
[ORDER],3.0,5.0,8.0,20.0,6.0,3.0,6.0,6.0,6.0,10.0,5.0,9.0,13.0,8.0,2.0,3.0,3.0,1.0,2.0,119.0
[HAND],3.0,3.0,4.0,9.0,7.0,8.0,10.0,8.0,8.0,14.0,3.0,8.0,3.0,7.0,4.0,9.0,5.0,3.0,2.0,118.0
[WATCH],7.0,7.0,2.0,5.0,6.0,14.0,10.0,13.0,9.0,7.0,6.0,4.0,5.0,3.0,3.0,5.0,10.0,0.0,1.0,117.0
[MAN],6.0,4.0,3.0,3.0,7.0,14.0,2.0,8.0,8.0,17.0,9.0,8.0,5.0,5.0,7.0,4.0,1.0,2.0,2.0,115.0
[SECRET],6.0,6.0,4.0,6.0,11.0,9.0,5.0,4.0,6.0,9.0,7.0,3.0,9.0,1.0,3.0,2.0,6.0,5.0,7.0,109.0
[HOUSE],1.0,8.0,4.0,7.0,7.0,8.0,11.0,4.0,6.0,7.0,4.0,4.0,4.0,5.0,10.0,4.0,2.0,2.0,6.0,104.0
[WATER],1.0,11.0,0.0,9.0,12.0,7.0,9.0,7.0,9.0,5.0,6.0,3.0,0.0,5.0,0.0,4.0,4.0,6.0,3.0,101.0
[PEOPLE],6.0,7.0,3.0,5.0,4.0,1.0,1.0,3.0,1.0,4.0,6.0,2.0,4.0,9.0,9.0,4.0,8.0,8.0,6.0,91.0
[VIEW],11.0,14.0,19.0,7.0,5.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,86.0
[RECORD],0.0,3.0,1.0,4.0,1.0,1.0,6.0,0.0,4.0,4.0,3.0,6.0,15.0,11.0,10.0,4.0,6.0,3.0,4.0,86.0
[COMPANY],3.0,4.0,3.0,8.0,5.0,6.0,2.0,4.0,1.0,3.0,9.0,1.0,5.0,7.0,6.0,3.0,2.0,7.0,6.0,85.0
[ACCOUNT],2.0,7.0,9.0,3.0,3.0,4.0,12.0,2.0,3.0,14.0,3.0,2.0,2.0,3.0,6.0,2.0,2.0,3.0,1.0,83.0
[STATE],3.0,8.0,12.0,8.0,5.0,2.0,4.0,3.0,6.0,5.0,5.0,5.0,1.0,3.0,3.0,3.0,0.0,1.0,2.0,79.0
