lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[SIGHT],55.0,66.0,73.0,63.0,65.0,70.0,69.0,47.0,50.0,47.0,52.0,28.0,19.0,34.0,24.0,19.0,18.0,24.0,19.0,842.0
[POWER],23.0,23.0,33.0,28.0,31.0,30.0,14.0,28.0,22.0,21.0,13.0,21.0,17.0,12.0,23.0,17.0,21.0,16.0,10.0,403.0
[MONEY],5.0,13.0,12.0,6.0,7.0,22.0,25.0,14.0,17.0,19.0,17.0,32.0,33.0,34.0,36.0,26.0,29.0,24.0,11.0,382.0
[MAN],19.0,24.0,23.0,20.0,32.0,30.0,15.0,26.0,23.0,17.0,16.0,23.0,16.0,19.0,19.0,11.0,8.0,16.0,11.0,368.0
[INTEREST],6.0,10.0,7.0,9.0,18.0,9.0,13.0,9.0,13.0,12.0,23.0,21.0,23.0,18.0,32.0,26.0,21.0,17.0,20.0,307.0
[LIFE],21.0,20.0,21.0,19.0,20.0,21.0,18.0,8.0,10.0,25.0,17.0,15.0,11.0,11.0,8.0,17.0,7.0,12.0,8.0,289.0
[WAY],6.0,12.0,12.0,16.0,14.0,23.0,10.0,18.0,16.0,18.0,25.0,17.0,16.0,10.0,16.0,17.0,14.0,14.0,9.0,283.0
[JOB],0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,6.0,10.0,33.0,24.0,12.0,24.0,20.0,43.0,54.0,44.0,279.0
[CONTROL],4.0,1.0,2.0,4.0,7.0,2.0,4.0,7.0,9.0,12.0,9.0,15.0,14.0,26.0,23.0,24.0,32.0,25.0,26.0,246.0
[WEIGHT],1.0,5.0,2.0,3.0,1.0,4.0,2.0,3.0,5.0,6.0,5.0,10.0,16.0,10.0,24.0,13.0,27.0,35.0,67.0,239.0
[SENSE],17.0,6.0,10.0,17.0,6.0,25.0,11.0,8.0,16.0,12.0,20.0,13.0,2.0,19.0,13.0,11.0,10.0,13.0,9.0,238.0
