lemma,count
sight,33
power,13
"",11
character,9
man,9
confidence,8
hear,7
interest,6
life,6
sense,5
truth,5
relish,4
thing,4
value,4
word,4
force,4
reason,4
part,4
ground,4
patience,4
influence,4
general,4
mind,3
hold,3
moment,3
money,3
son,3
opportunity,3
courage,3
effect,3
charm,3
state,2
consequence,2
people,2
importance,2
think,2
unity,2
strength,2
consciousness,2
reality,2
other,2
protest,2
faith,2
self-esteem,2
vessel,2
asperity,2
music,2
mild,2
capacity,2
patronage,2
condition,2
capital,2
circumstance,2
change,2
business,2
intellectual,2
age,2
chance,2
love,2
honor,2
fact,2
comparison,2
soul,2
crowd,2
vote,2
sort,2
desire,2
sympathy,2
comfort,2
live,2
customer,2
glory,2
contemplation,2
election,2
throne,2
splendor,2
manner,1
revelation,1
profit,1
mule,1
result,1
significance,1
object,1
body,1
bonaparte,1
presence,1
fishing,1
discretion,1
egyptian,1
openness,1
accident,1
paper,1
trace,1
voice,1
proportion,1
element,1
self,1
stamp,1
distance,1
democracy,1
tone,1
water,1
blow,1
struggle,1
page,1
clown,1
process,1
information,1
essence,1
trade,1
wisdom,1
identity,1
idea,1
attraction,1
minister,1
hesitation,1
support,1
present,1
apprehension,1
mischief,1
hiss,1
hut,1
mayor,1
affection,1
training,1
reading,1
notice,1
tbe,1
outworld,1
captain,1
heaven,1
integrity,1
hook,1
room,1
distinction,1
mean,1
benefactor,1
service,1
fanaticism,1
chang,1
pound,1
articulation,1
advantage,1
mission,1
coast,1
discrimination,1
virtue,1
symmetry,1
boldness,1
origin,1
ing,1
senate,1
estimation,1
corinthian,1
waste,1
issue,1
ship,1
essay,1
mass,1
member,1
sentimentalist,1
understanding,1
import,1
doctrine,1
terror,1
competition,1
fate,1
conviction,1
course,1
market,1
control,1
aspirant,1
public,1
glow,1
inhabitant,1
arrow,1
maze,1
progress,1
event,1
omnipotent,1
number,1
art,1
contribution,1
retrograde,1
writer,1
specimen,1
majority,1
movement,1
fire,1
revolution,1
post,1
tenacity,1
sir,1
side,1
respect,1
past,1
tail,1
government,1
look,1
prize,1
freshness,1
hope,1
husband,1
separation,1
army,1
memory,1
spot,1
gait,1
ally,1
wife,1
shipwreck,1
system,1
defense,1
slave,1
ear,1
view,1
representative,1
current,1
constituent,1
deity,1
policy,1
chief,1
dear,1
song,1
tributary,1
lie,1
branch,1
premium,1
bible,1
title,1
charity,1
picture,1
inquiry,1
sheep,1
vividness,1
existence,1
child,1
editor,1
method,1
book,1
hindrance,1
kin,1
reverence,1
liberty,1
self-respect,1
brother,1
measure,1
grief,1
attempt,1
daughter,1
spirit,1
pith,1
incapacity,1
cause,1
office,1
novelty,1
inconvenience,1
deliberation,1
pursuit,1
self-possession,1
way,1
auxiliary,1
president,1
still,1
discipline,1
tise,1
right,1
happiness,1
travel,1
tradition,1
justification,1
idiosyncrasy,1
supremacy,1
valor,1
difference,1
analogy,1
woman,1
vigor,1
taste,1
god,1
industry,1
temper,1
capitulation,1
world,1
individuality,1
renown,1
delay,1
stream,1
eye,1
invent,1
episcopalian,1
diminution,1
death,1
respectability,1
command,1
characteristic,1
revival,1
country,1
production,1
situation,1
remoteness,1
horse,1
palace,1
antiquity,1
enjoyment,1
self-indulgence,1
ink,1
argument,1
institution,1
possession,1
retrieval,1
connection,1
position,1
female,1
despotism,1
english,1
speech,1
degree,1
healthfulness,1
--,1
appointment,1
midst,1
success,1
