lemma,count
sight,63
"",34
power,28
man,20
life,19
queen,18
sense,17
way,16
heart,15
confidence,14
thing,13
--,12
soul,12
distance,11
faith,11
value,11
friend,11
head,11
wife,10
right,10
hold,10
treasure,9
party,9
opportunity,9
interest,9
charm,9
child,8
ground,8
character,8
stock,8
live,7
portion,7
influence,7
moment,7
father,7
honor,7
respect,7
balance,7
color,7
other,7
cause,6
think,6
memory,6
breath,6
daughter,6
money,6
truth,6
snow,6
wonder,6
elasticity,6
part,6
will,6
labor,6
admiration,6
maiden,6
chance,6
eye,6
principle,5
kind,5
feeling,5
swarm,5
caste,5
spirit,5
love,5
place,5
officer,5
use,5
idea,5
hive,5
word,5
object,5
cloud,5
habit,5
hope,5
parent,5
son,5
leaf,4
brother,4
want,4
tongue,4
mast,4
bee,4
//,4
companion,4
temper,4
patience,4
world,4
brightness,4
family,4
energy,4
strength,4
enthusiasm,4
people,4
pleasure,4
sea,4
majority,4
work,4
maze,4
mother,4
air,4
wit,4
point,4
rank,4
control,4
husband,4
fact,4
tone,3
woman,3
city,3
witness,3
opinion,3
author,3
grace,3
country,3
track,3
home,3
horse,3
whole,3
self-control,3
hound,3
presence,3
glory,3
wood,3
crown,3
peace,3
mean,3
dread,3
command,3
joy,3
navigator,3
number,3
race,3
office,3
art,3
knowledge,3
flesh,3
land,3
side,3
appearance,3
vitality,3
effect,3
be,3
feel,3
result,3
consciousness,3
book,3
battle,3
self-respect,3
dinner,3
beauty,3
sting,3
sleep,3
view,3
property,3
term,3
affection,3
relative,3
piece,3
position,3
trace,3
title,3
excursion,3
voice,3
light,3
blood,3
weight,3
expedition,3
mind,3
scalp,3
dignity,3
terror,3
study,3
favorite,3
heaven,3
identity,3
freedom,3
attention,2
limb,2
freshness,2
empire,2
student,2
fate,2
painting,2
tree,2
genius,2
competition,2
stroke,2
happiness,2
hearer,2
mist,2
article,2
disposition,2
support,2
nation,2
alick,2
note,2
form,2
fortune,2
hunter,2
seat,2
eternity,2
business,2
sound,2
estimate,2
roman,2
water,2
zeal,2
deal,2
pipe,2
member,2
attraction,2
satisfaction,2
disappointment,2
assistance,2
climb,2
catholic,2
amount,2
shore,2
gain,2
novelty,2
rock,2
thunder,2
meaning,2
fog,2
perception,2
action,2
dream,2
sister,2
smoke,2
master,2
path,2
angel,2
blessing,2
intensity,2
feather,2
lumber,2
meditation,2
reputation,2
seed,2
lesson,2
artist,2
hollow,2
attractiveness,2
wisdom,2
self,2
song,2
college,2
conscience,2
deep,2
vote,2
stand,2
eugenia,2
cry,2
merit,2
darkness,2
evil,2
paradise,2
lord,2
agency,2
reverie,2
estate,2
name,2
religion,2
wave,2
scent,2
baby,2
purse,2
house,2
sun,2
faculty,2
flower,2
spirit-wife,2
degree,2
walk,2
manner,2
throne,2
fanny,2
duty,2
leader,2
distinction,2
uncertainty,2
earth,2
animal,2
passage,2
relish,2
significance,2
isadore,2
learn,2
cora,2
living,2
fire,2
flame,2
commerce,2
judgment,2
boat,2
simplicity,2
cedar,2
friendship,2
taste,2
honey,2
labyrinth,2
elk,2
rest,2
letter,2
virtue,2
force,2
feature,2
manure,2
benefit,2
authority,2
health,2
lady,2
lustre,2
possession,2
forest,2
penalty,2
ear,2
favor,2
grossness,2
grass,2
change,2
general,2
shoe,2
passion,2
exchange,2
write,1
style,1
post,1
elevation,1
sinner,1
past,1
flood,1
mistake,1
tail,1
portmanteau,1
capacity,1
pocketbook,1
sunlight,1
neglect,1
safe,1
owner,1
thimble,1
coil,1
resistance,1
report,1
quarrel,1
apostle,1
dark,1
army,1
melody,1
dominion,1
dew,1
human,1
loser,1
mare,1
pass,1
heir,1
multitude,1
wage,1
redemption,1
slave,1
game,1
triumph,1
importation,1
crowd,1
remembrance,1
fright,1
ancestry,1
flavor,1
sport,1
iron-making,1
pet,1
cousin,1
music,1
pupil,1
attempt,1
incapacity,1
desire,1
ruler,1
qualification,1
shilling,1
field,1
justice,1
twin,1
citizen,1
inconvenience,1
hand,1
trouble,1
charge,1
courage,1
documentary,1
shakspeare,1
test,1
victory,1
neighboring,1
girl,1
history,1
awe,1
dependence,1
station,1
fullness,1
summit,1
state,1
restitution,1
pollen,1
profession,1
insult,1
scold,1
transit,1
rhyme,1
wig,1
appellation,1
emperor,1
humanity,1
level,1
self-command,1
attribute,1
ness,1
principal,1
mine,1
departure,1
recollection,1
safeguard,1
improvement,1
bottom,1
grandeur,1
deformity,1
jungle,1
crudity,1
occurrence,1
appointment,1
din,1
council,1
magic,1
carol,1
ripple,1
train,1
silence,1
armistice,1
physician,1
sort,1
midwinter,1
phlox,1
flock,1
brier,1
democracy,1
forwardness,1
violence,1
struggle,1
page,1
bill,1
fragrance,1
animosity,1
lease,1
background,1
chase,1
phenomenon,1
melancholy,1
church,1
lovelight,1
intellectual,1
exhaustion,1
integrity,1
plenipotentiaries,1
darling,1
collection,1
masterpiece,1
lee,1
gun,1
buoyancy,1
civility,1
bunker,1
kindness,1
scene,1
quantity,1
bundle,1
insert,1
wine,1
march,1
marks,1
counselor,1
el,1
removal,1
parliament,1
self-sustenance,1
repose,1
occasion,1
consequence,1
vigilance,1
fall,1
revolution,1
equal,1
mutter,1
victim,1
look,1
solution,1
ardor,1
reproof,1
capital,1
face,1
novel,1
mexican,1
widow,1
hammer,1
recovery,1
champion,1
largeness,1
self-direction,1
occupation,1
storm,1
relapse,1
disciple,1
personality,1
far-gone,1
childhood,1
valuables,1
bulk,1
tinge,1
inquiry,1
evidence,1
door,1
sorrow,1
regularity,1
carpet,1
unity,1
interval,1
endeavor,1
trunk,1
resonance,1
investment,1
step,1
whaling,1
perusal,1
coolness,1
self-management,1
garment,1
theme,1
wanderer,1
frolic,1
fatigue,1
insect,1
anchor,1
society,1
hair,1
sovereignty,1
individuality,1
village,1
heiress,1
spring,1
back,1
pond,1
lamentation,1
wind,1
sex,1
garrison,1
excitement,1
situation,1
equipoise,1
horror,1
daily,1
crucifix,1
research,1
zephyr,1
equivalent,1
wealth,1
herd,1
convulsion,1
attachment,1
reality,1
sentence,1
gloss,1
timber,1
fiend,1
outlay,1
body,1
subscription,1
tear,1
tyranny,1
loss,1
wound,1
expiation,1
efficiency,1
price,1
paper,1
element,1
proportion,1
haze,1
vacuity,1
confus,1
weed,1
uncle,1
bargain,1
soldier,1
inactivity,1
recess,1
apprehension,1
hemlock,1
fellow,1
lack,1
nerve,1
talk,1
account,1
nationality,1
whistling,1
hecatomb,1
breed,1
ethan,1
anathema,1
deliberation,1
weather,1
pursuit,1
complexion,1
languors,1
familiarity,1
sky,1
axe,1
apprentice,1
continent,1
tract,1
imagination,1
illustration,1
prejudice,1
hei,1
divinity,1
supper,1
channel,1
river,1
difference,1
sterne,1
dry,1
burgess,1
twinkle,1
blue,1
footing,1
passenger,1
ignorance,1
stare,1
clergy,1
delay,1
squall,1
act,1
andalusian,1
spectacle,1
restorative,1
disease,1
zeb,1
astonishment,1
appreciation,1
calm,1
tenet,1
theft,1
ancestor,1
peculiarity,1
sweetness,1
exception,1
bowers,1
humanize,1
worm,1
herbage,1
sailor,1
diadem,1
speech,1
lore,1
substance,1
oratory,1
fight,1
science,1
moon,1
rustle,1
end,1
tax,1
building,1
expression,1
finery,1
sovereign,1
ocean,1
poet,1
cost,1
fancy,1
wanderings,1
pantry,1
inheritance,1
bear-skin,1
pig,1
brood,1
pretense,1
moch,1
present,1
bearing,1
blaze,1
food,1
topic,1
return,1
shame,1
malice,1
regard,1
encampment,1
usefulness,1
manhood,1
clue,1
play,1
noise,1
boundary,1
ani,1
prestige,1
bend,1
bulwark,1
coast,1
experiment,1
rosalie,1
pocket-book,1
aspiration,1
boy,1
baggage,1
fruition,1
encumbrance,1
floe,1
fray,1
mass,1
interview,1
school,1
fairness,1
curtain,1
flag,1
wilderness,1
glow,1
ball,1
critic,1
arrow,1
intrusion,1
delight,1
event,1
definiteness,1
folly,1
tint,1
ambition,1
contribution,1
wheat,1
beginning,1
effort,1
imitation,1
image,1
jot,1
humor,1
sand,1
sum,1
species,1
spot,1
sensitiveness,1
rear,1
self-distrust,1
demerit,1
corporation,1
pulpit,1
tragedy,1
top,1
sincerity,1
serpent,1
watch,1
elder,1
trophy,1
brow,1
vision,1
landmark,1
butterfly,1
delicateness,1
intuition,1
threat,1
province,1
chief,1
kick,1
rose,1
pliny,1
contemplation,1
operation,1
willie,1
nature,1
float,1
civilization,1
picture,1
cope,1
sheep,1
winning,1
care,1
confusion,1
mortify,1
method,1
siege,1
speculation,1
sin,1
sake,1
resolution,1
discomfort,1
company,1
sword,1
better,1
bloom,1
reverence,1
insanity,1
approach,1
liberty,1
elysium,1
dog,1
ticket,1
grief,1
strand,1
delicacy,1
prepossessions,1
fear,1
basis,1
saint,1
town,1
quality,1
credit,1
musings,1
esteem,1
notion,1
characteristic,1
chill,1
musket,1
tittle,1
enemy,1
one,1
fashion,1
analyst,1
phrase,1
institution,1
foreknowledge,1
psalm,1
prayer,1
peak,1
gathering,1
foothold,1
cow,1
crew,1
ranger,1
decision,1
eurydice,1
material,1
emigrant,1
antagonist,1
profit,1
vessel,1
pledge,1
cheek,1
reform,1
skill,1
surrender,1
chasm,1
unresisting,1
process,1
aunt,1
saddle,1
zest,1
training,1
temporality,1
foam,1
bay,1
discussion,1
assumption,1
gates,1
curl,1
proof,1
vestige,1
gallantry,1
jewel,1
contingency,1
order,1
solidity,1
cattle,1
shot,1
supply,1
king,1
relief,1
shade,1
daylight,1
delegation,1
pilot,1
independence,1
comfort,1
advantage,1
fanatic,1
impression,1
crime,1
elf,1
importance,1
lover,1
purity,1
star,1
purchaser,1
division,1
suggestion,1
sensation,1
failure,1
estimation,1
sunshine,1
outline,1
forgiveness,1
indian,1
demon,1
trail,1
ship,1
pity,1
vapor,1
mismanagement,1
superiority,1
heritage,1
eurydices,1
locomotion,1
revenge,1
vivacity,1
ambassador,1
horizon,1
privilege,1
pride,1
thought,1
bishop,1
final,1
sensibility,1
indolence,1
weakness,1
tamper,1
jollity,1
waxen,1
specimen,1
