lemma,count
sight,20
money,15
life,9
love,7
"",7
charm,7
heart,6
friend,6
situation,6
place,6
look,6
sense,6
girl,6
man,6
soul,5
husband,5
earl,5
thing,5
head,5
faith,4
breath,4
world,4
think,4
way,4
wood,4
reason,4
respect,3
light,3
position,3
fortune,3
dream,3
power,3
courage,3
force,3
interest,3
woman,3
game,3
word,3
reality,3
shadow,3
hold,3
moment,3
beauty,2
paper,2
happiness,2
sheep,2
sorrow,2
character,2
prize,2
child,2
son,2
wit,2
thread,2
tone,2
consciousness,2
health,2
sake,2
reckoning,2
piece,2
arm,2
road,2
dew,2
control,2
sister,2
race,2
hand,2
battle,2
ground,2
haste,2
doctor,2
patience,2
esteem,2
command,2
eyesight,2
presence,2
number,2
smile,2
shoe,2
sleep,2
land,2
father,2
shore,2
dear,2
panic,1
grace,1
trade,1
thinkin,1
wording,1
preliminary,1
prize-money,1
home,1
influence,1
admiration,1
pain,1
chase,1
murmur,1
fellow,1
child-look,1
holocaust,1
parasol,1
doubt,1
future,1
glove,1
dell,1
return,1
malice,1
banker,1
strife,1
contest,1
weight,1
jewel,1
heaven,1
usefulness,1
incredulity,1
route,1
distinction,1
room,1
daylight,1
loveliness,1
abandon,1
white,1
fee,1
mistress,1
principle,1
comfort,1
self-interest,1
advantage,1
fat,1
treasure,1
vista,1
stress,1
family,1
importance,1
virtue,1
discrimination,1
lover,1
standard,1
distinctness,1
inlet,1
settin,1
token,1
color,1
boy,1
joy,1
quantity,1
trail,1
alarm,1
ship,1
cunning,1
tool,1
line,1
hue,1
consolation,1
nurse,1
mess,1
school,1
ward,1
space,1
shout,1
hairpin,1
woo,1
depth,1
relish,1
shift,1
forehead,1
latouche,1
glow,1
fur,1
cora,1
live,1
maze,1
altitude,1
offer,1
conversation,1
doom,1
people,1
street,1
flesh,1
farm,1
caste,1
silver,1
chord,1
nag,1
sinner,1
share,1
run,1
confidence,1
french,1
appearance,1
descent,1
condition,1
sunlight,1
pluck,1
cloak,1
whirlwind,1
olive,1
army,1
dark,1
memory,1
derrick,1
turn,1
guise,1
age,1
letter,1
sensitiveness,1
tune,1
circle,1
receptivity,1
honor,1
cabin,1
crowd,1
widow,1
alien,1
fervor,1
sparkle,1
vision,1
doing,1
gesture,1
snare,1
miracle,1
mother,1
thief,1
rose,1
key,1
prominence,1
sadness,1
contemplation,1
truth,1
operation,1
curiosity,1
aspect,1
misery,1
abyss,1
fourpence,1
fierceness,1
door,1
whirlpool,1
carpet,1
wave,1
care,1
endeavor,1
anchorage,1
tooth,1
fish,1
half,1
investment,1
appetite,1
composure,1
wanness,1
closing,1
company,1
other,1
ferry,1
dust,1
liberty,1
fan,1
hotel,1
sech,1
frost,1
habit,1
temper,1
pathos,1
fear,1
stream,1
town,1
telegram,1
quality,1
guard,1
languor,1
restraint,1
chill,1
help,1
creature,1
stand,1
amazement,1
harangue,1
lighter,1
strength,1
emanation,1
journey,1
mystery,1
wealth,1
sea,1
be,1
crew,1
degree,1
measure,1
undergrowth,1
immensity,1
dream-land,1
vitality,1
daughter,1
spirit,1
cause,1
cud,1
sentiment,1
grasp,1
sorter,1
pursuit,1
story,1
meaning,1
self-possession,1
larcom,1
ring,1
rule,1
spire,1
discourse,1
boat,1
madeline,1
banality,1
right,1
name,1
tradition,1
bear,1
portia,1
nearness,1
homeliness,1
responsibility,1
god,1
city,1
glory,1
fascination,1
footing,1
perfume,1
glimpse,1
observance,1
grandson,1
form,1
hear,1
illusion,1
mind,1
enjoyment,1
wonderment,1
mine,1
track,1
preoccupation,1
mist,1
autograph-seeker,1
pomp,1
lead,1
speech,1
idee,1
girlhood,1
gold,1
anxiety,1
revelation,1
heaviness,1
sound,1
news,1
silence,1
volume,1
dis,1
expression,1
balance,1
step-daughter,1
ideal,1
sauce,1
smoke,1
trace,1
distance,1
garden,1
paradise,1
hero,1
democracy,1
deal,1
exchange,1
merthyr,1
gay,1
danger,1
knife,1
