lemma,count
sight,9
power,9
"",8
life,7
live,6
weight,6
head,5
interest,5
character,5
war,4
way,4
horse,4
cause,4
prestige,4
vowel,4
land,4
semblance,3
reality,3
sense,3
control,3
position,3
right,3
money,3
wealth,3
child,3
hold,3
faith,3
tusk,2
leg,2
identity,2
energy,2
manner,2
place,2
specimen,2
favor,2
importance,2
electron,2
result,2
touch,2
battle,2
authority,2
generation,2
man,2
value,2
answer,2
vitality,2
lake,2
moisture,2
part,2
point,2
ground,2
heart,2
effect,2
possession,2
other,2
form,2
river,2
phoneme,2
fight,2
enemy,2
self-respect,2
evaporation,2
mineral,2
province,2
resemblance,2
sleep,2
bind,2
significance,2
independence,2
recollection,1
phrase,1
enthusiasm,1
heat,1
footnote,1
lead,1
grain,1
particular,1
speech,1
custom,1
degree,1
aleut,1
substance,1
anarchy,1
appeal,1
membership,1
popularity,1
treason,1
father,1
sentence,1
vessel,1
sound,1
drive,1
train,1
manufacture,1
object,1
pointedness,1
silence,1
body,1
excursion,1
dispatch,1
efficiency,1
trace,1
proportion,1
cross,1
pilgrim,1
pictorial,1
environment,1
deal,1
salt,1
candle-power,1
colony,1
dignity,1
samel,1
process,1
individual,1
diet,1
translation,1
yard,1
aid,1
iodine,1
experience,1
word,1
district,1
contact,1
fellow,1
connotation,1
wood,1
bearing,1
treaty,1
food,1
piece,1
size,1
selfhood,1
church,1
hinterland,1
substratum,1
fondness,1
actuality,1
empire,1
regard,1
veto,1
intellectual,1
saracen,1
refinement,1
calcium,1
student,1
deposit,1
tribe,1
egoism,1
advantage,1
decadent,1
tie,1
relat,1
volatilization,1
stress,1
force,1
labor,1
standard,1
suggestion,1
causality,1
throng,1
whole,1
color,1
rate,1
friendship,1
prophet,1
luster,1
member,1
school,1
chance,1
space,1
fact,1
luck,1
orgy,1
market,1
tonnage,1
public,1
grouping,1
disturbance,1
pigment,1
calvin,1
thought,1
inhabitant,1
maze,1
potlatch,1
claim,1
conversation,1
spoilage,1
navy,1
ambition,1
weakness,1
art,1
self-containedness,1
fire,1
effort,1
caste,1
question,1
friend,1
consumer,1
traffic,1
sample,1
government,1
solution,1
run,1
general,1
disquiet,1
feature,1
prerogative,1
work,1
combat,1
aptitude,1
wonder,1
face,1
activity,1
army,1
memory,1
business,1
age,1
long-treasured,1
sanctity,1
ally,1
producer,1
some--,1
soul,1
reputation,1
self-evidence,1
center,1
pianist,1
afte,1
sparkle,1
list,1
superabundance,1
villager,1
chief,1
prominence,1
source,1
moment,1
personality,1
thesis,1
dutch,1
affair,1
cubit,1
height,1
picture,1
entreaty,1
talent,1
existence,1
soo,1
transparency,1
think,1
unity,1
inhere,1
reason,1
tooth,1
appetite,1
sake,1
tenderness,1
organ,1
romance,1
tendency,1
court,1
convention,1
self-control,1
sister,1
habit,1
temper,1
uniform,1
world,1
grip,1
measure,1
credit,1
lord,1
nerve,1
pupil,1
editorial,1
originality,1
revenue,1
literature,1
knowledge,1
hand,1
meaning,1
aura,1
example,1
brittleness,1
relevance,1
radiation,1
reflection,1
mildness,1
discipline,1
self-realization,1
boat,1
lady,1
brain,1
ethos,1
self-esteem,1
cooperation,1
forfeit,1
justification,1
valve,1
catholic,1
quarter,1
epoch,1
taste,1
extent,1
responsibility,1
dry,1
raison,1
entity,1
temperament,1
beam,1
contrast,1
contour,1
relativity,1
equilibrium,1
merit,1
illusion,1
penetration,1
sphere,1
death,1
comment,1
characteristic,1
d'etre,1
czech,1
plan,1
love,1
creature,1
chaos,1
vote,1
situation,1
one,1
gild,1
glass,1
transfer,1
permanganate,1
nose,1
execution,1
motion,1
instance,1
darkness,1
