lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[SIGHT],13.0,25.0,19.0,15.0,23.0,27.0,20.0,14.0,14.0,14.0,14.0,9.0,5.0,8.0,10.0,2.0,6.0,9.0,7.0,254.0
[MONEY],1.0,4.0,6.0,4.0,3.0,15.0,15.0,10.0,11.0,16.0,8.0,9.0,8.0,7.0,15.0,6.0,6.0,5.0,1.0,150.0
[MAN],9.0,7.0,4.0,7.0,10.0,4.0,6.0,10.0,10.0,8.0,5.0,13.0,4.0,9.0,8.0,2.0,4.0,6.0,4.0,130.0
[WAY],1.0,7.0,9.0,6.0,6.0,10.0,4.0,5.0,8.0,10.0,11.0,10.0,7.0,4.0,7.0,8.0,3.0,8.0,2.0,126.0
[TEMPER],3.0,0.0,2.0,0.0,5.0,5.0,1.0,7.0,9.0,10.0,17.0,13.0,10.0,20.0,2.0,7.0,5.0,5.0,4.0,125.0
[INTEREST],3.0,1.0,0.0,3.0,8.0,5.0,3.0,9.0,4.0,2.0,9.0,7.0,8.0,7.0,12.0,16.0,11.0,4.0,7.0,119.0
[LIFE],11.0,13.0,8.0,10.0,8.0,5.0,9.0,3.0,2.0,6.0,7.0,2.0,4.0,2.0,3.0,6.0,5.0,5.0,2.0,111.0
[SENSE],12.0,3.0,2.0,5.0,4.0,10.0,6.0,1.0,7.0,6.0,9.0,7.0,0.0,7.0,5.0,7.0,3.0,6.0,3.0,103.0
[HEAD],2.0,0.0,0.0,2.0,2.0,7.0,5.0,6.0,6.0,19.0,11.0,12.0,8.0,12.0,2.0,3.0,1.0,3.0,1.0,102.0
[CONTROL],0.0,0.0,0.0,2.0,5.0,1.0,2.0,3.0,4.0,5.0,5.0,8.0,6.0,10.0,6.0,11.0,11.0,9.0,12.0,100.0
[THINK],3.0,2.0,8.0,5.0,7.0,11.0,4.0,0.0,5.0,10.0,14.0,1.0,2.0,2.0,3.0,5.0,9.0,3.0,4.0,98.0
[MIND],3.0,5.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,6.0,9.0,3.0,7.0,7.0,6.0,15.0,11.0,95.0
[POWER],6.0,13.0,5.0,4.0,8.0,9.0,3.0,6.0,3.0,4.0,1.0,2.0,2.0,0.0,5.0,3.0,7.0,5.0,5.0,91.0
[JOB],0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,4.0,8.0,4.0,2.0,9.0,3.0,8.0,18.0,18.0,83.0
[ISLAND],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,77.0,0.0,81.0
[BALANCE],0.0,3.0,2.0,3.0,1.0,8.0,1.0,5.0,1.0,3.0,4.0,11.0,5.0,4.0,7.0,7.0,7.0,4.0,3.0,79.0
[HEART],1.0,4.0,2.0,7.0,3.0,7.0,6.0,3.0,4.0,5.0,4.0,1.0,3.0,1.0,3.0,3.0,4.0,5.0,7.0,73.0
[FAITH],1.0,0.0,0.0,5.0,8.0,7.0,4.0,3.0,11.0,0.0,8.0,3.0,0.0,3.0,2.0,4.0,3.0,5.0,3.0,70.0
[FRIEND],5.0,4.0,12.0,5.0,4.0,5.0,6.0,5.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,5.0,0.0,2.0,70.0
[PLEIAD],1.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
[PLACE],2.0,0.0,2.0,3.0,8.0,2.0,6.0,8.0,3.0,3.0,0.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,7.0,68.0
[CHILD],4.0,3.0,9.0,4.0,2.0,6.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,8.0,2.0,67.0
[MOMENT],4.0,3.0,11.0,2.0,6.0,1.0,3.0,5.0,3.0,5.0,4.0,2.0,3.0,2.0,0.0,2.0,3.0,3.0,4.0,66.0
[SOUL],4.0,1.0,9.0,8.0,6.0,1.0,5.0,2.0,3.0,3.0,4.0,6.0,3.0,0.0,2.0,3.0,0.0,3.0,3.0,66.0
[TRACK],2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,8.0,1.0,3.0,10.0,11.0,10.0,66.0
[THING],2.0,1.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,5.0,6.0,5.0,3.0,2.0,6.0,2.0,1.0,4.0,3.0,63.0
[WEIGHT],0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,7.0,1.0,7.0,3.0,14.0,17.0,6.0,63.0
[CONSCIOUSNESS],3.0,2.0,1.0,3.0,1.0,9.0,2.0,1.0,2.0,3.0,7.0,0.0,2.0,1.0,3.0,3.0,4.0,6.0,6.0,59.0
[PATIENCE],3.0,4.0,0.0,2.0,5.0,3.0,2.0,3.0,7.0,6.0,2.0,3.0,1.0,1.0,1.0,5.0,3.0,3.0,4.0,58.0
[CHANCE],2.0,2.0,1.0,3.0,2.0,6.0,0.0,7.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,1.0,3.0,0.0,52.0
[WIFE],8.0,6.0,3.0,5.0,1.0,4.0,0.0,2.0,1.0,4.0,1.0,0.0,1.0,4.0,0.0,5.0,1.0,0.0,6.0,52.0
[LOVE],1.0,3.0,2.0,5.0,7.0,6.0,7.0,2.0,1.0,0.0,2.0,5.0,1.0,4.0,1.0,0.0,0.0,1.0,4.0,52.0
[WORLD],3.0,1.0,4.0,1.0,6.0,3.0,4.0,2.0,1.0,3.0,0.0,4.0,4.0,1.0,2.0,1.0,3.0,4.0,4.0,51.0
[FATHER],4.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,5.0,49.0
[CHARM],0.0,7.0,3.0,6.0,4.0,3.0,7.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,48.0
[LOOK],2.0,0.0,1.0,1.0,1.0,4.0,6.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,1.0,3.0,0.0,2.0,3.0,46.0
[MOTHER],4.0,4.0,1.0,4.0,2.0,3.0,1.0,1.0,0.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,6.0,46.0
[SON],8.0,6.0,4.0,2.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,3.0,45.0
[OPPORTUNITY],10.0,5.0,3.0,1.0,2.0,5.0,0.0,2.0,5.0,3.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,45.0
[GIRL],0.0,1.0,0.0,1.0,3.0,0.0,6.0,3.0,6.0,2.0,3.0,1.0,2.0,6.0,0.0,3.0,2.0,1.0,4.0,44.0
[NERVE],0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,8.0,4.0,6.0,1.0,1.0,7.0,5.0,1.0,1.0,2.0,3.0,43.0
