lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[SIGHT],21.0,24.0,33.0,35.0,27.0,21.0,35.0,22.0,21.0,14.0,21.0,10.0,5.0,14.0,6.0,10.0,9.0,9.0,6.0,343.0
[MONEY],1.0,4.0,3.0,0.0,1.0,3.0,9.0,3.0,3.0,1.0,8.0,20.0,15.0,20.0,18.0,11.0,14.0,16.0,6.0,156.0
[POWER],12.0,8.0,13.0,10.0,15.0,8.0,6.0,9.0,6.0,5.0,5.0,10.0,6.0,7.0,9.0,4.0,9.0,3.0,3.0,148.0
[JOB],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,25.0,14.0,6.0,7.0,13.0,28.0,29.0,13.0,141.0
[MAN],2.0,5.0,9.0,11.0,10.0,9.0,3.0,8.0,7.0,4.0,3.0,8.0,9.0,10.0,8.0,5.0,3.0,10.0,4.0,128.0
[INTEREST],2.0,8.0,6.0,6.0,7.0,3.0,5.0,0.0,5.0,6.0,11.0,9.0,8.0,5.0,12.0,7.0,3.0,5.0,7.0,115.0
[WEIGHT],0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,1.0,2.0,8.0,6.0,8.0,14.0,52.0,102.0
[LIFE],4.0,4.0,6.0,2.0,7.0,8.0,7.0,3.0,3.0,4.0,8.0,6.0,6.0,4.0,3.0,6.0,1.0,7.0,4.0,93.0
[FAITH],1.0,1.0,2.0,2.0,0.0,3.0,4.0,4.0,4.0,8.0,10.0,11.0,9.0,7.0,2.0,6.0,6.0,5.0,3.0,88.0
[GROUND],1.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,6.0,5.0,6.0,3.0,9.0,8.0,7.0,3.0,2.0,4.0,85.0
[CONTROL],3.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,9.0,6.0,9.0,12.0,9.0,8.0,82.0
[WAR],0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,21.0,8.0,7.0,9.0,7.0,6.0,5.0,76.0
[WAY],3.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,5.0,11.0,3.0,6.0,2.0,4.0,6.0,5.0,4.0,3.0,76.0
[BATTLE],3.0,2.0,0.0,3.0,3.0,1.0,7.0,2.0,1.0,3.0,3.0,5.0,5.0,8.0,3.0,8.0,5.0,7.0,6.0,75.0
