lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[SIGHT],21.0,17.0,21.0,13.0,15.0,22.0,14.0,11.0,15.0,19.0,17.0,9.0,9.0,12.0,8.0,7.0,3.0,6.0,6.0,245.0
[POWER],5.0,2.0,15.0,14.0,8.0,13.0,5.0,13.0,13.0,12.0,7.0,9.0,9.0,5.0,9.0,10.0,5.0,8.0,2.0,164.0
[MAN],8.0,12.0,10.0,2.0,12.0,17.0,6.0,8.0,6.0,5.0,8.0,2.0,3.0,0.0,3.0,4.0,1.0,0.0,3.0,110.0
[LIFE],6.0,3.0,7.0,7.0,5.0,8.0,2.0,2.0,5.0,15.0,2.0,7.0,1.0,5.0,2.0,5.0,1.0,0.0,2.0,85.0
[WAY],2.0,2.0,2.0,9.0,4.0,10.0,2.0,9.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,6.0,2.0,4.0,81.0
[MONEY],3.0,5.0,3.0,2.0,3.0,4.0,1.0,1.0,3.0,2.0,1.0,3.0,10.0,7.0,3.0,9.0,9.0,3.0,4.0,76.0
[WEIGHT],1.0,3.0,2.0,1.0,1.0,3.0,0.0,3.0,4.0,2.0,2.0,6.0,8.0,7.0,9.0,4.0,5.0,4.0,9.0,74.0
[INTEREST],1.0,1.0,1.0,0.0,3.0,1.0,5.0,0.0,4.0,4.0,3.0,5.0,7.0,6.0,8.0,3.0,7.0,8.0,6.0,73.0
[SENSE],3.0,1.0,3.0,10.0,1.0,6.0,3.0,3.0,6.0,2.0,3.0,3.0,1.0,4.0,3.0,2.0,6.0,3.0,4.0,67.0
[CONTROL],1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,3.0,4.0,7.0,11.0,4.0,9.0,7.0,6.0,64.0
[PART],8.0,3.0,6.0,3.0,5.0,5.0,2.0,1.0,6.0,3.0,2.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,0.0,62.0
[JOB],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,6.0,4.0,8.0,4.0,7.0,7.0,13.0,55.0
[WAR],1.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,2.0,2.0,4.0,3.0,5.0,6.0,3.0,3.0,8.0,5.0,51.0
[OPPORTUNITY],1.0,3.0,5.0,4.0,3.0,6.0,3.0,5.0,2.0,3.0,5.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,51.0
[--],5.0,3.0,5.0,10.0,3.0,8.0,2.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,49.0
[CONFIDENCE],1.0,4.0,1.0,8.0,8.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,8.0,2.0,3.0,2.0,5.0,1.0,1.0,48.0
[LIVE],1.0,2.0,1.0,2.0,6.0,7.0,1.0,0.0,3.0,4.0,1.0,6.0,2.0,0.0,1.0,4.0,0.0,2.0,4.0,47.0
[CHARACTER],2.0,1.0,5.0,3.0,0.0,2.0,4.0,4.0,2.0,1.0,5.0,5.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,46.0
[HEAD],0.0,0.0,1.0,5.0,0.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0,45.0
[FAITH],0.0,0.0,0.0,4.0,2.0,5.0,3.0,1.0,1.0,1.0,7.0,3.0,5.0,3.0,3.0,2.0,3.0,1.0,1.0,45.0
[FATHER],2.0,6.0,4.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,9.0,1.0,0.0,7.0,1.0,44.0
[VALUE],3.0,2.0,1.0,4.0,1.0,3.0,0.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,8.0,2.0,42.0
[FRIEND],8.0,2.0,4.0,3.0,5.0,2.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,41.0
[CHILD],2.0,2.0,1.0,3.0,1.0,6.0,0.0,5.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,4.0,0.0,41.0
[HOLD],1.0,0.0,2.0,4.0,0.0,7.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,0.0,2.0,1.0,4.0,0.0,2.0,40.0
[BATTLE],0.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,39.0
[HEAT],0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,6.0,2.0,3.0,1.0,0.0,5.0,5.0,1.0,1.0,8.0,0.0,37.0
[WORLD],4.0,0.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,37.0
[PROPERTY],1.0,5.0,3.0,0.0,0.0,6.0,3.0,2.0,3.0,3.0,4.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,37.0
[RIGHT],1.0,5.0,1.0,6.0,3.0,3.0,1.0,0.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,36.0
[HOPE],2.0,0.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,5.0,2.0,2.0,5.0,36.0
[GROUND],0.0,0.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,6.0,2.0,1.0,3.0,1.0,0.0,35.0
[TEMPER],0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,1.0,6.0,2.0,3.0,1.0,3.0,1.0,0.0,34.0
[EYE],1.0,2.0,4.0,5.0,2.0,4.0,1.0,5.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,34.0
[STRENGTH],5.0,0.0,2.0,3.0,1.0,0.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,7.0,1.0,1.0,3.0,0.0,0.0,33.0
[SIGNIFICANCE],0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,32.0
[IDENTITY],0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,6.0,2.0,2.0,3.0,4.0,3.0,31.0
[CAUSE],2.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,31.0
[HEART],1.0,3.0,1.0,4.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,30.0
[TOUCH],0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,0.0,7.0,29.0
[FORCE],3.0,0.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,29.0
[INFLUENCE],4.0,0.0,4.0,2.0,3.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,28.0
[WORK],3.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,28.0
[SOUL],2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,1.0,2.0,28.0
[OTHER],3.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,28.0
[WIFE],0.0,2.0,0.0,5.0,4.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,28.0
[PATIENCE],1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,28.0
[LAND],1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,3.0,2.0,5.0,0.0,3.0,26.0
[PLACE],0.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,7.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,26.0
[MOMENT],4.0,3.0,1.0,2.0,1.0,3.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,26.0
[SON],1.0,2.0,2.0,1.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,25.0
[CASE],0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,4.0,24.0
[IMPORTANCE],1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,24.0
[MOTHER],2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,2.0,24.0
[POSITION],0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,5.0,4.0,0.0,0.0,24.0
[ABILITY],0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,5.0,3.0,6.0,23.0
[WATER],0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,1.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,1.0,23.0
[COLOR],0.0,3.0,0.0,3.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0
[FORM],0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,22.0
[ENERGY],0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,2.0,1.0,1.0,0.0,22.0
[MIND],2.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,22.0
[USE],2.0,1.0,3.0,2.0,0.0,1.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,22.0
[CHARM],1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,21.0
[QUALITY],1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,21.0
[EFFECT],1.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,21.0
[FACT],0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,21.0
[NUMBER],0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,5.0,21.0
[QUEEN],0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0
[HILL],1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0
[HOUSE],4.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,20.0
[MEMORY],1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,19.0
[TASTE],0.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,19.0
[THING],1.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0
[FIGHT],0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,0.0,3.0,19.0
[HAND],0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,19.0
[CONSCIOUSNESS],0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,19.0
[BOOK],0.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0
[WANT],1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0
[MEANING],0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,6.0,0.0,0.0,18.0
[PUBLIC],1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,18.0
[ART],0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,18.0
[ADVANTAGE],2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,18.0
