lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[POSITION],3.0,10.0,16.0,13.0,8.0,13.0,12.0,15.0,12.0,10.0,11.0,10.0,4.0,11.0,17.0,6.0,2.0,6.0,11.0,190.0
[ORDER],4.0,4.0,3.0,7.0,15.0,10.0,4.0,11.0,5.0,12.0,13.0,11.0,10.0,20.0,23.0,13.0,7.0,13.0,2.0,187.0
[RIGHT],8.0,16.0,18.0,7.0,13.0,12.0,11.0,5.0,2.0,5.0,6.0,2.0,4.0,3.0,0.0,5.0,4.0,4.0,1.0,126.0
[STANDARD],1.0,0.0,0.0,1.0,1.0,5.0,4.0,2.0,10.0,12.0,4.0,10.0,21.0,5.0,16.0,5.0,5.0,15.0,2.0,119.0
[FORCE],7.0,4.0,6.0,3.0,6.0,3.0,9.0,3.0,10.0,2.0,5.0,4.0,2.0,7.0,7.0,7.0,8.0,2.0,2.0,97.0
[POWER],3.0,6.0,6.0,7.0,6.0,5.0,1.0,1.0,3.0,8.0,3.0,2.0,8.0,5.0,11.0,7.0,5.0,6.0,4.0,97.0
[LEVEL],2.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,2.0,6.0,8.0,4.0,9.0,10.0,16.0,14.0,15.0,94.0
[GOVERNMENT],6.0,1.0,7.0,7.0,15.0,5.0,6.0,2.0,5.0,4.0,6.0,4.0,3.0,8.0,1.0,4.0,4.0,4.0,1.0,93.0
[STATE],3.0,4.0,7.0,6.0,7.0,6.0,6.0,5.0,5.0,2.0,5.0,3.0,7.0,3.0,6.0,3.0,6.0,4.0,4.0,92.0
[RELATION],3.0,4.0,2.0,2.0,4.0,6.0,7.0,6.0,8.0,4.0,3.0,4.0,7.0,6.0,4.0,4.0,6.0,6.0,4.0,90.0
[LIFE],1.0,1.0,2.0,1.0,6.0,7.0,2.0,2.0,7.0,10.0,5.0,4.0,13.0,4.0,2.0,9.0,6.0,3.0,2.0,87.0
[SYSTEM],3.0,2.0,10.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,2.0,2.0,4.0,5.0,4.0,7.0,9.0,10.0,2.0,87.0
[LAW],2.0,8.0,4.0,16.0,8.0,3.0,5.0,4.0,2.0,5.0,5.0,3.0,0.0,1.0,12.0,2.0,1.0,2.0,3.0,86.0
[PEACE],0.0,5.0,4.0,9.0,6.0,2.0,2.0,3.0,3.0,4.0,8.0,8.0,4.0,8.0,5.0,4.0,6.0,0.0,4.0,85.0
[CONTROL],1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,3.0,4.0,9.0,3.0,8.0,5.0,12.0,13.0,9.0,81.0
