lemma,count
right,8
liberty,7
"",5
constitution,4
position,4
law,4
labourer,4
principle,4
action,4
character,4
claim,3
order,3
man,3
power,3
institution,3
species,3
authority,3
parent,2
payment,2
proposition,2
ground,2
breach,2
state,2
appearance,2
present,2
slavery,2
/z/,2
congress,2
interest,2
resident,2
opinion,2
expense,2
bank,2
case,2
public,2
difference,1
limit,1
lirst,1
profession,1
coin,1
bim,1
extent,1
gravity,1
god,1
contrary,1
habit,1
society,1
rate,1
gospel,1
consistency,1
salvation,1
advance,1
correspondence,1
suit,1
reduction,1
circulation,1
act,1
suffrage,1
stern,1
will,1
perpendicular,1
school,1
superiority,1
person,1
doctrine,1
fact,1
credit,1
competition,1
form,1
demeanor,1
control,1
establishment,1
calm,1
notion,1
critic,1
economy,1
inhabitant,1
country,1
atonement,1
submission,1
stand,1
navy,1
people,1
fire,1
necessity,1
farm,1
elevation,1
recommendation,1
scripture,1
war,1
possession,1
jot,1
grandeur,1
general,1
purpose,1
ardor,1
feature,1
peace,1
prerogative,1
speech,1
resistance,1
degree,1
worthy,1
performance,1
age,1
business,1
wife,1
object,1
fetus,1
silence,1
union,1
beauty,1
vigour,1
light,1
dispatch,1
beaver,1
paper,1
protection,1
distance,1
democracy,1
water,1
dignity,1
colony,1
dependency,1
note,1
lafayette,1
minister,1
disposition,1
wrong,1
discussion,1
precedent,1
correspondent,1
regard,1
welfare,1
relation,1
attitude,1
inviolate,1
cause,1
source,1
earth,1
operation,1
knowledge,1
nature,1
offering,1
example,1
way,1
existence,1
child,1
party,1
discipline,1
population,1
savage,1
distinction,1
point,1
angle,1
spread,1
fee,1
con,1
independence,1
supremacy,1
class,1
civility,1
fort,1
fertility,1
family,1
intention,1
subordination,1
force,1
fortitude,1
