lemma,count
position,10
order,6
"",6
relation,5
attitude,4
discipline,4
state,4
independence,4
right,4
authority,4
body,3
existence,3
man,3
theory,3
library,3
stand,3
army,3
people,3
public,3
city,3
quality,3
peace,3
family,3
force,3
law,3
school,3
use,2
system,2
life,2
point,2
place,2
line,2
honor,2
correspondence,2
level,2
soldier,2
supremacy,2
reserve,2
country,2
fight,2
communication,2
midst,2
freedom,2
art,2
balance,2
style,2
cost,2
way,2
hold,2
question,2
principle,2
government,2
woman,2
war,2
armament,2
standard,2
//,2
dignity,2
ignorance,1
determination,1
nation,1
equilibrium,1
friendliness,1
will,1
credit,1
form,1
trading-post,1
tenet,1
maximum,1
committee,1
variation,1
monopoly,1
chemical,1
gift,1
negative,1
evil,1
narrowing,1
administration,1
tide,1
sanction,1
purpose,1
english,1
bank,1
foothold,1
sea,1
degree,1
success,1
fame,1
vessel,1
operate,1
domination,1
schism,1
accident,1
disaster,1
immortality,1
voice,1
press,1
democracy,1
water,1
signal,1
religion,1
colony,1
confederacy,1
essence,1
morality,1
trade,1
minister,1
aid,1
steam,1
character,1
present,1
affection,1
house,1
manufacturing,1
shape,1
weight,1
empire,1
regard,1
poise,1
endowment,1
difficulty,1
security,1
safety,1
service,1
health,1
class,1
fort,1
money,1
after-life,1
coast,1
fixity,1
senate,1
contrary,1
meeting,1
tariff,1
block,1
miscalculation,1
commerce,1
zone,1
consideration,1
composition,1
doctrine,1
interest,1
advertiser,1
control,1
establishment,1
living,1
event,1
surveillance,1
chancellor,1
ambition,1
metal,1
preponderance,1
revolution,1
movement,1
side,1
land,1
respect,1
arbitration,1
friend,1
mistake,1
french,1
interference,1
municipality,1
opposition,1
condition,1
benefit,1
worthy,1
quo,1
face,1
race,1
period,1
pass,1
rail,1
defense,1
union,1
patience,1
expense,1
energy,1
culture,1
edifice,1
measure,1
status,1
policy,1
attention,1
hand-to-mouth,1
enlistment,1
cause,1
convenience,1
field,1
operation,1
knowledge,1
teaching,1
duty,1
part,1
gentile,1
roadway,1
nature,1
constitution,1
branch,1
value,1
community,1
island,1
bureau,1
civilization,1
inquiry,1
picture,1
ascendancy,1
hierarchy,1
oath,1
think,1
effluent,1
party,1
hospital,1
disinclination,1
reason,1
orphan,1
hate,1
organization,1
tradition,1
faith,1
atmosphere,1
rank,1
gambling,1
floodplain,1
choir,1
convention,1
arm,1
nationalist,1
road,1
successor,1
czar,1
habit,1
industry,1
clean,1
footing,1
conflict,1
sanity,1
