lemma,count
level,15
health,13
position,11
family,10
balance,10
rate,9
control,9
integrity,8
contact,7
identity,6
security,6
--,6
stability,6
tie,5
composure,5
weight,5
interest,5
temperature,4
community,4
income,4
lifestyle,4
state,4
advantage,4
average,4
city,4
peace,4
policy,4
diet,4
power,4
quo,4
status,4
relation,4
profile,3
grip,3
student,3
concentration,3
muscle,3
growth,3
law,3
safety,3
record,3
course,3
pressure,3
function,3
price,3
product,3
skin,3
relationship,3
army,3
air,3
support,3
capability,3
stance,2
present,2
productivity,2
breast,2
group,2
dominance,2
abolition,2
metabolism,2
live,2
leadership,2
effect,2
friendship,2
boundary,2
allegiance,2
animal,2
end,2
silence,2
job,2
bacterium,2
engagement,2
machinery,2
economy,2
home,2
zone,2
efficiency,2
tactic,2
question,2
presence,2
resource,2
country,2
land,2
program,2
self-esteem,2
capacity,2
standard,2
condition,2
facility,2
access,2
//,2
production,2
performance,2
force,2
image,2
heart,2
dignity,2
sense,2
connection,2
laboratory,2
share,2
system,2
tone,2
fitness,2
education,2
moisture,2
ensemble,2
solution,2
set,2
view,2
alliance,2
account,2
vehicle,2
regime,2
order,2
oil,2
edge,2
illusion,2
dialogue,2
independence,2
customer,2
part,2
focus,2
tank,2
school,2
equilibrium,2
island,2
training,2
satisfaction,2
ecosystem,2
spacing,2
file,2
party,2
life,2
attitude,2
residence,2
member,2
bone,2
hive,2
race,2
superiority,2
case,2
form,2
space,2
participation,2
mystery,2
semester,1
brothel,1
segregation,1
aristotelean,1
consulate,1
vigilance,1
art,1
orbit,1
authoritarianism,1
movement,1
majority,1
farm,1
effort,1
beginning,1
competitiveness,1
ansary,1
well-toned,1
look,1
government,1
bridge,1
realisation,1
capital,1
humility,1
face,1
species,1
islam,1
swagger,1
period,1
ehb,1
heterolocalism,1
problem,1
ground,1
asian,1
tilt,1
conception,1
opportunity,1
vision,1
culture,1
turnover,1
welfare,1
freezer,1
per-capita,1
attention,1
clip,1
sacrifice,1
song,1
fishery,1
subject,1
resilience,1
front-office,1
operation,1
feel,1
elasticity,1
missile,1
telecommunication,1
nature,1
loft,1
blood,1
legacy,1
isolation,1
care,1
hold,1
surroundings,1
dioxide,1
assembly,1
copyright,1
step,1
siege,1
95-degree,1
universe,1
twig,1
component,1
company,1
other,1
reverence,1
wardrobe,1
court,1
approach,1
photograph,1
analysis,1
self-respect,1
charm,1
limit,1
low-impact,1
mestizo,1
slavery,1
port,1
peg,1
digester,1
raven,1
suppression,1
corollary,1
boresight,1
sovereignty,1
world,1
collagen,1
board,1
biodiversity,1
eye,1
reduction,1
cat,1
quality,1
sharpness,1
laser,1
addition,1
chain,1
option,1
bedside,1
dialect,1
enemy,1
radical,1
primary,1
strength,1
landscape,1
authority,1
prayer,1
research,1
barrier,1
quasar,1
use,1
wealth,1
decision,1
degree,1
tour,1
stimulation,1
soil,1
edmondo,1
success,1
manner,1
handful,1
body,1
cadence,1
intimacy,1
suppleness,1
light,1
skill,1
participant,1
boardercross,1
self,1
usfk,1
distance,1
garden,1
damali,1
colony,1
schedule,1
study,1
immigration,1
band,1
reaction,1
county,1
employment,1
career,1
suspense,1
sanctions-based,1
peanut,1
myth,1
fast,1
community-based,1
knee,1
house,1
administrator,1
congress,1
reference,1
site,1
saving,1
detachment,1
region,1
distinction,1
two-bar,1
speed,1
overall,1
casting,1
application,1
blackout,1
syreeta,1
plant,1
resiliency,1
staff,1
airway,1
importance,1
partner,1
discrimination,1
plain,1
labor,1
punishment,1
man,1
habitat,1
heteroreferentiality,1
involvement,1
failure,1
virulence,1
routine,1
sexuality,1
pull,1
trail,1
tension,1
infrastructure,1
livestock,1
mineral,1
hydrogen,1
apiary,1
pope,1
ward,1
kitchen,1
fallout,1
heritage,1
demeanor,1
local-number-portability,1
market,1
kind,1
objectivity,1
thought,1
pace,1
network,1
roller,1
calendar,1
restriction,1
number,1
equality,1
people,1
hygiene,1
champourcn,1
post,1
prosperity,1
skateboard,1
recommendation,1
lindh,1
confidence,1
diary,1
calorie-burning,1
work,1
harmony,1
joint,1
utility,1
duress,1
trust,1
human,1
assistance,1
wage,1
fleet,1
slave,1
reputation,1
turbine,1
co-worker,1
denomination,1
version,1
ability,1
navigation,1
momentum,1
cutting,1
music,1
attempt,1
field,1
car,1
hand,1
compound,1
value,1
charge,1
colleague,1
auxiliary,1
history,1
discipline,1
direction,1
fullness,1
three-bedroom,1
normality,1
collaboration,1
bike,1
name,1
ownership,1
department,1
bruttium,1
intelligence,1
spill,1
deterrent,1
example,1
decommission,1
rule,1
university,1
suffering,1
right,1
happiness,1
justification,1
inventory,1
supremacy,1
dichter,1
aircraft,1
catholic,1
well-worn,1
quarter,1
relative,1
difference,1
european,1
woman,1
neutrality,1
basque,1
simplicity,1
responsibility,1
god,1
gentility,1
industry,1
spy,1
emergency-calling,1
grandchildren,1
grade,1
ascent,1
bond,1
observance,1
birth,1
agency,1
small-town,1
calm,1
death,1
artery,1
principal,1
loyalty,1
track,1
corsican,1
continuity,1
carry,1
satellite,1
custody,1
place,1
"",1
primacy,1
approximation,1
winner,1
exercise,1
peninsula,1
workweek,1
sales,1
resident,1
embassy,1
well-being,1
goal,1
link,1
timetable,1
expression,1
triceps,1
radio,1
niki,1
flock,1
homeowner,1
teacher,1
voice,1
terrain,1
clarity,1
viability,1
flow,1
firm,1
team,1
ethic,1
water,1
environment,1
exchange,1
phidias,1
spending,1
note,1
flexibility,1
morale,1
peace-inducing,1
e-mail,1
controversy,1
practice,1
influence,1
peach-fuzz,1
shut-out,1
pretense,1
commitment,1
media,1
food,1
reading,1
church,1
empire,1
jalani,1
structure,1
privacy,1
route,1
room,1
calcium,1
mean,1
white,1
service,1
penalty,1
yield,1
apartment,1
reauthorization,1
gun,1
agent,1
cartilage,1
prestige,1
bend,1
feeling,1
virtue,1
carbon,1
solidarity,1
joy,1
mop,1
equipment,1
consistency,1
artist,1
microwave,1
diversity,1
posture,1
correspondence,1
mass,1
undergraduate,1
fact,1
cruise,1
rest,1
liability,1
snowpack,1
slide,1
appea,1
establishment,1
estate,1
public,1
