lemma,count
position,3
composure,3
dignity,2
city,2
damali,1
board,1
power,1
residence,1
quality,1
interest,1
demeanor,1
agency,1
control,1
illusion,1
kind,1
controversy,1
shut-out,1
thought,1
pretense,1
orbit,1
primary,1
house,1
income,1
skateboard,1
well-toned,1
privacy,1
three-bedroom,1
lifestyle,1
order,1
other,1
approximation,1
reverence,1
edmondo,1
duress,1
apartment,1
tie,1
case,1
machinery,1
quarter,1
equipment,1
expression,1
ground,1
tilt,1
view,1
vehicle,1
silence,1
edge,1
self,1
raven,1
