lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[WAY],100.0,160.0,143.0,164.0,164.0,211.0,177.0,203.0,175.0,201.0,174.0,154.0,148.0,153.0,156.0,164.0,133.0,156.0,205.0,3141.0
[MAN],127.0,175.0,161.0,163.0,219.0,182.0,218.0,209.0,193.0,212.0,198.0,136.0,148.0,127.0,112.0,88.0,72.0,64.0,51.0,2855.0
[USE],155.0,178.0,136.0,129.0,165.0,94.0,117.0,104.0,136.0,148.0,152.0,103.0,123.0,114.0,108.0,92.0,103.0,87.0,67.0,2311.0
[EFFORT],111.0,102.0,94.0,83.0,80.0,158.0,99.0,125.0,117.0,116.0,129.0,92.0,89.0,104.0,96.0,75.0,96.0,61.0,70.0,1897.0
[MIND],69.0,91.0,90.0,95.0,109.0,170.0,102.0,137.0,145.0,158.0,141.0,97.0,119.0,106.0,71.0,54.0,73.0,35.0,34.0,1896.0
[DIFFERENCE],34.0,46.0,48.0,67.0,59.0,86.0,80.0,83.0,118.0,109.0,104.0,115.0,143.0,126.0,119.0,99.0,115.0,115.0,118.0,1784.0
[MONEY],13.0,41.0,46.0,33.0,65.0,84.0,89.0,82.0,91.0,108.0,79.0,186.0,116.0,103.0,116.0,134.0,103.0,111.0,92.0,1692.0
[MISTAKE],17.0,24.0,20.0,31.0,37.0,68.0,80.0,89.0,93.0,116.0,107.0,93.0,114.0,111.0,103.0,101.0,114.0,119.0,135.0,1572.0
[THING],51.0,61.0,52.0,50.0,49.0,70.0,55.0,66.0,96.0,97.0,100.0,94.0,79.0,95.0,79.0,79.0,90.0,72.0,68.0,1403.0
[SENSE],4.0,11.0,10.0,10.0,2.0,8.0,9.0,5.0,5.0,8.0,12.0,32.0,58.0,105.0,131.0,151.0,220.0,257.0,270.0,1308.0
[PEOPLE],29.0,45.0,56.0,42.0,65.0,53.0,59.0,69.0,55.0,67.0,67.0,71.0,61.0,98.0,89.0,86.0,79.0,75.0,88.0,1254.0
[LIFE],34.0,39.0,53.0,44.0,67.0,71.0,66.0,69.0,106.0,88.0,72.0,79.0,59.0,70.0,71.0,69.0,67.0,65.0,63.0,1252.0
[APPEARANCE],76.0,153.0,122.0,158.0,120.0,101.0,58.0,52.0,59.0,37.0,43.0,31.0,44.0,46.0,34.0,22.0,26.0,21.0,32.0,1235.0
[DECISION],8.0,8.0,7.0,4.0,5.0,9.0,10.0,9.0,12.0,25.0,34.0,38.0,92.0,129.0,156.0,126.0,174.0,168.0,180.0,1194.0
[ATTEMPT],78.0,78.0,61.0,54.0,64.0,90.0,50.0,67.0,48.0,84.0,71.0,63.0,60.0,46.0,41.0,38.0,31.0,32.0,25.0,1081.0
[HOME],27.0,36.0,52.0,59.0,65.0,69.0,63.0,64.0,70.0,83.0,71.0,65.0,72.0,62.0,36.0,35.0,48.0,34.0,30.0,1041.0
[SPEECH],44.0,55.0,45.0,60.0,53.0,62.0,40.0,79.0,59.0,66.0,70.0,86.0,67.0,77.0,61.0,42.0,40.0,11.0,18.0,1035.0
[PROGRESS],54.0,74.0,78.0,72.0,76.0,51.0,36.0,56.0,59.0,83.0,51.0,35.0,36.0,58.0,32.0,45.0,52.0,44.0,39.0,1031.0
[IMPRESSION],91.0,93.0,74.0,72.0,46.0,63.0,74.0,55.0,50.0,69.0,59.0,50.0,50.0,41.0,29.0,26.0,15.0,20.0,20.0,997.0
[LAW],109.0,116.0,87.0,84.0,79.0,52.0,66.0,73.0,33.0,45.0,39.0,33.0,32.0,34.0,22.0,23.0,24.0,20.0,12.0,983.0
[POINT],33.0,37.0,28.0,30.0,34.0,35.0,26.0,34.0,42.0,51.0,36.0,41.0,49.0,76.0,100.0,87.0,83.0,60.0,78.0,960.0
[PART],58.0,89.0,64.0,49.0,48.0,58.0,57.0,44.0,51.0,62.0,34.0,47.0,61.0,39.0,41.0,41.0,40.0,37.0,40.0,960.0
[PUBLIC],51.0,54.0,50.0,43.0,58.0,45.0,51.0,35.0,58.0,45.0,66.0,49.0,55.0,44.0,38.0,36.0,58.0,29.0,29.0,894.0
[WORK],30.0,45.0,40.0,35.0,46.0,43.0,51.0,60.0,47.0,63.0,35.0,56.0,50.0,41.0,46.0,45.0,44.0,63.0,53.0,893.0
[NOISE],25.0,25.0,31.0,45.0,31.0,36.0,27.0,44.0,42.0,45.0,53.0,62.0,67.0,46.0,62.0,57.0,63.0,57.0,60.0,878.0
