lemma,count
"",71
appearance,62
law,57
use,55
man,40
way,38
mind,32
hive,31
progress,28
difference,24
--,24
part,22
noise,21
speech,20
public,20
thing,20
impression,20
war,19
provision,19
arrangement,18
inquiry,18
matter,17
work,17
bee,17
king,17
slave,17
drawing,17
attempt,16
plant,16
effort,16
remark,16
judge,15
comb,15
show,15
fortune,15
acquaintance,15
point,14
fire,14
escape,14
people,14
iron,14
swarm,13
other,13
object,13
change,13
bust,13
state,13
light,13
lime,12
answer,12
money,12
purpose,12
preparation,12
place,12
subject,12
top,12
friend,11
side,11
bow,11
report,11
order,11
discovery,11
power,11
improvement,11
water,11
house,11
party,11
land,10
letter,10
sacrifice,10
sort,10
hole,10
/z/,10
number,10
art,10
experiment,10
master,10
kind,10
mistake,9
chief,9
justice,9
model,9
air,9
examination,9
general,9
stock,9
present,9
wood,9
mention,9
face,9
selection,9
resistance,9
observation,9
case,9
peace,9
addition,8
plate,8
person,8
deficiency,8
allowance,8
rush,8
wife,8
world,8
head,8
instrument,8
lord,8
mortar,8
circuit,8
book,7
display,7
bread,7
walk,7
application,7
bed,7
marble,7
principle,7
concession,7
room,7
sign,7
oath,7
school,7
society,7
government,7
defense,7
picture,7
science,7
journey,7
jury,7
cut,7
figure,7
egg,7
body,7
excursion,7
whole,7
paper,7
study,7
exertion,7
name,7
profession,7
country,7
speed,7
division,7
alteration,7
reply,7
settlement,7
stone,6
mass,6
character,6
extract,6
property,6
tour,6
attack,6
voyage,6
beast,6
lighter,6
idea,6
colony,6
tree,6
flower,6
education,6
trial,6
animal,6
cell,6
stand,6
growth,6
occasion,6
claim,6
piece,6
hospital,6
painter,6
calculation,6
return,6
survey,6
love,6
enemy,6
knowledge,6
view,6
edge,5
affair,5
burn,5
ground,5
word,5
pleasure,5
home,5
class,5
advantage,5
wind,5
family,5
court,5
want,5
authority,5
bottom,5
vessel,5
favorite,5
catholic,5
heart,5
road,5
visit,5
sand,5
religion,5
perfection,5
island,5
choice,5
haste,5
end,5
species,5
sport,5
passage,5
request,5
meal,5
approach,5
cry,5
fact,5
nature,5
term,5
complaint,5
door,5
judgment,5
manner,5
church,5
skin,5
promise,5
arrow,5
right,5
french,5
cover,5
line,5
statement,5
treaty,5
business,5
plain,5
distinction,5
course,4
worker,4
gravel,4
firm,4
mark,4
soldier,4
servant,4
retreat,4
slavery,4
effect,4
measure,4
bush,4
nerve,4
foot,4
juror,4
silk,4
street,4
chalk,4
hand,4
philosophy,4
solution,4
sugar,4
direction,4
instruction,4
governor,4
mode,4
copy,4
bark,4
english,4
opening,4
length,4
officer,4
assertion,4
ball,4
statute,4
proof,4
opinion,4
plan,4
amount,4
step,4
secret,4
period,4
wealth,4
execution,4
success,4
gentleman,4
sound,4
current,4
rule,4
turn,4
regulation,4
foundation,4
bone,4
article,4
repair,4
chancellor,4
filippo,4
difficulty,4
operation,4
balloon,4
brother,4
material,4
duty,4
ship,4
frame,4
size,4
member,4
teacher,4
sheet,4
condition,4
descent,4
indictment,4
establishment,4
preemption,4
metal,4
advance,4
process,4
queen,4
variety,4
collection,4
legislation,4
freedom,4
earth,4
pound,4
trip,4
child,4
interest,4
superintendent,4
strength,4
truth,4
company,4
center,4
fun,4
board,4
interior,4
weather,4
glass,4
territory,3
question,3
decree,3
fast,3
one,3
mistress,3
hut,3
manure,3
bargain,3
kitchen,3
vehicle,3
confession,3
mud,3
suit,3
independent,3
beginning,3
flame,3
president,3
behalf,3
plank,3
wit,3
cake,3
structure,3
existence,3
dispatch,3
trouble,3
wheel,3
chamois,3
profit,3
shirt,3
odor,3
sight,3
birch,3
introduction,3
parliament,3
life,3
ring,3
plaster,3
experience,3
construction,3
hunt,3
boat,3
investigation,3
reference,3
lady,3
mouth,3
example,3
control,3
pattern,3
constitution,3
seminary,3
umbrella,3
rock,3
revolution,3
race,3
despotism,3
companion,3
run,3
oil,3
native,3
floor,3
loss,3
province,3
mean,3
car,3
exploration,3
discourse,3
record,3
purchase,3
pursuit,3
design,3
portion,3
appointment,3
border,3
average,3
student,3
circle,3
lead,3
resource,3
marriage,3
institution,3
drone,3
virtue,3
bishop,3
acquisition,3
jonas,3
start,3
hill,3
detour,3
havoc,3
county,3
flour,3
declaration,3
submission,3
weapon,3
spirit,3
weight,3
motion,3
smoke,3
amends,3
occurrence,3
representation,3
pollen,3
influence,3
freeman,3
soil,3
bag,3
pole,3
leaf,3
principal,3
joint,3
labor,3
account,3
spot,3
sense,3
conquest,3
welcome,3
language,3
bar,3
apology,3
prayer,3
sketch,3
lawn,2
expectation,2
branch,2
building,2
compensation,2
sovereign,2
oppression,2
total,2
camp,2
burden,2
evidence,2
neighbor,2
thickness,2
flourish,2
conformity,2
minister,2
substitute,2
estimate,2
commissioner,2
food,2
act,2
future,2
elector,2
expedient,2
dupe,2
security,2
colour,2
ivy,2
color,2
scope,2
increase,2
contract,2
entry,2
illustration,2
scruple,2
delay,2
motive,2
capital,2
casting,2
boy,2
tool,2
civilization,2
requisite,2
ornament,2
estate,2
port,2
surface,2
blood,2
refuse,2
community,2
hall,2
worth,2
cup,2
brick,2
stout,2
wager,2
uniform,2
sum,2
usurpation,2
pie,2
demonstration,2
distress,2
take,2
monument,2
anecdote,2
pen,2
thought,2
spring,2
diameter,2
likeness,2
care,2
height,2
guest,2
halt,2
whiting,2
seat,2
bird,2
flanges,2
reason,2
river,2
method,2
square,2
capt,2
net,2
demand,2
executive,2
conscience,2
faith,2
correction,2
evil,2
combination,2
argument,2
pauper,2
brush,2
moon,2
exclamation,2
pretension,2
research,2
fear,2
basis,2
abstract,2
consequence,2
bee-keeping,2
idleness,2
subservient,2
command,2
clay,2
root,2
stick,2
attainment,2
age,2
reflection,2
coffee,2
anxiety,2
leap,2
utility,2
result,2
wing,2
ance,2
mock,2
degree,2
linen,2
garden,2
amendment,2
dissection,2
wall,2
information,2
saddle,2
university,2
mixture,2
inequality,2
revelation,2
pass,2
father,2
timber,2
mountain,2
iceberg,2
outlay,2
lamp,2
daguerreotype,2
avalanche,2
anglican,2
headway,2
attorneygeneral,2
shrubbery,2
produce,2
string,2
papist,2
encroachment,2
price,2
think,2
qualification,2
field,2
cross,2
chance,2
leather,2
parade,2
tyrant,2
citizen,2
vow,2
criminal,2
shell,2
nation,2
charcoal,2
gain,2
dagger,2
clergy,2
operator,2
move,2
eye,2
set,2
objection,2
harmony,2
hope,2
separation,2
coronation,2
stagger,2
human,2
trade,2
grand-jury,2
stranger,2
union,2
expense,2
domain,2
pioneer,2
music,2
delegate,2
bronze,2
stay,2
cost,2
inspection,2
china,2
rest,2
farmer,2
laugh,2
help,2
doubt,2
earl,2
charge,2
cloak,2
christian,2
stuff,2
victory,2
proposition,2
history,2
wool,2
investment,2
table,2
secretary,2
ascent,2
treasury,2
piping,2
prerogative,2
excuse,2
shape,2
god,2
messrs,2
level,2
favour,2
cold,2
call,2
mine,2
springs,2
system,2
stride,2
lesson,2
grasshopper,2
departure,2
cattle,2
particular,2
barrel,2
canoe,2
maple,2
din,2
salt,2
rail,2
inroad,2
map,2
shore,2
burnet,2
signal,2
pilgrimage,2
series,2
load,2
shoe,2
seaman,2
hedge,2
presence,2
content,2
suggestion,2
exposition,2
son,2
assent,2
theology,2
box,2
service,2
penalty,2
indian,2
window,2
force,2
wax,2
kindness,2
cotton,2
scene,2
form,2
sally,2
violation,2
margin,2
soup,2
hero,2
address,2
ore,2
cluster,2
dark,2
blow,2
abhorrence,2
medium,2
roman,2
page,2
buy,2
market,2
enactment,2
cultivation,2
periodical,2
privilege,2
quiver,2
orchard,2
pack,2
note,2
sail,2
ice,2
nucleus,2
triangle,2
axle,2
reel,2
partition,2
archbishop,2
parachute,2
shoot,2
lawyer,2
practice,2
mother,2
admission,2
harbour,2
wharton,2
representative,2
consent,2
appropriation,2
slaveholder,2
double,2
blaze,2
dread,2
approbation,2
lunatic,2
forest,2
appeal,2
sincerity,1
lace,1
kite,1
beaver,1
edifice,1
culture,1
mail,1
list,1
lard,1
healing,1
proposal,1
sure-footed,1
song,1
tributary,1
herdsman,1
legation,1
dance,1
peer,1
excellence,1
title,1
pantomime,1
wagon,1
thermometer,1
pot,1
sheep,1
laughing-stock,1
deterioration,1
levee,1
walking-stick,1
confusion,1
peril,1
claimant,1
magnesia,1
shire,1
population,1
bouquet,1
brilliancy,1
mill,1
reign,1
discomfort,1
defect,1
outcry,1
dust,1
bloom,1
insanity,1
screw,1
path,1
reprisal,1
fitting,1
instrumentality,1
satisfaction,1
jailer,1
phalanges,1
dough,1
reward,1
conflict,1
preemptor,1
grass,1
exit,1
credit,1
bushel,1
mamamouchi,1
builder,1
monarch,1
aggregation,1
beech,1
chaos,1
breakfast,1
fashion,1
affectation,1
be,1
railroad,1
castiron,1
distance,1
rapidity,1
ruin,1
thorn,1
location,1
official,1
career,1
treatise,1
machine,1
wrong,1
discharge,1
grit,1
affection,1
doge,1
pier,1
muriate,1
assault,1
region,1
supply,1
assortment,1
pilot,1
rag,1
thread,1
fat,1
microcosm,1
bough,1
pozzuolana,1
job,1
manufactory,1
contrary,1
outline,1
eccentric,1
mistrust,1
fne,1
semicircle,1
poll,1
concealment,1
consideration,1
compliment,1
ward,1
self-exculpation,1
pig-iron,1
crustacea,1
statue,1
pride,1
absence,1
covenant,1
d'autre,1
agreement,1
final,1
utterance,1
misdemeanor,1
duration,1
slit,1
charter,1
good,1
hereafter,1
excise,1
confidence,1
baron,1
halloo,1
disguise,1
//,1
blessedness,1
war-drums,1
pruning,1
walling,1
plumber,1
wage,1
reputation,1
ventilation,1
patrician,1
anvil,1
dash,1
apiarian,1
pet,1
grammar,1
cutting,1
incapacity,1
daughter,1
desire,1
revenue,1
ruler,1
heave,1
inconvenience,1
goth,1
grape,1
colleague,1
puddle,1
test,1
blur,1
base,1
see,1
steeple,1
development,1
canal,1
restitution,1
supremacy,1
woman,1
countenance,1
simplicity,1
responsibility,1
beam,1
innovation,1
appendage,1
entourage,1
humanity,1
warrant,1
panorama,1
croghan,1
proverb,1
agriculture,1
track,1
orange,1
waterfall,1
laddie,1
store,1
damp,1
jurisdiction,1
sanctuary,1
deduction,1
angel,1
stinginess,1
sap,1
crudity,1
exercise,1
performance,1
tinder,1
council,1
embassy,1
toilet,1
shad,1
autograph,1
hostility,1
well-rotted,1
piety,1
discretion,1
imputation,1
plea,1
rent,1
youth,1
struggle,1
knights,1
bill,1
studio,1
exigency,1
background,1
column,1
mischief,1
oval,1
temperature,1
manufacturer,1
compromise,1
reading,1
protestant,1
personage,1
document,1
intellectual,1
multiplication,1
sore,1
cocoon,1
apparatus,1
kingdom,1
stiletto,1
wampum,1
commission,1
permission,1
animus,1
shadow,1
debut,1
fire-escape,1
municate,1
export,1
circumlocution,1
merchant,1
whorl,1
march,1
whine,1
marks,1
doctrine,1
panel,1
bolt,1
forehead,1
partaker,1
living,1
toy,1
repeal,1
roar,1
fall,1
linseed,1
flesh,1
freehold,1
dowel,1
memory,1
entomology,1
cornice,1
castle,1
plating,1
conclusion,1
ear,1
widow,1
instinct,1
errant,1
snake,1
sow,1
champion,1
tea,1
verisimilitude,1
reparation,1
cap,1
description,1
counsellor,1
severity,1
abbot,1
shepherd,1
bulk,1
dwell,1
holly,1
pear,1
offense,1
stalk,1
talent,1
shield,1
explosion,1
cathedral,1
schoolmate,1
myriad,1
incursion,1
pillar,1
strike,1
publication,1
quickness,1
smith,1
intelligence,1
hobby,1
hum,1
accessory,1
cause,1
office,1
whig,1
clemency,1
go,1
chair,1
acid,1
break,1
adoption,1
bureau,1
sky,1
tortoise,1
rattle,1
troop,1
luxury,1
toilette,1
maker,1
self-willed,1
lia,1
prejudice,1
rector,1
foe,1
proclamation,1
waggon,1
supper,1
reserve,1
solicitor,1
channel,1
breast,1
forfeit,1
pebble,1
inventory,1
dilute,1
bear,1
lor,1
ignorance,1
visitor,1
will,1
beggar,1
mushroom,1
imprisonment,1
production,1
palace,1
exception,1
annihilation,1
ease,1
prostitute,1
comprehension,1
frenchman,1
prince,1
learn,1
substance,1
gold,1
physiology,1
expert,1
sales,1
dose,1
volume,1
bard,1
poet,1
speak,1
ocean,1
headnote,1
fancy,1
obedience,1
observer,1
usurp,1
sickness,1
intrenchment,1
publican,1
enmity,1
eat,1
knife,1
grievance,1
abode,1
grace,1
pretense,1
musician,1
fence,1
rash,1
horseback,1
circumstance,1
front,1
closet,1
common,1
township,1
freight,1
mat,1
supposition,1
ammonia,1
steel,1
apartment,1
drawer,1
sevres,1
chap,1
hobnail,1
piaster,1
artist,1
comrade,1
issue,1
insight,1
hue,1
crackling,1
conduct,1
effectual,1
composition,1
terrace,1
libel,1
rafter,1
socket,1
wolstenholme,1
ordnance,1
chapter,1
dictator,1
half-brother,1
recognition,1
delight,1
offer,1
surname,1
movement,1
imitation,1
image,1
painting,1
lodge,1
bridge,1
preserve,1
exhibition,1
flight,1
livelihood,1
ap,1
landmark,1
just,1
shudder,1
snare,1
communion,1
misfortune,1
row,1
threat,1
ridge,1
policy,1
elephant,1
balk,1
furniture,1
residence,1
prey,1
oak,1
roundabout,1
draught,1
vinegar,1
cave,1
holiday,1
interposition,1
middle,1
open,1
tile,1
ratio,1
wish,1
fish,1
carriage,1
railway,1
speculation,1
aster,1
component,1
