lemma,count
"",294
man,176
way,166
use,162
mind,142
appearance,139
effort,84
war,79
difference,74
thing,71
law,70
money,69
progress,67
attempt,66
life,65
work,64
gold,58
home,56
people,55
impression,55
subject,52
acquaintance,51
remark,51
part,49
government,49
world,48
speech,47
iron,47
mistake,47
present,46
discovery,46
heart,45
peace,45
fire,44
other,43
public,43
child,42
inquiry,41
reply,40
room,40
friend,40
noise,39
place,39
preparation,39
--,36
arrangement,35
sacrifice,35
change,33
purpose,33
hand,33
point,33
experiment,32
advance,32
object,32
provision,31
sign,31
light,30
fortune,29
house,29
visit,29
allowance,29
escape,29
journey,29
general,28
fool,28
feel,28
state,27
duty,26
matter,26
head,26
call,26
power,26
face,25
land,25
business,25
country,25
right,24
report,24
demand,24
slave,23
fact,23
love,23
study,23
word,22
will,22
distinction,22
charge,22
trial,22
paper,21
name,21
master,21
constitution,21
water,21
cause,21
bed,21
rule,21
answer,21
king,21
note,21
choice,21
ground,21
stock,20
end,20
picture,20
//,20
statement,20
application,20
appeal,19
boy,19
wife,19
instrument,19
voyage,19
eye,19
earth,19
observation,19
society,19
person,19
art,18
fuss,18
wood,18
attack,18
show,18
history,18
nation,18
case,18
blood,18
tea,18
confession,18
form,17
offer,17
enemy,17
god,17
soldier,17
woman,16
tile,16
think,16
soup,16
air,16
figure,16
capital,16
resistance,16
music,16
english,16
haste,16
concession,16
death,16
movement,16
party,15
story,15
passage,15
interest,15
gesture,15
force,15
tour,15
mean,15
treaty,14
prisoner,14
success,14
step,14
spirit,14
motion,14
allusion,14
proposition,14
good,14
loss,14
company,14
girl,14
religion,14
language,13
apology,13
stand,13
article,13
profit,13
objection,13
city,13
excuse,13
silver,13
value,13
action,13
improvement,13
plain,13
one,13
mention,13
member,13
human,13
defense,13
roman,13
future,13
line,13
foot,13
fun,13
chief,13
side,13
want,13
principle,13
congress,12
term,12
father,12
plan,12
trip,12
comparison,12
condition,12
servant,12
tender,12
question,12
authority,12
exception,12
promise,12
order,12
effect,12
piece,12
basis,12
nature,12
amends,12
manner,11
army,11
selection,11
chapter,11
coal,11
dash,11
officer,11
issue,11
bank,11
body,11
image,11
number,11
respect,11
event,11
bow,11
living,11
bread,11
lady,11
comment,11
invention,11
principal,11
sin,11
assertion,11
family,11
minister,11
book,11
science,11
run,11
circuit,11
live,10
sun,10
view,10
wealth,10
knowledge,10
rush,10
appointment,10
moment,10
truth,10
catholic,10
alteration,10
machine,10
kind,10
turn,10
sort,10
descent,10
hole,10
confidant,10
class,10
heaven,10
contract,10
profession,10
captive,10
conquest,10
brother,10
stay,10
forest,10
amount,10
proof,10
secret,10
collection,10
steel,10
excursion,10
son,10
letter,10
meal,10
trouble,10
occasion,10
brick,10
metal,10
ring,10
sail,10
act,9
pretension,9
representative,9
advantage,9
account,9
extract,9
idea,9
direction,9
payment,9
species,9
school,9
port,9
demonstration,9
round,9
fellow,9
look,9
college,9
declaration,9
back,9
captain,9
faith,9
cake,9
clay,9
move,9
slavery,9
sea,9
sensation,9
havoc,9
cup,9
complaint,9
poetry,9
map,9
mark,9
sick,9
addition,9
hide,9
spring,9
difficulty,9
portion,9
street,9
virtue,8
mother,8
suggestion,8
list,8
field,8
system,8
union,8
head-quarters,8
worthy,8
coin,8
independent,8
requisition,8
citizen,8
character,8
circle,8
position,8
stride,8
rest,8
fat,8
horse,8
institution,8
grant,8
coffee,8
court,8
resolution,8
doctrine,8
course,8
happiness,8
wine,8
church,8
pleasure,8
signal,8
mass,8
reader,8
labor,8
bargain,8
subservient,8
farmer,8
dinner,8
creature,8
drain,8
soul,8
blunder,8
color,8
prayer,8
influence,8
sketch,8
start,8
reference,8
statue,8
analysis,7
bill,7
mode,7
witness,7
foundation,7
flesh,7
firm,7
expense,7
artist,7
husband,7
pass,7
convert,7
individual,7
bark,7
match,7
election,7
purchase,7
canoe,7
doubt,7
indian,7
evil,7
entrance,7
sailor,7
ship,7
vessel,7
service,7
president,7
result,7
process,7
hair,7
lie,7
existence,7
pill,7
abode,7
tree,7
star,7
bone,7
moan,7
contribution,7
cold,7
track,7
operation,7
mess,7
method,7
tribe,7
element,7
growth,7
lesson,7
pudding,7
nail,7
honey,7
regulation,7
property,7
hero,7
inroad,7
fly,7
butter,7
example,7
illustration,7
soil,7
opening,7
mouth,7
christian,7
gentleman,7
french,7
breast,7
fruit,7
scene,7
path,7
tear,7
river,7
road,7
total,7
tool,7
stone,7
ball,7
cry,7
race,7
author,7
claim,7
ache,6
stir,6
evidence,6
come,6
lord,6
age,6
justice,6
failure,6
branch,6
household,6
surface,6
whole,6
supply,6
bar,6
dupe,6
leap,6
patient,6
survey,6
grass,6
pretense,6
sum,6
stake,6
proposal,6
presence,6
nest,6
manifest,6
ear,6
negro,6
chair,6
flower,6
series,6
breath,6
welcome,6
practice,6
danger,6
grave,6
boat,6
sovereign,6
oath,6
sentence,6
territory,6
friendship,6
rock,6
joy,6
fear,6
companion,6
rebel,6
flutter,6
volume,6
division,6
exertion,6
button,6
education,6
brass,6
exchange,6
relation,6
white,6
circumstance,6
railroad,6
cast-steel,6
sound,6
display,6
shoe,6
request,6
standard,6
mischief,6
farm,6
cell,6
