lemma,count
mind,88
way,82
effort,78
acquaintance,66
"",62
man,48
appearance,44
mistake,43
reply,42
life,40
difference,37
home,36
love,34
thing,33
inquiry,32
fortune,31
money,31
attempt,30
friend,26
impression,25
bow,25
use,25
arrangement,24
movement,24
feel,22
discovery,22
wife,21
fool,21
answer,20
people,20
woman,20
change,19
heart,19
call,19
promise,18
haste,17
gesture,17
speech,16
house,15
presence,15
response,15
mother,15
eye,14
present,14
sign,14
place,14
room,14
head,13
remark,13
child,13
hand,13
confession,13
face,13
light,12
journey,12
sacrifice,12
motion,12
business,12
lady,12
will,12
word,12
husband,11
father,11
stay,11
family,11
noise,11
point,11
appeal,11
secret,11
bargain,10
offer,10
other,10
world,10
living,10
moment,10
fun,10
advance,10
allusion,10
fact,10
beginning,10
note,9
mine,9
figure,9
picture,9
visit,9
boy,9
fuss,9
start,9
show,9
look,9
public,9
right,8
position,8
allowance,8
part,8
laugh,8
queen,8
matter,8
step,8
bed,8
profession,8
study,8
pudding,8
preparation,7
choice,7
story,7
trouble,7
courtesy,7
sir,7
observation,7
scene,7
prisoner,7
progress,7
door,7
think,7
objection,7
heaven,7
sick,7
pile,7
row,7
excuse,7
gentleman,7
blood,7
name,7
peace,7
music,6
letter,6
tour,6
condition,6
request,6
joke,6
kind,6
person,6
back,6
opportunity,6
companion,6
smile,6
purpose,6
sort,6
confidence,6
party,6
subject,6
shirt,6
horse,6
return,6
conversation,6
investigation,6
king,6
end,6
object,6
plan,6
cry,5
protestation,5
calculation,5
rule,5
ring,5
rose,5
earth,5
chapter,5
sport,5
escape,5
charge,5
breast,5
just,5
purchase,5
bitter,5
trial,5
boat,5
wish,5
talk,5
leap,5
pass,5
uncle,5
statue,5
search,5
situation,5
stand,5
apology,5
declaration,5
brother,5
enemy,5
farewell,5
country,5
statement,5
course,5
dress,5
work,5
toilet,5
baron,5
capital,5
ache,5
circuit,5
shiver,5
feeling,5
explanation,5
amends,5
racket,4
affair,4
cousin,4
trip,4
hair,4
sum,4
prayer,4
circumstance,4
passage,4
bay,4
cross,4
mention,4
beer,4
application,4
number,4
attack,4
exit,4
school,4
paper,4
success,4
foot,4
package,4
beauty,4
side,4
fame,4
rejoinder,4
dash,4
mortal,4
expression,4
rush,4
slave,4
mystery,4
retreat,4
interview,4
flesh,4
contrast,4
dark,4
delight,4
resistance,4
freedom,4
be,4
general,4
hope,4
conjecture,4
pretense,4
beat,4
confidant,4
headway,4
occasion,4
creep,4
plunge,4
salute,4
distance,4
artist,4
spring,4
shadow,4
suggestion,4
death,4
plain,4
girl,4
stranger,4
youth,4
force,3
welcome,3
son,3
mistress,3
darling,3
book,3
silver,3
male,3
aunt,3
