lemma,count
man,98
"",66
use,54
way,48
money,39
difference,37
people,34
effort,32
law,31
impression,30
public,28
mistake,27
part,25
work,24
business,24
//,23
mind,23
government,23
thing,22
speech,22
party,22
appearance,22
attempt,22
war,21
subject,21
statement,20
arrangement,20
provision,20
home,20
child,19
president,19
life,18
country,18
world,18
change,18
place,17
acquaintance,17
profit,17
case,17
progress,16
attack,16
book,15
state,15
member,15
election,15
study,15
general,15
contract,15
journey,15
congress,14
interest,14
matter,13
power,13
reply,13
person,13
ground,13
friend,13
land,13
grant,13
living,12
demand,12
railroad,12
rule,12
character,12
charge,12
condition,11
distinction,11
fortune,11
appeal,11
remark,11
picture,11
success,11
object,11
term,10
promise,10
body,10
appointment,10
appropriation,10
position,10
contribution,10
english,10
fact,10
republican,10
allowance,10
word,10
visit,10
right,9
slave,9
report,9
reputation,9
purpose,9
name,9
tour,9
issue,9
improvement,9
nation,9
choice,9
point,9
house,9
future,9
school,9
decision,9
system,9
college,8
plan,8
--,8
author,8
enemy,8
feel,8
other,8
removal,8
church,8
treaty,8
idea,8
sacrifice,8
opinion,8
mention,8
history,8
king,8
rate,8
order,8
payment,7
colony,7
american,7
sum,7
note,7
art,7
duty,7
defense,7
call,7
stand,7
constitution,7
exception,7
price,7
love,7
line,7
deficiency,7
objection,7
road,7
society,7
fight,7
inquiry,7
advance,7
start,7
suggestion,7
god,7
haste,6
complaint,6
declaration,6
knowledge,6
labor,6
account,6
show,6
act,6
pilgrimage,6
loss,6
secret,6
vote,6
authority,6
claim,6
deal,6
officer,6
voyage,6
letter,6
excuse,6
doctrine,6
selection,6
mark,6
service,6
stock,6
cause,6
eye,6
individual,6
board,6
influence,6
story,6
performance,6
citizen,6
field,6
example,6
capital,6
literature,6
reference,6
present,6
heart,6
lord,6
experiment,6
passage,6
criminal,6
extract,6
headway,6
paper,6
peace,6
entrance,6
politics,5
trade,5
delay,5
combination,5
virtue,5
pretense,5
tax,5
building,5
concession,5
translation,5
room,5
head,5
boy,5
disturbance,5
beginning,5
wood,5
period,5
corporation,5
principle,5
total,5
return,5
trip,5
basis,5
uniform,5
office,5
marriage,5
kind,5
official,5
career,5
discrimination,5
writer,5
question,5
bargain,5
railway,5
army,5
human,5
instrument,5
teaching,5
hand,5
effect,5
amount,5
direction,5
discovery,5
speed,5
profession,5
student,5
plain,5
bribe,5
mass,5
trouble,5
communication,5
meaning,5
rest,5
city,5
cotton,5
river,5
form,5
image,5
french,5
strength,5
beauty,5
prisoner,5
reality,5
page,5
light,5
water,4
application,4
fund,4
patient,4
will,4
play,4
move,4
wine,4
education,4
property,4
experience,4
convention,4
display,4
behalf,4
exemption,4
result,4
figure,4
moment,4
material,4
force,4
library,4
etheredge,4
department,4
disposition,4
trial,4
one,4
religion,4
purchase,4
distance,4
oil,4
observation,4
reproach,4
legislation,4
advancement,4
number,4
platform,4
regulation,4
crime,4
practice,4
fee,4
teacher,4
end,4
alteration,4
pass,4
presence,4
manager,4
subservient,4
argument,4
series,4
sex,4
admission,4
production,4
proposition,4
march,4
process,4
estimate,4
youth,4
victim,4
woman,4
publisher,4
committee,4
record,4
wife,4
answer,4
company,4
whole,4
settlement,4
bible,4
faith,4
allusion,4
representation,4
governor,4
lie,4
reader,4
rise,4
comparison,4
judgment,4
heaven,4
wheat,4
course,4
christian,4
manner,4
addition,4
wrong,4
iron,4
copy,4
talk,4
reform,4
back,4
agent,4
secretary,4
blunder,4
air,4
view,4
metal,4
reflection,3
applicant,3
drill,3
foreigner,3
exit,3
prayer,3
want,3
think,3
venture,3
apology,3
poem,3
neighborhood,3
investment,3
step,3
custom,3
request,3
requisition,3
inference,3
rank,3
race,3
prey,3
stone,3
advocate,3
surface,3
divorce,3
support,3
advantage,3
newspaper,3
class,3
troop,3
dependent,3
rush,3
havoc,3
bread,3
residence,3
principal,3
dear,3
pain,3
track,3
review,3
assertion,3
heroine,3
mess,3
escape,3
affair,3
standard,3
assault,3
method,3
organization,3
servant,3
defect,3
distribution,3
assessment,3
curriculum,3
poet,3
exercise,3
camp,3
steel,3
hero,3
failure,3
council,3
regard,3
fabric,3
sort,3
union,3
town,3
expense,3
administration,3
measure,3
policy,3
independent,3
doubt,3
consequence,3
tool,3
fruit,3
spirit,3
crop,3
range,3
round,3
threat,3
competition,3
exhibition,3
fire,3
protest,3
farmer,3
statute,3
generation,3
exertion,3
spot,3
reading,3
danger,3
wall,3
convert,3
inspection,3
live,3
pastor,3
intellectual,3
difficulty,3
canadian,3
scheme,3
hit,3
university,3
approach,3
concealment,3
confession,3
necessity,3
side,3
altar,3
situation,3
log,3
scene,3
writing,3
inhabitant,3
excursion,3
sea,3
violation,3
error,3
girl,3
machinery,3
quotation,3
consumer,3
establishment,3
seat,3
candidate,3
bank,3
theory,3
respect,3
list,3
institution,3
possession,3
evil,3
sound,3
development,3
sick,3
covenant,3
agreement,3
telegraph,3
collection,3
barrel,3
investigation,3
accusation,3
resistance,3
inroad,3
parent,3
map,3
execution,3
revelation,3
code,3
german,3
turn,3
flower,3
truth,3
neighbor,3
legislature,3
noise,3
childhood,3
mountain,3
expenditure,3
tlie,3
critic,3
impulse,2
recollection,2
risk,2
structure,2
address,2
community,2
portion,2
laborer,2
divergence,2
factor,2
heir,2
shield,2
invention,2
soul,2
bottom,2
quarter,2
shroud,2
phenomenon,2
strike,2
spectacle,2
flight,2
district,2
rear,2
desert,2
mortgage,2
ble,2
succession,2
vessel,2
come,2
dividend,2
bow,2
village,2
pursuit,2
verse,2
gain,2
aim,2
orthography,2
base,2
nature,2
wagon,2
reserve,2
family,2
acquisition,2
lover,2
reign,2
epoch,2
romance,2
statesmanship,2
motive,2
court,2
count,2
farewell,2
existence,2
management,2
draft,2
satisfaction,2
slavery,2
color,2
habit,2
commodity,2
foot,2
treatment,2
devotee,2
preparation,2
earthenware,2
blood,2
wind-break,2
compensation,2
sleep,2
demonstration,2
millionaire,2
sidewalk,2
opening,2
bone,2
deposit,2
fashion,2
volunteer,2
explanation,2
disunion,2
vow,2
emancipation,2
be,2
traveler,2
vision,2
print,2
conception,2
clergy,2
philosophy,2
militia,2
rendezvous,2
christianity,2
square,2
ambassador,2
wave,2
modification,2
manifest,2
give,2
tender,2
control,2
fiction,2
capture,2
news,2
band,2
source,2
degree,2
chancellor,2
midst,2
ravage,2
minimum,2
machine,2
leader,2
hiss,2
crisis,2
disciple,2
action,2
sand,2
expedition,2
judiciary,2
diversion,2
vice,2
beer,2
refiner,2
crown,2
dean,2
navy,2
toil,2
cross,2
executive,2
greek,2
press,2
hold,2
englishman,2
majesty,2
impossibility,2
chance,2
debtor,2
whisky,2
confidant,2
folly,2
sight,2
reason,2
employer,2
noble,2
good,2
volume,2
occupation,2
expression,2
soldier,2
preference,2
confidence,2
restoration,2
genius,2
representative,2
speculation,2
deliberation,2
serf,2
fellow,2
engagement,2
wage,2
lack,2
center,2
forest,2
repair,2
chairman,2
portrait,2
acknowledgment,2
music,2
gospel,2
imperative,2
daughter,2
fleet,2
silk,2
tenure,2
atmosphere,2
ruler,2
car,2
specialty,2
discussion,2
justice,2
commander,2
mormon,2
stroke,2
auxiliary,2
pleasure,2
stuff,2
sketch,2
secondary,2
version,2
test,2
italian,2
carpenter,2
examination,2
precaution,2
worm,2
yield,2
relation,2
benefit,2
professor,2
boon,2
canal,2
cattle,2
mode,2
gymnasium,2
intervention,2
drawing,2
lady,2
donation,2
length,2
daylight,2
simplicity,2
fool,2
opposition,2
unmake,2
nomination,2
authorship,2
liberty,2
plate,2
sympathy,2
independence,2
scholarship,2
clerk,2
canoeing,2
emperor,2
bond,2
invocation,2
look,2
master,2
democracy,2
visitor,2
elector,2
conquest,2
debate,2
conduct,2
cost,2
calculation,2
harbor,2
chief,2
pay,2
hostility,2
rascal,2
concurrence,2
tradition,2
idol,2
majority,2
host,2
value,2
ship,2
frame,2
violence,2
struggle,2
sign,2
eloquence,2
favorite,2
foundation,2
torpedo,2
bill,2
iniquity,2
heel,2
prompt,2
discourse,2
minister,2
butter,2
conviction,2
hearer,2
market,2
privilege,2
capitalist,2
hole,2
unit,2
empire,2
trustee,2
integrity,2
belt,2
refuge,2
battery,2
penalty,2
father,2
antique,2
cession,2
successor,2
guess,2
ancient,2
tale,2
wilderness,2
ball,2
balance,2
type,2
pursuance,2
retreat,2
offer,2
raid,2
voice,2
fault,2
tion,2
companion,2
giant,2
tariff,2
recipient,2
righteousness,2
grain,2
sterne,2
movement,2
greatness,2
revolution,2
reconstruction,2
response,2
equal,2
gesture,2
idiot,2
favor,2
face,2
mean,2
castle,2
model,2
safety,2
horse,2
ideal,2
departure,2
engineer,2
throat,1
bon,1
major-general,1
outline,1
visitation,1
box-car,1
poll,1
blackleg,1
heavy,1
consideration,1
eternity,1
misapplication,1
corporal,1
statue,1
archdeacon,1
pride,1
absence,1
final,1
utterance,1
smile,1
puritan,1
misstep,1
charter,1
massacre,1
meal,1
drop,1
buck,1
silver,1
stew,1
product,1
diary,1
hope,1
activity,1
separation,1
neighborliness,1
watch-dog,1
taxpayer,1
non-compliance,1
vara,1
reductio,1
capitol,1
sport,1
long-continued,1
tornadoes,1
compartment,1
re-appearance,1
class-room,1
archipelago,1
desire,1
effi,1
china,1
discount,1
sentiment,1
earl,1
reprint,1
puppet,1
eating-house,1
victory,1
calico,1
discipline,1
dependence,1
boat,1
summit,1
brain,1
cooperation,1
table,1
dogma,1
athenian,1
restitution,1
bonnet,1
nationalist,1
wrath,1
taste,1
pariah,1
bale,1
housewife,1
mortise,1
rhyme,1
bustle,1
crater,1
disgrace,1
quilt,1
hacienda,1
diplomatist,1
humanity,1
agency,1
cold,1
sitting,1
ness,1
parting,1
variation,1
jug,1
judge,1
enjoyment,1
agriculture,1
mine,1
safeguard,1
jeweler,1
jurisdiction,1
trimmer,1
deduction,1
scrapbook,1
spelling,1
cape,1
m,1
connection,1
leg,1
penance,1
stem,1
piety,1
plea,1
protection,1
gymnastics,1
detour,1
vegetable,1
rent,1
pool,1
countess,1
subjugate,1
lager-beer,1
lease,1
amends,1
background,1
exigency,1
steam,1
rain,1
learning,1
mischief,1
holocaust,1
compromise,1
manufacturer,1
familiar,1
flirtation,1
stratum,1
himhe,1
sot,1
crowbar,1
debauchery,1
intercession,1
multiplication,1
flutter,1
kingdom,1
mistress,1
goa,1
abundance,1
manure,1
wreck,1
corner-stone,1
slope,1
deviation,1
vehicle,1
feed,1
joy,1
meeting,1
friendship,1
debut,1
steed,1
export,1
merchant,1
verdict,1
zone,1
spurt,1
bolt,1
protestantism,1
roll,1
lullaby,1
buy,1
occasion,1
pattern,1
policy-holder,1
breech,1
fall,1
paymaster,1
flesh,1
grave,1
fitness,1
traffic,1
run,1
feature,1
booty,1
hireling,1
mexican,1
lump,1
ear,1
instinct,1
alien,1
burn,1
champion,1
poverty,1
reparation,1
mother,1
forevermore,1
storm,1
cap,1
personality,1
bastard,1
threescore,1
tin-foil,1
bulk,1
solid,1
footprint,1
offense,1
patentee,1
survey,1
unity,1
myriad,1
accountability,1
presbyterian,1
trollope,1
accuracy,1
assembly,1
incursion,1
resource,1
publication,1
closing,1
dupe,1
garment,1
giver,1
sect,1
limit,1
ass,1
storage,1
worth,1
feather,1
inexpedient,1
henchman,1
reduction,1
tissue,1
concentration,1
telegram,1
loophole,1
fulfill,1
tent,1
robe,1
garrison,1
transportation,1
gift,1
treachery,1
tar,1
traitor,1
liberal,1
perennial,1
misrepresentation,1
wealth,1
enchantress,1
sun,1
emotion,1
amendment,1
doctor,1
polygamy,1
sentence,1
timber,1
headquarters,1
extension,1
cook,1
efficiency,1
remedy,1
apocalypse,1
attitude,1
seizure,1
intelligence,1
generalization,1
unlikeness,1
bound,1
poom,1
ministry,1
whig,1
go,1
welcome,1
corpus,1
mayflower,1
adoption,1
bureau,1
triangulation,1
oath,1
empress,1
chinese,1
abomination,1
memorandum,1
tract,1
toilette,1
demagogue,1
prejudice,1
foe,1
supper,1
tree,1
turnpike,1
justification,1
inventory,1
alloy,1
catholic,1
runner,1
it,1
comity,1
industry,1
absorber,1
mud,1
ignorance,1
manifesto,1
suit,1
splash,1
sink,1
exposure,1
canon,1
allpowerful,1
brook,1
produce,1
sermon,1
toad,1
recreation,1
peculiarity,1
ease,1
ballot,1
disparity,1
learn,1
substance,1
science,1
molasses,1
journalism,1
entrepot,1
speak,1
ocean,1
porridge,1
bee-line,1
obeisance,1
realm,1
alpha,1
pictorial,1
unreality,1
church-building,1
punch,1
tone,1
commercial,1
exchange,1
environment,1
cavalry,1
territory,1
dilettanti,1
wisdom,1
grace,1
orangemen,1
winding-up,1
salad,1
unanimity,1
suburb,1
pie,1
colonel,1
lineage,1
avenue,1
arbiter,1
tbe,1
circumstance,1
contest,1
dramatis,1
scruple,1
manhood,1
stable,1
freight,1
cylinder,1
sacrament,1
bottle,1
mankind,1
reden,1
rosalie,1
pastime,1
artist,1
comrade,1
prohibition,1
decease,1
stepping-stone,1
effectual,1
salutation,1
cake,1
graduate,1
libel,1
actress,1
debt,1
glow,1
sweep,1
delight,1
pressure,1
parcel,1
share,1
painting,1
timbre,1
lodge,1
preserve,1
bonfire,1
irregularity,1
magazine,1
cane,1
watch,1
ap,1
precipice,1
resort,1
just,1
wart,1
misfortune,1
club,1
boyhood,1
straw,1
fun,1
congeries,1
consolidation,1
invalid,1
broadway,1
wire,1
oak,1
lip,1
lighthouse,1
splint,1
plank,1
fagot,1
civilization,1
close,1
confluence,1
brick,1
seaport,1
holiday,1
hanoverian,1
cabinet,1
award,1
likeness,1
tile,1
extravagance,1
technique,1
wish,1
carriage,1
grimace,1
ware,1
plough,1
universe,1
sake,1
journal,1
privateer,1
tribunal,1
cradle,1
dog,1
presidency,1
surplus,1
leather,1
musical,1
self-denial,1
festivity,1
defiance,1
adversary,1
swamp,1
manand,1
stream,1
stranger,1
saliency,1
quality,1
bag,1
whit,1
differentiation,1
dam,1
notion,1
esteem,1
arc,1
draw,1
help,1
defile,1
congregation,1
implement,1
leave,1
shoe,1
dwelling-place,1
lyman,1
crew,1
dot,1
mule,1
soup,1
battle,1
steamer,1
theater,1
contingent,1
dispatch,1
heathen,1
dissatisfaction,1
surrender,1
hodge-podge,1
engine,1
less-protected,1
self-culture,1
string,1
universal,1
axis,1
pun,1
feat,1
grantley,1
aunt,1
male,1
essence,1
sharer,1
moose,1
cobweb,1
border,1
probity,1
commencement,1
casualty,1
explosive,1
coffee,1
compact,1
merchandise,1
pretty,1
burnside,1
stage,1
docility,1
thimble-shaped,1
shot,1
oracle,1
casting,1
sach,1
bounty,1
creed,1
baby,1
treasure,1
partisan,1
ascertainment,1
seed,1
pretext,1
twentyfour,1
senate,1
entry,1
damage,1
pageantry,1
prophecy,1
cancellation,1
stoneman,1
import,1
rudder,1
space,1
canvas,1
cessation,1
grossness,1
horizon,1
roller,1
scale,1
legend,1
taxation,1
attorney,1
yankee,1
russian,1
pretension,1
breath,1
prize,1
establish,1
promoter,1
farragut,1
association,1
freshmen,1
pearl,1
void,1
age,1
sense,1
hoe,1
handle,1
game,1
egg,1
navigation,1
circumcision,1
cousin,1
sunday-school,1
commonwealth,1
tunnel,1
outcome,1
qualification,1
earth,1
unchristian,1
archery,1
amelioration,1
stir,1
sorter,1
well,1
outset,1
island,1
wretch,1
station,1
slack,1
grand,1
designation,1
talker,1
ownership,1
foul,1
freemen,1
misrepresent,1
white-capped,1
outlaw,1
stockholder,1
witness,1
floor,1
actor,1
loan,1
instruction,1
anglo-saxon,1
ascent,1
park,1
surveyor,1
innocent,1
bull,1
exaggeration,1
saying,1
revival,1
contradiction,1
player,1
singing,1
income,1
motion,1
necklace,1
admiral,1
attribution,1
staple,1
constellation,1
lot,1
blacksmith,1
poll-tax,1
philosopher,1
permanence,1
popularity,1
porter,1
dream,1
silence,1
assimilation,1
box,1
erection,1
flock,1
wheel,1
sheet,1
announcement,1
steady,1
cultivation,1
singer,1
animadversion,1
reconnaissance,1
design,1
pudding,1
hemp,1
poetry,1
slumber,1
date,1
interior,1
museum,1
limitation,1
pickle,1
content,1
passion,1
hook,1
white,1
son,1
drab,1
jack,1
affidavit,1
quantity,1
classic,1
potluck,1
nurse,1
rosecrans,1
repose,1
deh,1
coat,1
omnipotent,1
civil-service,1
novel-reader,1
innocence,1
fatherland,1
chamber,1
filippo,1
cup,1
hall,1
inspiration,1
expectation,1
elastic,1
aesop,1
hammer,1
welfare,1
double,1
hypothesis,1
facility,1
attention,1
corruption,1
parasite,1
the--,1
branch,1
possibility,1
tell,1
leadership,1
household,1
charity,1
office-holding,1
paddle,1
bigot,1
interval,1
dress,1
whist,1
like,1
affirmation,1
cult,1
football,1
estuary,1
anger,1
brute,1
centralization,1
dinner,1
brother,1
audience,1
commonplace,1
port,1
sister,1
outside,1
hair,1
belief,1
herald,1
obstruction,1
salary,1
spring,1
irritability,1
know-nothing,1
diagnosis,1
thanks,1
excitement,1
monopoly,1
blade,1
pine,1
darkness,1
boast,1
turpentine,1
water-course,1
imperfection,1
cannon,1
jet,1
yawn,1
lamp,1
tear,1
variety,1
liver,1
proportion,1
element,1
skin,1
guide,1
highway,1
tribute,1
feast,1
haze,1
desirability,1
aggregate,1
gargle,1
lawabiding,1
drain,1
monkey,1
flat,1
flash,1
lining,1
kerosene,1
collector,1
employment,1
heed,1
morsel,1
proselyte,1
keg,1
stipulation,1
incumbent,1
caucus,1
pleiad,1
advocacy,1
training,1
cypress,1
plot,1
precedent,1
proof,1
withdrawal,1
buffalo,1
inadvertence,1
veto,1
specialist,1
gentleman,1
bulgarian,1
benefactor,1
cruelty,1
comfort,1
bitter,1
abolitionist,1
efficacy,1
hy,1
intention,1
importance,1
corner,1
roth,1
punishment,1
phonograph,1
assent,1
sensation,1
prospect,1
novel-writing,1
excess,1
indian,1
splinter,1
diligence,1
pity,1
passageway,1
approval,1
lender,1
discontent,1
musketry,1
stake,1
periodical,1
spur,1
austrian,1
monarchy,1
landlord,1
despair,1
banner,1
nest,1
function,1
animal,1
lawyer,1
plunge,1
perpetration,1
style,1
write,1
breadth,1
lordship,1
prosperity,1
orator,1
evolution,1
water-power,1
procedure,1
bod,1
cart,1
past,1
faction,1
sinner,1
faulconbridge,1
cogency,1
green,1
red,1
blot,1
mediocrity,1
writ,1
habitation,1
inclination,1
self-government,1
intimation,1
repellant,1
tallow,1
wonder,1
hood,1
clause,1
cloud,1
text,1
passing,1
assurance,1
lewiston,1
confederate,1
multitude,1
precision,1
complainant,1
counsel,1
mockery,1
sugar,1
ability,1
behavior,1
preacher,1
bronze,1
curse,1
hell,1
padre,1
patch,1
weather,1
receipt,1
toe,1
reformation,1
coal,1
rock,1
