lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[WAY],49.0,79.0,79.0,73.0,82.0,82.0,66.0,87.0,80.0,83.0,86.0,72.0,69.0,75.0,68.0,97.0,68.0,89.0,107.0,1491.0
[MIND],40.0,34.0,36.0,30.0,56.0,88.0,55.0,88.0,91.0,99.0,75.0,54.0,68.0,60.0,48.0,31.0,28.0,19.0,18.0,1018.0
[MAN],48.0,43.0,51.0,46.0,73.0,48.0,55.0,82.0,58.0,56.0,54.0,51.0,61.0,49.0,46.0,40.0,34.0,25.0,17.0,937.0
[DIFFERENCE],10.0,16.0,11.0,27.0,26.0,37.0,32.0,44.0,66.0,49.0,54.0,53.0,70.0,57.0,53.0,43.0,39.0,34.0,33.0,754.0
[EFFORT],47.0,51.0,34.0,34.0,26.0,78.0,44.0,42.0,54.0,48.0,65.0,31.0,25.0,34.0,39.0,17.0,22.0,19.0,17.0,727.0
[MISTAKE],7.0,10.0,9.0,13.0,14.0,43.0,43.0,50.0,37.0,67.0,50.0,24.0,46.0,49.0,44.0,48.0,41.0,47.0,65.0,707.0
[THING],17.0,14.0,16.0,15.0,23.0,33.0,24.0,27.0,55.0,53.0,52.0,41.0,38.0,46.0,38.0,34.0,38.0,40.0,32.0,636.0
[LOVE],26.0,20.0,33.0,11.0,22.0,34.0,28.0,29.0,25.0,27.0,28.0,26.0,10.0,25.0,56.0,81.0,44.0,59.0,38.0,622.0
[MONEY],5.0,12.0,20.0,10.0,23.0,31.0,31.0,38.0,38.0,46.0,19.0,69.0,34.0,40.0,43.0,47.0,27.0,23.0,32.0,588.0
[SOUND],3.0,4.0,4.0,6.0,2.0,3.0,8.0,16.0,14.0,17.0,38.0,32.0,64.0,40.0,49.0,44.0,64.0,79.0,86.0,573.0
[NOISE],14.0,13.0,21.0,18.0,13.0,11.0,15.0,30.0,24.0,24.0,32.0,36.0,49.0,33.0,41.0,30.0,45.0,42.0,38.0,529.0
[SENSE],1.0,3.0,3.0,4.0,0.0,3.0,1.0,1.0,1.0,1.0,5.0,13.0,31.0,46.0,55.0,74.0,101.0,73.0,88.0,504.0
[LIFE],16.0,21.0,25.0,24.0,28.0,40.0,31.0,25.0,53.0,37.0,19.0,19.0,23.0,21.0,25.0,19.0,24.0,26.0,19.0,495.0
[FEEL],5.0,7.0,14.0,10.0,24.0,22.0,10.0,20.0,25.0,22.0,25.0,30.0,27.0,28.0,25.0,44.0,37.0,43.0,35.0,453.0
[APPEARANCE],31.0,94.0,59.0,68.0,46.0,44.0,18.0,20.0,19.0,6.0,8.0,6.0,3.0,6.0,3.0,2.0,2.0,3.0,10.0,448.0
[HOME],6.0,21.0,21.0,37.0,38.0,36.0,31.0,35.0,24.0,22.0,30.0,24.0,23.0,21.0,9.0,13.0,13.0,5.0,13.0,422.0
