lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[MAN],25.0,79.0,75.0,77.0,114.0,69.0,98.0,88.0,76.0,100.0,79.0,50.0,47.0,34.0,42.0,29.0,21.0,17.0,15.0,1135.0
[WAY],26.0,33.0,32.0,53.0,38.0,65.0,48.0,74.0,35.0,59.0,32.0,47.0,37.0,42.0,54.0,42.0,43.0,35.0,56.0,851.0
[USE],62.0,57.0,56.0,54.0,55.0,39.0,54.0,39.0,47.0,47.0,50.0,26.0,40.0,20.0,22.0,15.0,17.0,26.0,24.0,750.0
[MONEY],4.0,7.0,15.0,11.0,19.0,29.0,39.0,33.0,39.0,32.0,38.0,92.0,59.0,44.0,63.0,63.0,52.0,69.0,39.0,747.0
[EFFORT],33.0,26.0,23.0,33.0,22.0,35.0,32.0,54.0,27.0,34.0,31.0,42.0,34.0,41.0,27.0,27.0,34.0,20.0,19.0,594.0
[DIFFERENCE],7.0,13.0,14.0,16.0,20.0,34.0,37.0,25.0,37.0,34.0,25.0,35.0,36.0,35.0,25.0,29.0,43.0,51.0,52.0,568.0
[MISTAKE],4.0,10.0,7.0,9.0,19.0,12.0,27.0,19.0,24.0,33.0,40.0,48.0,46.0,40.0,40.0,34.0,44.0,49.0,48.0,553.0
[MIND],13.0,36.0,32.0,33.0,39.0,33.0,23.0,37.0,34.0,34.0,31.0,33.0,44.0,25.0,17.0,16.0,34.0,11.0,6.0,531.0
[SPEECH],28.0,11.0,15.0,28.0,25.0,22.0,22.0,41.0,31.0,33.0,32.0,50.0,42.0,46.0,38.0,21.0,23.0,6.0,4.0,518.0
[PEOPLE],11.0,13.0,23.0,20.0,27.0,23.0,34.0,36.0,28.0,26.0,32.0,28.0,25.0,41.0,26.0,38.0,34.0,22.0,28.0,515.0
[PUBLIC],21.0,26.0,32.0,18.0,20.0,32.0,28.0,22.0,41.0,30.0,35.0,29.0,30.0,28.0,22.0,19.0,31.0,13.0,11.0,488.0
[THING],8.0,21.0,19.0,15.0,17.0,25.0,22.0,31.0,29.0,25.0,30.0,38.0,24.0,29.0,27.0,25.0,29.0,18.0,29.0,461.0
[LIFE],9.0,14.0,19.0,17.0,27.0,23.0,18.0,25.0,39.0,29.0,33.0,42.0,15.0,24.0,19.0,25.0,29.0,25.0,21.0,453.0
[LAW],32.0,41.0,41.0,27.0,52.0,38.0,31.0,53.0,21.0,37.0,14.0,11.0,11.0,12.0,4.0,9.0,8.0,6.0,5.0,453.0
[DECISION],5.0,3.0,5.0,1.0,3.0,4.0,9.0,7.0,7.0,8.0,9.0,12.0,37.0,51.0,64.0,51.0,53.0,56.0,67.0,452.0
[PROGRESS],28.0,30.0,45.0,31.0,25.0,24.0,16.0,26.0,23.0,42.0,16.0,15.0,15.0,31.0,16.0,19.0,12.0,10.0,17.0,441.0
[SENSE],2.0,4.0,5.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,7.0,19.0,24.0,37.0,32.0,40.0,50.0,97.0,91.0,424.0
[POINT],18.0,14.0,14.0,12.0,11.0,17.0,9.0,22.0,14.0,22.0,20.0,18.0,22.0,33.0,46.0,40.0,33.0,24.0,31.0,420.0
[WAR],15.0,10.0,20.0,20.0,61.0,26.0,21.0,13.0,16.0,48.0,27.0,14.0,41.0,18.0,25.0,13.0,6.0,11.0,7.0,412.0
[WORK],12.0,18.0,16.0,11.0,24.0,22.0,24.0,33.0,20.0,23.0,9.0,23.0,21.0,16.0,19.0,21.0,16.0,34.0,22.0,384.0
[IMPRESSION],28.0,42.0,24.0,33.0,19.0,23.0,30.0,30.0,27.0,25.0,15.0,24.0,13.0,15.0,6.0,8.0,5.0,5.0,8.0,380.0
[APPEARANCE],29.0,33.0,10.0,28.0,34.0,27.0,22.0,16.0,18.0,15.0,14.0,14.0,13.0,22.0,15.0,11.0,17.0,11.0,16.0,365.0
[PART],29.0,45.0,23.0,21.0,13.0,30.0,25.0,18.0,21.0,27.0,9.0,11.0,18.0,11.0,9.0,13.0,10.0,15.0,16.0,364.0
[WORLD],13.0,13.0,20.0,10.0,20.0,13.0,18.0,13.0,19.0,23.0,27.0,20.0,34.0,23.0,28.0,14.0,15.0,13.0,23.0,359.0
[ATTEMPT],21.0,20.0,23.0,21.0,17.0,29.0,22.0,18.0,7.0,30.0,17.0,27.0,20.0,18.0,12.0,17.0,8.0,10.0,5.0,342.0
[HOME],6.0,10.0,4.0,17.0,16.0,17.0,20.0,23.0,32.0,30.0,17.0,20.0,30.0,20.0,15.0,15.0,19.0,15.0,14.0,340.0
[CHANGE],9.0,16.0,21.0,11.0,12.0,21.0,18.0,21.0,16.0,15.0,16.0,16.0,13.0,19.0,16.0,19.0,18.0,20.0,39.0,336.0
[GOVERNMENT],25.0,21.0,16.0,24.0,18.0,26.0,23.0,24.0,29.0,14.0,17.0,10.0,19.0,13.0,10.0,14.0,14.0,12.0,2.0,331.0
[FRIEND],4.0,6.0,7.0,15.0,9.0,17.0,13.0,9.0,21.0,19.0,13.0,22.0,31.0,34.0,18.0,13.0,16.0,17.0,20.0,304.0
[SUBJECT],36.0,46.0,39.0,16.0,35.0,23.0,21.0,17.0,17.0,11.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,299.0
[STATEMENT],5.0,10.0,12.0,9.0,11.0,21.0,20.0,13.0,19.0,15.0,23.0,18.0,13.0,20.0,15.0,18.0,21.0,17.0,18.0,298.0
[CASE],9.0,11.0,22.0,14.0,19.0,16.0,17.0,10.0,19.0,11.0,6.0,19.0,8.0,8.0,8.0,14.0,18.0,18.0,11.0,258.0
[PEACE],17.0,7.0,5.0,9.0,20.0,7.0,6.0,13.0,14.0,18.0,25.0,17.0,25.0,17.0,16.0,12.0,15.0,11.0,4.0,258.0
[REMARK],41.0,36.0,21.0,11.0,14.0,21.0,11.0,10.0,12.0,9.0,6.0,14.0,9.0,11.0,7.0,4.0,9.0,7.0,4.0,257.0
[TRIP],1.0,1.0,2.0,0.0,7.0,0.0,5.0,6.0,8.0,12.0,11.0,32.0,37.0,35.0,31.0,20.0,16.0,14.0,16.0,254.0
