lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[USE],66.0,86.0,58.0,55.0,79.0,30.0,41.0,44.0,65.0,84.0,84.0,69.0,69.0,80.0,79.0,66.0,77.0,57.0,32.0,1221.0
[WAY],25.0,48.0,32.0,38.0,44.0,64.0,63.0,42.0,60.0,59.0,56.0,35.0,42.0,36.0,34.0,25.0,22.0,32.0,42.0,799.0
[MAN],54.0,53.0,35.0,40.0,32.0,65.0,65.0,39.0,59.0,56.0,65.0,35.0,40.0,44.0,24.0,19.0,17.0,22.0,19.0,783.0
[EFFORT],31.0,25.0,37.0,16.0,32.0,45.0,23.0,29.0,36.0,34.0,33.0,19.0,30.0,29.0,30.0,31.0,40.0,22.0,34.0,576.0
[DIFFERENCE],17.0,17.0,23.0,24.0,13.0,15.0,11.0,14.0,15.0,26.0,25.0,27.0,37.0,34.0,41.0,27.0,33.0,30.0,33.0,462.0
[LAW],70.0,66.0,41.0,57.0,21.0,12.0,34.0,16.0,10.0,5.0,20.0,15.0,14.0,17.0,16.0,10.0,14.0,12.0,6.0,456.0
[PART],20.0,28.0,37.0,22.0,26.0,20.0,23.0,18.0,20.0,29.0,19.0,29.0,32.0,25.0,22.0,25.0,22.0,17.0,11.0,445.0
[DECISION],0.0,4.0,2.0,0.0,0.0,3.0,1.0,0.0,2.0,4.0,10.0,7.0,33.0,49.0,56.0,45.0,72.0,79.0,73.0,440.0
[APPEARANCE],16.0,26.0,53.0,62.0,40.0,30.0,18.0,16.0,22.0,16.0,21.0,11.0,28.0,18.0,16.0,9.0,7.0,7.0,6.0,422.0
[PEOPLE],8.0,24.0,28.0,14.0,21.0,10.0,11.0,13.0,14.0,27.0,14.0,21.0,24.0,33.0,25.0,29.0,24.0,30.0,31.0,401.0
[PROGRESS],19.0,33.0,25.0,28.0,32.0,20.0,16.0,17.0,19.0,32.0,16.0,14.0,14.0,20.0,14.0,16.0,25.0,25.0,13.0,398.0
[SENSE],1.0,4.0,2.0,3.0,1.0,2.0,7.0,2.0,1.0,4.0,0.0,0.0,3.0,22.0,44.0,37.0,69.0,87.0,91.0,380.0
[MONEY],4.0,22.0,11.0,12.0,23.0,24.0,19.0,11.0,14.0,30.0,22.0,25.0,23.0,19.0,10.0,24.0,24.0,19.0,21.0,357.0
[MIND],16.0,21.0,22.0,32.0,14.0,49.0,24.0,12.0,20.0,25.0,35.0,10.0,7.0,21.0,6.0,7.0,11.0,5.0,10.0,347.0
[ATTEMPT],26.0,16.0,15.0,16.0,30.0,31.0,13.0,17.0,7.0,28.0,25.0,20.0,21.0,19.0,19.0,8.0,14.0,11.0,9.0,345.0
[WAR],20.0,26.0,21.0,19.0,36.0,12.0,13.0,9.0,9.0,12.0,34.0,23.0,15.0,32.0,12.0,12.0,9.0,5.0,8.0,327.0
[WORK],10.0,9.0,16.0,17.0,14.0,16.0,24.0,15.0,9.0,26.0,16.0,19.0,24.0,18.0,18.0,17.0,19.0,14.0,22.0,323.0
[MISTAKE],6.0,4.0,4.0,9.0,4.0,13.0,10.0,20.0,32.0,16.0,17.0,21.0,22.0,22.0,19.0,19.0,29.0,23.0,22.0,312.0
[THING],26.0,26.0,17.0,20.0,9.0,12.0,9.0,8.0,12.0,19.0,18.0,15.0,17.0,20.0,14.0,20.0,23.0,14.0,7.0,306.0
[LIFE],9.0,4.0,9.0,3.0,12.0,8.0,17.0,19.0,14.0,22.0,20.0,18.0,21.0,25.0,27.0,25.0,14.0,14.0,23.0,304.0
[CHANGE],8.0,8.0,7.0,13.0,7.0,6.0,13.0,13.0,3.0,18.0,22.0,17.0,19.0,19.0,24.0,20.0,39.0,34.0,12.0,302.0
[PUBLIC],13.0,25.0,15.0,20.0,28.0,4.0,13.0,8.0,11.0,11.0,21.0,18.0,20.0,15.0,13.0,14.0,21.0,13.0,16.0,299.0
[POINT],12.0,17.0,5.0,14.0,10.0,7.0,7.0,6.0,14.0,17.0,10.0,15.0,17.0,19.0,25.0,28.0,30.0,19.0,26.0,298.0
[IMPRESSION],21.0,21.0,31.0,20.0,10.0,15.0,17.0,12.0,6.0,28.0,24.0,14.0,22.0,13.0,13.0,4.0,6.0,4.0,8.0,289.0
[HOME],15.0,5.0,27.0,5.0,11.0,16.0,12.0,6.0,14.0,31.0,24.0,21.0,19.0,21.0,12.0,7.0,16.0,14.0,3.0,279.0
[STUDY],3.0,10.0,4.0,7.0,8.0,6.0,14.0,4.0,24.0,33.0,13.0,18.0,24.0,21.0,27.0,9.0,19.0,10.0,7.0,261.0
[CONTRIBUTION],0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0,7.0,18.0,17.0,26.0,33.0,21.0,19.0,30.0,53.0,16.0,250.0
[SPEECH],2.0,18.0,21.0,20.0,12.0,24.0,9.0,7.0,10.0,22.0,27.0,13.0,4.0,15.0,10.0,4.0,9.0,4.0,9.0,240.0
[CHOICE],6.0,5.0,7.0,5.0,11.0,2.0,8.0,6.0,7.0,4.0,8.0,4.0,17.0,19.0,35.0,19.0,27.0,14.0,35.0,239.0
[--],6.0,12.0,19.0,24.0,22.0,30.0,27.0,18.0,17.0,18.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,12.0,228.0
[STATEMENT],4.0,8.0,2.0,5.0,9.0,6.0,13.0,7.0,10.0,12.0,15.0,9.0,31.0,25.0,20.0,14.0,13.0,9.0,15.0,227.0
[PLACE],7.0,7.0,14.0,12.0,12.0,9.0,12.0,13.0,8.0,12.0,13.0,8.0,12.0,57.0,7.0,11.0,2.0,0.0,8.0,224.0
[ARRANGEMENT],8.0,28.0,36.0,18.0,10.0,10.0,10.0,4.0,2.0,13.0,10.0,6.0,13.0,11.0,5.0,10.0,12.0,6.0,11.0,223.0
[DISTINCTION],15.0,14.0,11.0,5.0,3.0,7.0,1.0,6.0,8.0,3.0,7.0,10.0,10.0,26.0,18.0,17.0,28.0,19.0,12.0,220.0
[OTHER],20.0,18.0,8.0,13.0,12.0,8.0,9.0,4.0,6.0,9.0,12.0,11.0,13.0,11.0,13.0,13.0,17.0,9.0,10.0,216.0
[CHILD],8.0,7.0,8.0,4.0,10.0,23.0,5.0,4.0,12.0,26.0,11.0,9.0,12.0,18.0,8.0,17.0,8.0,17.0,7.0,214.0
[SUBJECT],26.0,30.0,23.0,12.0,15.0,10.0,9.0,9.0,6.0,12.0,7.0,7.0,10.0,3.0,7.0,9.0,4.0,7.0,6.0,212.0
[PEACE],7.0,19.0,18.0,9.0,27.0,4.0,13.0,4.0,7.0,14.0,23.0,16.0,8.0,15.0,6.0,11.0,6.0,0.0,3.0,210.0
[GOVERNMENT],10.0,14.0,15.0,7.0,32.0,2.0,8.0,6.0,7.0,3.0,16.0,12.0,14.0,18.0,14.0,7.0,7.0,10.0,6.0,208.0
[PROVISION],14.0,30.0,15.0,19.0,18.0,3.0,11.0,7.0,6.0,7.0,16.0,10.0,8.0,7.0,3.0,11.0,8.0,12.0,3.0,208.0
[WORLD],7.0,11.0,7.0,8.0,10.0,8.0,9.0,9.0,6.0,7.0,9.0,21.0,9.0,19.0,7.0,7.0,19.0,17.0,16.0,206.0
[STATE],12.0,33.0,9.0,13.0,17.0,8.0,10.0,2.0,3.0,9.0,14.0,8.0,13.0,8.0,10.0,5.0,8.0,13.0,7.0,202.0
[NUMBER],6.0,5.0,6.0,10.0,8.0,2.0,12.0,16.0,12.0,13.0,9.0,13.0,22.0,15.0,9.0,11.0,11.0,13.0,7.0,200.0
[CASE],6.0,12.0,4.0,9.0,6.0,3.0,5.0,8.0,5.0,11.0,9.0,10.0,15.0,17.0,8.0,15.0,9.0,17.0,24.0,193.0
[OBSERVATION],15.0,13.0,27.0,9.0,8.0,6.0,4.0,4.0,6.0,13.0,4.0,13.0,10.0,9.0,11.0,8.0,16.0,14.0,2.0,192.0
[MATERIAL],3.0,7.0,4.0,4.0,2.0,4.0,4.0,6.0,5.0,11.0,10.0,23.0,40.0,18.0,15.0,9.0,6.0,9.0,2.0,182.0
[WOOD],4.0,11.0,10.0,9.0,13.0,11.0,5.0,11.0,13.0,11.0,6.0,11.0,9.0,19.0,8.0,15.0,7.0,3.0,3.0,179.0
[FRIEND],5.0,9.0,10.0,11.0,12.0,11.0,14.0,9.0,9.0,13.0,8.0,6.0,8.0,19.0,10.0,4.0,1.0,5.0,14.0,178.0
[OBJECT],18.0,17.0,23.0,13.0,9.0,9.0,7.0,6.0,7.0,11.0,6.0,8.0,3.0,7.0,7.0,9.0,9.0,6.0,1.0,176.0
[COUNTRY],8.0,8.0,17.0,7.0,12.0,6.0,7.0,6.0,4.0,6.0,12.0,17.0,21.0,6.0,14.0,5.0,10.0,3.0,6.0,175.0
[GENERAL],6.0,12.0,12.0,9.0,17.0,10.0,6.0,10.0,7.0,13.0,12.0,11.0,6.0,19.0,6.0,5.0,3.0,9.0,2.0,175.0
[DISCOVERY],6.0,6.0,7.0,11.0,9.0,5.0,9.0,9.0,23.0,10.0,16.0,9.0,9.0,10.0,7.0,17.0,8.0,0.0,3.0,174.0
[MATTER],2.0,13.0,8.0,17.0,7.0,15.0,10.0,4.0,12.0,7.0,11.0,8.0,10.0,2.0,8.0,6.0,15.0,12.0,6.0,173.0
[PROFIT],1.0,7.0,8.0,3.0,8.0,6.0,8.0,8.0,4.0,13.0,12.0,15.0,17.0,15.0,24.0,8.0,8.0,5.0,2.0,172.0
[FACT],3.0,2.0,8.0,5.0,5.0,7.0,11.0,9.0,13.0,10.0,14.0,12.0,14.0,16.0,10.0,8.0,13.0,5.0,6.0,171.0
[ROOM],2.0,0.0,2.0,7.0,2.0,7.0,3.0,5.0,6.0,9.0,18.0,16.0,10.0,27.0,30.0,7.0,9.0,5.0,5.0,170.0
[PREPARATION],13.0,11.0,24.0,12.0,14.0,18.0,7.0,9.0,4.0,10.0,12.0,10.0,8.0,4.0,2.0,2.0,2.0,4.0,2.0,168.0
[WOMAN],2.0,7.0,8.0,1.0,4.0,7.0,11.0,9.0,7.0,16.0,24.0,6.0,16.0,8.0,4.0,8.0,3.0,14.0,12.0,167.0
[REMARK],15.0,25.0,14.0,16.0,11.0,15.0,6.0,11.0,3.0,12.0,8.0,2.0,1.0,5.0,5.0,4.0,6.0,3.0,3.0,165.0
[INQUIRY],13.0,19.0,16.0,18.0,15.0,14.0,8.0,8.0,3.0,9.0,13.0,4.0,2.0,6.0,3.0,3.0,5.0,3.0,3.0,165.0
[IRON],2.0,8.0,3.0,14.0,44.0,3.0,8.0,4.0,11.0,7.0,7.0,9.0,5.0,2.0,20.0,6.0,7.0,2.0,1.0,163.0
[ADJUSTMENT],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,5.0,40.0,61.0,18.0,3.0,11.0,5.0,7.0,163.0
[PAPER],1.0,12.0,2.0,7.0,12.0,1.0,6.0,2.0,4.0,7.0,8.0,1.0,72.0,9.0,6.0,7.0,1.0,0.0,3.0,161.0
[NOISE],6.0,5.0,3.0,21.0,11.0,12.0,9.0,8.0,12.0,11.0,11.0,5.0,6.0,5.0,10.0,9.0,6.0,4.0,6.0,160.0
[TRIP],0.0,4.0,0.0,4.0,3.0,13.0,9.0,4.0,2.0,16.0,18.0,5.0,16.0,8.0,13.0,5.0,5.0,21.0,12.0,158.0
[PERSON],8.0,15.0,9.0,8.0,6.0,3.0,11.0,5.0,7.0,12.0,5.0,5.0,20.0,14.0,5.0,4.0,7.0,5.0,7.0,156.0
