lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[PLACE],614.0,743.0,749.0,671.0,679.0,708.0,584.0,572.0,648.0,523.0,561.0,539.0,561.0,553.0,560.0,519.0,452.0,375.0,323.0,10934.0
[CARE],224.0,290.0,264.0,270.0,348.0,279.0,259.0,231.0,261.0,255.0,207.0,359.0,300.0,384.0,300.0,216.0,234.0,252.0,271.0,5204.0
[HAND],155.0,168.0,204.0,212.0,172.0,209.0,152.0,178.0,232.0,197.0,185.0,165.0,166.0,144.0,149.0,112.0,120.0,122.0,114.0,3156.0
[PART],128.0,157.0,162.0,140.0,166.0,150.0,164.0,183.0,170.0,200.0,152.0,143.0,140.0,138.0,125.0,94.0,85.0,74.0,82.0,2653.0
[STEP],42.0,61.0,85.0,58.0,57.0,90.0,68.0,93.0,115.0,70.0,115.0,133.0,117.0,152.0,122.0,123.0,146.0,146.0,212.0,2005.0
[ADVANTAGE],74.0,143.0,86.0,103.0,92.0,98.0,69.0,120.0,105.0,148.0,109.0,80.0,99.0,104.0,107.0,81.0,90.0,111.0,114.0,1933.0
[ARM],71.0,78.0,87.0,64.0,107.0,99.0,41.0,81.0,58.0,69.0,63.0,83.0,93.0,89.0,67.0,56.0,68.0,28.0,30.0,1332.0
[POSSESSION],118.0,110.0,98.0,133.0,138.0,117.0,101.0,130.0,100.0,79.0,59.0,35.0,14.0,22.0,15.0,11.0,12.0,7.0,5.0,1304.0
[ACCOUNT],38.0,27.0,37.0,39.0,50.0,44.0,77.0,71.0,71.0,72.0,84.0,56.0,64.0,66.0,64.0,82.0,76.0,94.0,67.0,1179.0
[SEAT],44.0,105.0,102.0,103.0,95.0,124.0,89.0,80.0,67.0,38.0,36.0,36.0,24.0,30.0,29.0,40.0,44.0,32.0,59.0,1177.0
[LOOK],10.0,21.0,19.0,23.0,18.0,29.0,19.0,23.0,35.0,52.0,54.0,66.0,112.0,126.0,116.0,92.0,97.0,117.0,118.0,1147.0
[MAN],42.0,44.0,56.0,53.0,54.0,70.0,67.0,79.0,71.0,85.0,79.0,82.0,70.0,62.0,56.0,46.0,32.0,39.0,28.0,1115.0
[FORM],19.0,15.0,34.0,36.0,46.0,47.0,52.0,67.0,75.0,73.0,78.0,83.0,72.0,74.0,79.0,64.0,72.0,60.0,43.0,1089.0
[INTEREST],46.0,71.0,78.0,65.0,78.0,80.0,73.0,70.0,81.0,81.0,54.0,46.0,51.0,29.0,50.0,29.0,27.0,29.0,17.0,1055.0
[HOLD],39.0,53.0,73.0,70.0,75.0,50.0,50.0,81.0,50.0,56.0,75.0,46.0,58.0,36.0,46.0,26.0,40.0,44.0,45.0,1013.0
[LEAVE],107.0,110.0,134.0,130.0,76.0,86.0,64.0,50.0,32.0,27.0,21.0,13.0,18.0,24.0,15.0,27.0,29.0,17.0,17.0,997.0
[CHARGE],41.0,47.0,38.0,56.0,74.0,60.0,49.0,84.0,45.0,65.0,38.0,52.0,52.0,40.0,37.0,28.0,48.0,20.0,24.0,898.0
[LIFE],54.0,71.0,64.0,42.0,58.0,48.0,52.0,60.0,47.0,55.0,52.0,43.0,30.0,20.0,35.0,26.0,47.0,26.0,53.0,883.0
[CHANCE],8.0,8.0,18.0,6.0,14.0,17.0,37.0,33.0,55.0,94.0,91.0,87.0,77.0,82.0,58.0,68.0,53.0,37.0,36.0,879.0
[VIEW],57.0,60.0,73.0,72.0,60.0,54.0,63.0,49.0,43.0,40.0,25.0,36.0,36.0,47.0,26.0,48.0,35.0,25.0,24.0,873.0
[COURSE],51.0,60.0,46.0,34.0,23.0,43.0,38.0,36.0,38.0,34.0,45.0,38.0,37.0,53.0,73.0,42.0,42.0,48.0,47.0,828.0
[POSITION],21.0,30.0,42.0,32.0,67.0,55.0,33.0,51.0,49.0,51.0,42.0,42.0,27.0,39.0,59.0,52.0,54.0,37.0,28.0,811.0
[TURN],18.0,17.0,19.0,28.0,32.0,44.0,36.0,38.0,52.0,37.0,43.0,34.0,69.0,50.0,49.0,56.0,49.0,55.0,61.0,787.0
[THING],21.0,30.0,27.0,34.0,45.0,39.0,30.0,35.0,54.0,56.0,54.0,46.0,44.0,53.0,42.0,28.0,28.0,36.0,46.0,748.0
[PAIN],50.0,46.0,45.0,46.0,57.0,70.0,47.0,45.0,36.0,60.0,26.0,30.0,35.0,24.0,16.0,21.0,20.0,25.0,20.0,719.0
[NOTICE],74.0,51.0,48.0,38.0,68.0,50.0,49.0,34.0,43.0,52.0,38.0,31.0,27.0,26.0,18.0,22.0,22.0,14.0,13.0,718.0
[BREATH],8.0,6.0,6.0,13.0,20.0,14.0,18.0,19.0,26.0,40.0,39.0,24.0,45.0,45.0,56.0,49.0,76.0,95.0,117.0,716.0
[MONEY],16.0,24.0,26.0,16.0,29.0,17.0,45.0,26.0,54.0,44.0,38.0,56.0,39.0,39.0,54.0,46.0,38.0,41.0,40.0,688.0
[WAY],39.0,31.0,47.0,43.0,32.0,43.0,35.0,51.0,45.0,50.0,37.0,26.0,32.0,27.0,30.0,24.0,24.0,20.0,21.0,657.0
[CHILD],36.0,17.0,23.0,37.0,29.0,46.0,35.0,46.0,28.0,25.0,29.0,32.0,34.0,45.0,40.0,25.0,32.0,40.0,35.0,634.0
[NOTE],21.0,30.0,27.0,32.0,24.0,34.0,41.0,40.0,45.0,51.0,22.0,20.0,31.0,27.0,29.0,32.0,37.0,45.0,40.0,628.0
[MEASURE],48.0,70.0,59.0,33.0,48.0,45.0,27.0,21.0,30.0,32.0,33.0,23.0,27.0,22.0,20.0,23.0,19.0,24.0,23.0,627.0
