lemma,count
place,784
care,268
"",163
hand,141
leave,129
part,123
possession,120
advantage,98
seat,91
view,67
man,66
life,66
step,65
interest,64
way,62
arm,61
hold,59
measure,55
notice,54
oath,52
pain,50
position,48
side,48
charge,47
course,44
ground,44
liberty,43
pleasure,40
stand,40
name,39
word,39
consideration,39
prisoner,35
thing,34
child,33
occasion,33
house,33
field,33
direction,33
turn,32
subject,32
book,31
account,30
money,30
trouble,29
form,28
passage,28
hat,28
lead,28
note,27
heart,26
surprise,26
right,25
water,25
post,25
effect,25
opportunity,25
cognizance,25
root,24
look,24
country,24
paper,23
fire,23
command,23
abode,23
oar,22
advice,22
power,22
wife,21
king,21
case,21
pocket,21
flight,21
rise,21
general,20
other,20
number,20
letter,20
rank,19
refuge,19
matter,18
aim,18
departure,18
station,18
head,17
food,17
delight,17
affair,17
public,17
share,17
precaution,17
body,17
whole,17
point,16
chance,16
father,16
offense,16
circumstance,15
state,15
pen,15
glass,15
force,15
captive,15
vessel,15
pride,15
walk,15
party,15
example,14
heed,14
land,14
system,14
office,14
fancy,14
soil,14
chair,13
horse,13
fact,13
/z/,13
world,13
light,13
wing,13
consequence,13
river,13
quarter,13
survey,13
mother,12
room,12
enemy,12
drink,12
alarm,12
eye,12
mind,12
--,12
people,12
law,12
degree,12
question,12
boat,12
path,12
residence,12
person,11
order,11
counsel,11
property,11
cause,11
indian,11
moment,11
pinch,11
army,11
society,11
fellow,11
vengeance,11
government,11
tree,10
neck,10
boy,10
precedence,10
snuff,10
service,10
instance,10
gun,10
type,10
business,10
good,10
family,10
soul,10
comfort,10
breath,10
castle,10
distance,10
character,10
shelter,10
nation,10
meaning,9
sir,9
opinion,9
son,9
pistol,9
war,9
cotton,9
foot,9
gold,9
origin,9
sense,9
home,9
article,9
city,9
ship,9
bosom,9
tea,9
english,9
cap,9
piece,8
dinner,8
breakfast,8
spring,8
wood,8
mean,8
shape,8
quantity,8
friend,8
sight,8
supply,8
watch,8
think,8
lady,8
cup,8
purse,8
hint,8
girl,8
cold,8
helm,8
president,8
lesson,8
mouth,8
human,8
exception,8
responsibility,7
nature,7
plant,7
plan,7
refreshment,7
rest,7
storm,7
medicine,7
town,7
object,7
labor,7
air,7
observation,7
pocket-book,7
evidence,7
estate,7
resolution,7
table,7
drop,7
condition,7
knife,7
meal,7
officer,7
credit,7
situation,7
mass,7
respect,7
issue,6
french,6
courage,6
gentleman,6
deed,6
provision,6
congress,6
heel,6
daughter,6
mine,6
start,6
//,6
card,6
material,6
exercise,6
sum,6
draught,6
sick,6
defense,6
glance,6
bank,6
action,6
breast,6
prison,6
leaf,6
dog,6
kitchen,6
servant,6
pity,6
clothes,6
proof,6
road,6
present,6
revenge,6
pull,6
round,6
bride,6
carriage,6
market,6
box,6
necessity,6
reason,6
route,6
health,6
future,6
kind,6
door,6
election,6
journey,6
bag,6
portion,6
slave,6
peep,6
truth,6
lodging,6
red,6
manner,6
bill,6
track,5
member,5
line,5
wine,5
baggage,5
coat,5
despatch,5
street,5
hall,5
green,5
illustration,5
welfare,5
polish,5
language,5
devil,5
image,5
allegiance,5
purpose,5
key,5
throne,5
close,5
middle,5
argument,5
evil,5
infant,5
shoot,5
swamp,5
stranger,5
mountain,5
end,5
authority,5
grave,5
fall,5
meeting,5
battle,5
beauty,5
church,5
deck,5
influence,5
basket,5
ther,5
nap,5
pill,5
woman,5
principle,5
passenger,5
deliberation,5
surface,5
supper,5
work,5
ring,5
thread,5
value,5
island,5
result,5
leap,5
basis,5
extent,5
trade,5
skiff,5
sword,5
method,5
motion,5
candle,5
master,5
choice,5
crown,5
school,5
average,5
deal,5
live,5
sail,5
speech,5
captain,5
favor,5
death,5
reality,4
age,4
cover,4
fruit,4
package,4
bed,4
tobacco,4
loss,4
branch,4
price,4
warning,4
bird,4
event,4
female,4
set,4
fortune,4
wind,4
whar,4
plantation,4
meat,4
bar,4
throat,4
control,4
division,4
return,4
administration,4
debate,4
risk,4
bottle,4
hue,4
host,4
specimen,4
sheet,4
convention,4
feeling,4
amount,4
copper,4
stroke,4
animal,4
lord,4
writing,4
fort,4
review,4
bow,4
tower,4
mercy,4
nourishment,4
horn,4
use,4
pencil,4
bear,4
stock,4
resistance,4
reader,4
doctrine,4
secret,4
tongue,4
handful,4
parliament,4
flour,4
philosophy,4
dose,4
knowledge,4
behalf,4
trip,4
kingdom,4
variety,4
park,4
connection,4
trunk,4
freedom,4
protection,4
sort,4
bible,4
duty,4
history,4
stage,4
chain,4
grasp,4
prize,4
rose,4
stroll,4
notion,4
pay,4
spy-glass,4
edge,4
shoulder,4
scalp,4
address,4
queen,4
judgment,4
capillary,4
store,4
sentiment,4
revenue,4
harp,4
spirit,4
error,3
ambition,3
fence,3
promise,3
steamboat,3
bite,3
arrow,3
staff,3
punishment,3
bet,3
attention,3
compass,3
chapter,3
moral,3
window,3
needle,3
hill,3
singular,3
cavern,3
settlement,3
increase,3
act,3
burglar,3
discovery,3
savage,3
design,3
nigger,3
pressure,3
husband,3
capital,3
native,3
commerce,3
sweep,3
chase,3
minister,3
advance,3
oxygen,3
rein,3
baby,3
vow,3
brain,3
laterals,3
disease,3
length,3
change,3
cue,3
bond,3
weight,3
relative,3
pipe,3
hatchet,3
agency,3
constitution,3
senate,3
color,3
palace,3
coffee,3
justice,3
joke,3
weapon,3
call,3
cast,3
opposite,3
shore,3
ease,3
circuit,3
fright,3
violence,3
calm,3
plain,3
scale,3
custody,3
prejudice,3
hope,3
joy,3
weakness,3
report,3
fortress,3
remark,3
bundle,3
march,3
parent,3
oil,3
covenant,3
absence,3
ear,3
yeas,3
complexion,3
mound,3
exchange,3
