lemma,count
place,251
care,87
"",58
possession,41
part,38
advantage,36
hand,33
refuge,29
man,27
interest,25
food,25
pain,25
arm,23
prisoner,23
seat,23
flight,22
step,22
boat,21
leave,20
water,20
horse,19
hold,19
--,19
charge,18
form,18
think,18
wife,17
view,17
course,17
child,16
quarter,16
name,16
position,14
trouble,14
notice,14
precaution,14
pleasure,14
passage,14
road,13
life,13
country,13
head,12
walk,12
abode,12
turn,12
effect,12
way,11
piece,11
aim,11
home,11
delight,11
other,11
room,11
steamer,11
iron,10
body,10
drink,10
oath,10
rise,10
cold,10
line,10
account,9
departure,9
opportunity,9
party,9
lead,9
matter,9
fire,9
car,9
side,9
consideration,8
cognizance,8
rifle,8
office,8
shelter,8
shape,8
canoe,8
case,8
surprise,8
woman,8
glance,8
root,8
stand,8
look,8
leap,8
stomach,7
liberty,7
nourishment,7
camp,7
family,7
mind,7
rank,7
prison,7
measure,7
book,7
chance,7
offense,7
trap,7
field,7
exercise,7
breast,7
ground,6
army,6
light,6
company,6
rest,6
post,6
soldier,6
heed,6
alarm,6
game,6
medicine,6
nest,6
wood,6
counsel,6
note,6
land,6
whole,6
milk,6
foot,6
work,6
war,6
boy,6
command,6
fright,5
river,5
cow,5
powder,5
son,5
meat,5
force,5
tail,5
word,5
wine,5
direction,5
eye,5
public,5
kind,5
money,5
point,5
city,5
cup,5
paper,5
title,5
den,5
bath,5
track,5
cattle,5
trial,5
toll,5
train,5
forest,5
trail,5
pity,5
order,5
tree,4
supper,4
portion,4
pound,4
animal,4
oil,4
tribe,4
good,4
class,4
abundance,4
pack,4
baby,4
station,4
escape,4
house,4
load,4
hint,4
advice,4
justice,4
foe,4
meal,4
daughter,4
color,4
tone,4
air,4
thing,4
cross,4
pocket,4
person,4
action,4
shore,4
carriage,4
lung,4
ship,4
nature,4
affair,4
supply,4
world,4
initiative,4
responsibility,4
condition,4
guard,4
scalp,4
spring,4
absence,4
start,4
share,4
father,4
shear,4
ride,4
stride,4
idea,4
blanket,4
fact,4
mean,4
stranger,4
squirrel,4
branch,4
cut,4
hat,4
green,3
earth,3
king,3
hole,3
cap,3
middle,3
cell,3
mouth,3
slave,3
interior,3
coffee,3
staff,3
avidity,3
survey,3
sword,3
path,3
shot,3
clothing,3
storm,3
breath,3
bow,3
physician,3
appetite,3
mother,3
heaven,3
remain,3
deposition,3
occasion,3
master,3
state,3
table,3
cloth,3
troop,3
nipple,3
arrow,3
footnote,3
steamboat,3
sun,3
number,3
knife,3
testimony,3
pill,3
disadvantage,3
english,3
corpse,3
french,3
representation,3
vessel,3
physic,3
mule,3
captive,3
niggah,3
savannah,3
effort,3
deal,3
railroad,3
whiff,3
product,3
greek,3
journey,3
end,3
virchow,3
watch,3
prize,3
heel,3
religion,3
human,3
death,3
gold,3
distance,3
bread,3
investigation,3
courage,3
creature,3
clothes,3
dinner,3
sick,3
economist,3
brother,3
philosophy,3
wagon,3
situation,3
sense,3
route,3
law,3
chapter,3
letter,3
question,3
region,3
jewel,3
back-track,3
breeze,3
friend,3
risk,3
hunt,3
creek,2
silver,2
quiver,2
answer,2
poison,2
credit,2
confidence,2
address,2
report,2
dram,2
exception,2
moment,2
age,2
ease,2
depot,2
illustration,2
chill,2
servant,2
magazine,2
fleet,2
instrument,2
venture,2
triumph,2
breakfast,2
cabin,2
acid,2
organ,2
cargo,2
turkey,2
campaign,2
present,2
music,2
farewell,2
show,2
attempt,2
instance,2
precedence,2
semblance,2
heat,2
teaching,2
sack,2
citizen,2
consent,2
authority,2
hollow,2
mountain,2
mouthful,2
vow,2
female,2
tent,2
stick,2
tow,2
contest,2
dislike,2
corn,2
hospital,2
fit,2
treatment,2
throne,2
object,2
handful,2
channel,2
battle,2
god,2
expedition,2
floor,2
leetle,2
instruction,2
beer,2
proportion,2
cue,2
physiology,2
freight,2
wing,2
officer,2
park,2
bottle,2
power,2
dose,2
left,2
morsel,2
compassion,2
nap,2
trip,2
axis,2
wall,2
governor,2
ark,2
gates,2
amount,2
principal,2
mine,2
chevalier,2
close,2
store,2
sanctuary,2
ring,2
volume,2
council,2
glove,2
bribe,2
sort,2
debate,2
imprint,2
teacher,2
vegetable,2
revenge,2
travel,2
sin,2
live,2
horn,2
heart,2
advance,2
cart,2
cause,2
corinth,2
provision,2
mass,2
court,2
bench,2
fancy,2
article,2
rail,2
system,2
secret,2
rod,2
battery,2
origin,2
rubber,2
bigamy,2
dog,2
axe,2
potash,2
hotel,2
lady,2
right,2
favor,2
queen,2
fruit,2
hill,2
layer,2
hurry,2
act,2
eddy,2
bed,2
gun,2
bone,2
reader,2
exchange,2
lunch,2
quantity,2
scene,2
bundle,2
language,2
team,2
individual,2
space,2
swamp,2
character,2
bearing,2
march,2
nation,2
magistrate,2
repose,2
control,2
savage,2
medium,2
theory,2
coat,2
production,2
consequence,2
town,2
grass,2
scale,2
fall,2
event,2
flesh,2
goose,2
people,2
pen,2
fly,2
bird,2
noble,2
run,2
hall,2
top,2
