lemma,count
place,176
part,59
care,55
"",49
advantage,45
hand,40
step,36
account,32
action,29
form,29
man,26
chance,24
stand,22
hold,19
interest,19
case,17
word,16
life,16
course,15
air,15
work,15
pride,15
view,15
side,14
charge,13
risk,13
look,13
thing,13
refuge,12
lead,12
trouble,12
position,11
matter,11
child,11
possession,11
measure,11
precaution,11
stock,11
train,10
state,10
office,10
woman,10
turn,10
consideration,10
arm,10
example,10
oath,10
order,9
idea,9
way,9
present,9
walk,9
cognizance,9
pleasure,9
pain,9
girl,9
government,9
leave,9
road,9
point,8
pen,8
home,8
opportunity,8
hat,8
situation,8
seat,8
root,8
city,8
control,8
notice,8
responsibility,8
foot,8
house,8
boy,8
war,8
people,7
ground,7
wife,7
money,7
machine,7
bath,7
shape,7
field,7
water,7
baby,7
attitude,7
rest,7
flight,6
effect,6
public,6
question,6
fact,6
occasion,6
delight,6
world,6
body,6
note,6
heart,6
religion,6
initiative,5
president,5
friend,5
joy,5
town,5
choice,5
loss,5
surprise,5
book,5
school,5
think,5
number,5
trip,5
name,5
future,5
food,5
lease,5
holiday,5
hospital,5
method,5
issue,5
country,5
burden,5
--,5
bed,5
picture,5
shoe,5
toll,4
experience,4
drink,4
tea,4
pay,4
heed,4
land,4
other,4
power,4
lady,4
kind,4
residence,4
sick,4
face,4
french,4
exception,4
rein,4
bread,4
ship,4
one,4
whole,4
courage,4
credit,4
age,4
chair,4
member,4
system,4
mother,4
coat,4
mind,4
liberty,4
art,4
direction,4
dust,4
boat,4
observation,4
minister,4
service,4
hint,4
peasant,4
gift,4
piece,4
ride,4
tow,3
law,3
dislike,3
departure,3
journey,3
health,3
administration,3
criticism,3
lesson,3
sea,3
degree,3
fancy,3
lot,3
space,3
exercise,3
policy,3
leap,3
pension,3
study,3
medicine,3
automobile,3
deal,3
amount,3
passage,3
writer,3
practice,3
cabinet,3
article,3
bribe,3
punishment,3
temperature,3
passenger,3
breath,3
prize,3
bus,3
bowl,3
safety,3
privilege,3
landlord,3
army,3
activity,3
son,3
human,3
knife,3
union,3
egg,3
hotel,3
short-cut,3
bit,3
gold,3
right,3
husband,3
plane,3
problem,3
committee,3
horse,3
farm,3
share,3
fight,3
end,3
station,3
politics,3
supply,3
room,3
door,3
table,3
illustration,3
head,3
rate,3
change,3
taxi,3
testimony,3
census,3
need,3
duty,3
aspect,3
title,3
precedence,3
labor,3
cue,3
job,3
faith,3
senate,3
color,3
vote,3
model,3
judge,3
message,3
traffic,2
force,2
shoulder,2
iron,2
yard,2
regiment,2
function,2
car,2
stain,2
schooner,2
capital,2
animal,2
material,2
insurance,2
cry,2
tradition,2
economy,2
porsena,2
conference,2
apple,2
queen,2
clothes,2
fruit,2
castle,2
lid,2
nest,2
leaf,2
task,2
justice,2
master,2
cargo,2
railway,2
mean,2
glimpse,2
act,2
rule,2
route,2
science,2
value,2
intellectual,2
fish,2
count,2
willingness,2
library,2
guardianship,2
church,2
path,2
stuff,2
attention,2
wit,2
hoover,2
milk,2
pipe,2
mountain,2
reading,2
dock,2
cap,2
effort,2
bank,2
republican,2
indian,2
reduction,2
rubber,2
building,2
subject,2
russian,2
flood,2
identification,2
move,2
firm,2
party,2
edu,2
peep,2
executive,2
pocket,2
complaint,2
history,2
statement,2
good,2
cut,2
wing,2
beauty,2
declaration,2
studio,2
frontier,2
possibility,2
bill,2
shot,2
gentleman,2
theater,2
ease,2
guest,2
institution,2
cold,2
leisure,2
king,2
enthusiasm,2
nourishment,2
challenge,2
fear,2
fealty,2
page,2
discussion,2
survey,2
cathedral,2
violence,2
envelope,2
development,2
chinaman,2
duckling,2
prisoner,2
basis,2
pilot,2
knee,2
soul,2
training,2
person,2
recess,2
agreement,2
painter,2
half,2
folk,2
resource,2
thought,2
plebiscite,2
football,2
profession,2
pace,2
affair,2
wheat,2
news,2
negro,2
watch,2
principle,2
absence,2
shore,2
nature,2
plant,2
box,2
rank,2
greek,2
anger,2
fiction,2
sort,2
asset,2
jamboree,2
management,2
key,2
defense,2
parent,2
light,2
context,2
clusium,2
conception,2
significance,2
vision,2
energy,2
sting,2
leader,2
floor,2
bench,2
edge,2
clothing,2
crichton,2
worker,2
jezebel,2
subway,2
guard,2
sister,2
drug,2
trick,2
dispute,2
society,2
stocking,2
olympics,2
grundy,2
import,2
command,2
wagon,2
pot,2
mine,2
catholic,2
lover,2
apartment,2
patient,2
series,2
vengeance,2
text,2
aerodrome,2
english,2
cell,2
socialist,2
repose,2
american,2
delegate,2
mouth,2
desire,2
crowd,2
college,2
rice,2
line,2
theory,2
condition,2
department,2
tariff,2
consequence,2
italian,2
board,2
swim,2
advertising,2
knowledge,2
photograph,2
revision,2
weather,2
street,2
respect,2
eye,2
coal,2
sense,2
fur,2
generation,2
airplane,2
vow,2
match,2
post,2
