lemma,count
care,146
hand,103
"",93
place,89
breath,67
look,60
step,58
arm,58
man,29
sip,29
seat,26
turn,25
chance,25
eye,24
walk,23
moment,22
hold,21
thing,19
money,19
advantage,18
charge,17
picture,17
life,16
room,16
child,16
bite,16
clothes,15
note,15
home,15
order,15
house,15
paper,14
drink,14
position,14
couple,14
water,14
glass,14
risk,13
bag,12
--,12
head,12
right,12
shower,11
case,11
mind,11
part,11
coat,11
offense,11
mother,11
action,11
girl,10
hit,10
back,9
cup,9
car,9
pain,9
table,9
swallow,9
bottle,8
business,8
shot,8
boat,8
trip,8
blood,8
glance,8
course,8
leave,8
boy,8
face,8
point,8
control,8
lot,8
responsibility,8
pride,8
pocket,8
kid,8
woman,7
form,7
key,7
cover,7
bath,7
bed,7
loss,7
way,7
cigarette,7
jacket,7
beer,7
fire,7
photo,7
pull,7
station,7
gun,7
bus,7
pill,7
call,7
box,7
shirt,7
airport,6
war,6
other,6
phone,6
book,6
hat,6
advice,6
piece,6
ring,6
lead,6
dinner,6
ice,6
top,6
interest,6
wheel,6
name,6
doctor,6
people,6
body,6
pair,6
foot,6
offer,6
job,6
father,6
flash,6
kitchen,5
gulp,5
detail,5
pipe,5
photograph,5
stride,5
half,5
town,5
heat,5
command,5
work,5
sign,5
cake,5
boot,5
stick,5
family,5
rest,5
zelda,5
food,5
break,5
pen,5
load,5
p.-a,5
rag,5
plastic,5
son,5
joint,5
ship,5
air,5
daughter,5
stone,5
pack,5
drive,5
beating,5
account,5
field,5
blame,5
surprise,5
road,5
tea,4
sea,4
radio,4
toke,4
fuel,4
wallet,4
atthis,4
aim,4
practice,4
cab,4
oath,4
shape,4
effort,4
notice,4
comfort,4
game,4
elbow,4
service,4
measure,4
property,4
custody,4
mask,4
check,4
sink,4
swig,4
abuse,4
run,4
problem,4
guerrilla,4
slack,4
team,4
hint,4
word,4
security,4
rifle,4
school,4
fact,4
opportunity,4
brother,4
duty,4
trolley,4
kind,4
bow,4
world,4
plate,4
matter,4
section,4
lesson,4
alfie,4
pencil,4
tent,4
m,4
envelope,4
tray,4
train,4
beat,4
final,4
chair,4
floor,3
medicine,3
tone,3
movie,3
exit,3
confidence,3
letter,3
jar,3
depth,3
door,3
refuge,3
track,3
schaefer,3
bill,3
end,3
firm,3
desk,3
lift,3
music,3
horse,3
snake,3
master,3
sheet,3
scene,3
mym,3
helmet,3
need,3
glory,3
shoulder,3
set,3
bertrum,3
degree,3
cue,3
missile,3
pietro,3
office,3
shop,3
wing,3
quality,3
possession,3
aspect,3
space,3
watch,3
ride,3
think,3
leg,3
finger,3
vodka,3
tow,3
coffee,3
grain,3
king,3
page,3
exam,3
lighter,3
mike,3
study,3
dress,3
drug,3
flight,3
park,3
prisoner,3
joke,3
brain,3
front,3
direction,3
rack,3
file,3
wire,3
initiative,3
shoe,3
precaution,3
route,3
nap,3
court,3
religion,3
suitcase,3
roll,3
squad,3
weapon,3
human,3
live,3
apartment,3
story,3
sight,3
nurse,3
street,3
baby,3
island,3
gold,3
can,3
sir,3
test,3
grip,3
tube,3
fly,3
bridge,3
card,3
dad,3
gown,2
training,2
whip,2
city,2
government,2
elevator,2
stance,2
japanese,2
approach,2
soldier,2
army,2
silver,2
rabbit,2
puff,2
change,2
bone,2
streetcar,2
edge,2
instruction,2
identity,2
llama,2
swipe,2
subway,2
lunch,2
headset,2
fuck,2
trace,2
pot,2
extreme,2
bowl,2
leak,2
diamond,2
bond,2
officer,2
company,2
storage,2
power,2
folder,2
cry,2
moser,2
ma,2
jacki,2
spoonful,2
search,2
count,2
rubber,2
country,2
vito,2
satisfaction,2
handkerchief,2
beach,2
colonel,2
tongue,2
iceberg,2
dog,2
report,2
studio,2
sack,2
generation,2
credit,2
judge,2
stitch,2
mac,2
rebuke,2
mine,2
ext,2
enemy,2
breakfast,2
trash,2
guard,2
necklace,2
shortcut,2
jury,2
notebook,2
array,2
brandy,2
element,2
challenge,2
jubal,2
briefing,2
bird,2
leap,2
task,2
robe,2
supper,2
reservation,2
delight,2
information,2
juice,2
thanks,2
bosom,2
situation,2
punch,2
glove,2
square,2
payment,2
neck,2
side,2
aspirin,2
strength,2
passage,2
knife,2
general,2
suit,2
towel,2
public,2
cassette,2
residence,2
sample,2
wine,2
smoke,2
willie,2
jungle,2
trouble,2
settlement,2
cool,2
canoe,2
sy,2
stretch,2
no,2
post,2
ball,2
line,2
mouth,2
stem,2
pleasure,2
swim,2
manila,2
honey,2
appearance,2
effect,2
science,2
muchee,2
checkpoint,2
casualty,2
stair,2
patrol,2
courage,2
garbage,2
oil,2
cave,2
imagination,2
bit,2
battle,2
conference,2
answer,2
heel,2
sail,2
joy,2
clothing,2
shadow,2
soul,2
party,2
hospital,2
cloverleaf,2
bracelet,2
rug,2
spider,2
client,2
salt,2
welfare,2
force,2
wave,2
pity,2
project,2
tour,2
vacation,2
examine,2
sadness,2
building,2
transport,2
storm,2
cap,2
indian,2
punishment,2
feel,2
corner,2
gym,2
mom,2
tip,2
shit,2
lap,2
middle,2
sock,2
goblin,2
toll,2
nod,2
pant,2
shopping,2
vow,2
reason,2
portion,2
hook,2
fish,2
inquest,2
rein,2
log,2
steak,2
kiss,2
development,2
doll,2
peek,2
news,2
examination,2
map,2
sympathy,2
sweater,2
badge,2
periscope,2
river,2
bait,2
cable,2
document,2
hijack,2
pass,2
detour,2
reading,2
cherry,2
heart,2
package,2
shout,2
sustenance,2
tooth,2
flag,2
taste,2
leah,2
temperature,2
ski,1
rowing,1
costume,1
sub,1
invader,1
shabbat,1
more'n,1
turkey,1
choir,1
show,1
liquid,1
flamethrower,1
tyson,1
harada,1
insect,1
peashooter,1
limit,1
mortgage,1
countryside,1
beastie,1
sister,1
port,1
granddaughter,1
pawn,1
coke,1
nursery,1
plead,1
hair,1
strain,1
uniform,1
unreliability,1
feather,1
clearing,1
canister,1
start,1
seedship,1
hack,1
collective,1
concentration,1
telegram,1
komiteh,1
sling,1
spring,1
person,1
anyere,1
railing,1
tangle,1
hawser,1
stab,1
sideshow,1
goggle,1
wind,1
sex,1
replica,1
backseat,1
stand,1
law,1
blade,1
base,1
vicuna,1
rick,1
treachery,1
daily,1
argument,1
disappearance,1
fairhope,1
monk,1
criticism,1
paleness,1
oar,1
purpose,1
shelf,1
pahlavi,1
sun,1
chant,1
flower,1
dishrag,1
emotion,1
gas-pressure,1
broom,1
mood,1
bust,1
reality,1
handful,1
mo-ment,1
batch,1
casino,1
fishing,1
context,1
ammunition,1
anodynes,1
lucien,1
cook,1
price,1
pan,1
guide,1
cross,1
greek,1
official-looking,1
yearling,1
cellar,1
mug,1
diplomacy,1
shell,1
pinch,1
ignition,1
wheeze,1
glamour,1
sit,1
dopey,1
chopper,1
buddy,1
onyx,1
wastebasket,1
recess,1
knee,1
plot,1
discussion,1
jump,1
gold-plated,1
gentleman,1
oats,1
daylight,1
make-believe,1
camera,1
tomcat,1
swing,1
cornerstone,1
scan,1
four-year-old,1
amalgam,1
tribe,1
pedal,1
friction,1
scrip,1
class,1
counter,1
bitter,1
sandal,1
receiver,1
deep,1
importance,1
nonfiction,1
division,1
pulse,1
hubcap,1
shoeshine,1
ad-vice,1
trail,1
caviar,1
group,1
splinter,1
member,1
disapproval,1
stern,1
moe,1
library,1
pillow,1
shed,1
dap,1
revenge,1
chocolate,1
rout,1
market,1
cast,1
nickel,1
default,1
robot,1
pinch-faced,1
sweating,1
umbrage,1
ahold,1
surveillance,1
lawyer,1
penis,1
heartbeat,1
shawl,1
writing,1
candy,1
past,1
respect,1
friend,1
daddy,1
polaroid,1
green,1
cabbie,1
