lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[CARE],142.0,110.0,112.0,145.0,201.0,141.0,149.0,107.0,150.0,133.0,102.0,174.0,154.0,191.0,179.0,109.0,146.0,141.0,156.0,2742.0
[PLACE],184.0,195.0,185.0,140.0,148.0,191.0,133.0,128.0,141.0,119.0,138.0,94.0,97.0,104.0,97.0,86.0,89.0,63.0,65.0,2397.0
[HAND],121.0,112.0,158.0,159.0,116.0,149.0,92.0,124.0,173.0,126.0,122.0,115.0,134.0,122.0,123.0,91.0,103.0,108.0,91.0,2339.0
[ARM],41.0,48.0,50.0,40.0,58.0,65.0,27.0,58.0,47.0,42.0,46.0,71.0,78.0,78.0,51.0,45.0,58.0,23.0,22.0,948.0
[STEP],22.0,19.0,33.0,24.0,28.0,41.0,19.0,27.0,63.0,30.0,56.0,54.0,68.0,76.0,62.0,47.0,58.0,67.0,114.0,908.0
[LOOK],8.0,15.0,14.0,14.0,16.0,17.0,13.0,18.0,27.0,45.0,38.0,30.0,74.0,61.0,61.0,52.0,60.0,61.0,53.0,677.0
[SEAT],22.0,60.0,61.0,54.0,47.0,73.0,57.0,35.0,53.0,19.0,15.0,21.0,10.0,16.0,16.0,19.0,26.0,23.0,40.0,667.0
[ADVANTAGE],28.0,59.0,17.0,44.0,30.0,35.0,23.0,44.0,36.0,37.0,37.0,20.0,29.0,31.0,20.0,27.0,18.0,15.0,24.0,574.0
[BREATH],6.0,4.0,5.0,7.0,17.0,6.0,12.0,11.0,17.0,13.0,23.0,18.0,35.0,39.0,49.0,43.0,67.0,78.0,95.0,545.0
[PART],27.0,35.0,28.0,27.0,30.0,36.0,37.0,43.0,27.0,43.0,29.0,31.0,17.0,31.0,17.0,11.0,11.0,12.0,13.0,505.0
[MAN],21.0,23.0,18.0,20.0,20.0,26.0,21.0,31.0,34.0,35.0,40.0,35.0,30.0,29.0,30.0,28.0,29.0,19.0,13.0,502.0
[LEAVE],52.0,42.0,65.0,78.0,44.0,43.0,39.0,23.0,26.0,8.0,5.0,3.0,10.0,11.0,9.0,14.0,8.0,12.0,10.0,502.0
[CHANCE],5.0,6.0,9.0,2.0,8.0,5.0,19.0,20.0,24.0,68.0,60.0,29.0,38.0,48.0,34.0,39.0,25.0,26.0,21.0,486.0
[HOLD],17.0,18.0,36.0,17.0,45.0,16.0,23.0,38.0,26.0,30.0,35.0,11.0,37.0,19.0,30.0,13.0,21.0,24.0,16.0,472.0
[HAT],12.0,15.0,23.0,21.0,30.0,42.0,33.0,21.0,43.0,38.0,28.0,34.0,36.0,20.0,28.0,5.0,6.0,6.0,1.0,442.0
[TURN],11.0,13.0,10.0,15.0,15.0,23.0,17.0,25.0,41.0,20.0,24.0,16.0,35.0,23.0,20.0,28.0,25.0,32.0,28.0,421.0
[THING],11.0,13.0,7.0,16.0,26.0,30.0,15.0,20.0,36.0,30.0,29.0,29.0,26.0,35.0,22.0,11.0,19.0,21.0,22.0,418.0
[POSSESSION],43.0,37.0,22.0,37.0,42.0,33.0,36.0,34.0,37.0,21.0,24.0,8.0,5.0,7.0,3.0,3.0,3.0,5.0,2.0,402.0
[MONEY],7.0,16.0,13.0,6.0,13.0,7.0,22.0,16.0,43.0,28.0,27.0,33.0,20.0,24.0,34.0,30.0,19.0,18.0,25.0,401.0
[LIFE],32.0,21.0,44.0,18.0,27.0,28.0,22.0,22.0,17.0,20.0,24.0,19.0,10.0,11.0,11.0,10.0,16.0,10.0,24.0,386.0
[WAY],19.0,21.0,37.0,32.0,14.0,23.0,16.0,24.0,18.0,30.0,19.0,16.0,11.0,14.0,16.0,11.0,7.0,12.0,9.0,349.0
[WALK],10.0,8.0,14.0,15.0,15.0,21.0,18.0,19.0,17.0,16.0,13.0,21.0,20.0,20.0,23.0,21.0,23.0,35.0,17.0,346.0
[NOTICE],31.0,20.0,11.0,17.0,32.0,20.0,25.0,14.0,27.0,24.0,19.0,17.0,19.0,8.0,8.0,12.0,4.0,8.0,8.0,324.0
[INTEREST],9.0,17.0,14.0,22.0,33.0,26.0,23.0,29.0,36.0,28.0,15.0,12.0,15.0,8.0,10.0,7.0,6.0,4.0,6.0,320.0
[CHILD],26.0,4.0,13.0,24.0,21.0,23.0,17.0,20.0,12.0,14.0,11.0,21.0,17.0,20.0,16.0,7.0,16.0,14.0,14.0,310.0
[CHARGE],16.0,16.0,13.0,27.0,31.0,12.0,14.0,19.0,21.0,24.0,17.0,20.0,16.0,11.0,13.0,7.0,17.0,7.0,7.0,308.0
[PAPER],9.0,6.0,19.0,14.0,16.0,26.0,19.0,24.0,18.0,23.0,17.0,22.0,26.0,13.0,13.0,8.0,14.0,6.0,5.0,298.0
[NOTE],11.0,16.0,16.0,15.0,11.0,14.0,20.0,11.0,25.0,32.0,14.0,9.0,17.0,8.0,11.0,15.0,15.0,16.0,19.0,295.0
[WORD],11.0,8.0,13.0,16.0,14.0,22.0,20.0,15.0,21.0,15.0,30.0,21.0,12.0,17.0,20.0,7.0,4.0,7.0,14.0,287.0
[HOME],3.0,4.0,8.0,20.0,17.0,21.0,10.0,16.0,18.0,17.0,18.0,20.0,14.0,20.0,21.0,16.0,15.0,13.0,12.0,283.0
[ROOM],5.0,1.0,9.0,10.0,16.0,22.0,10.0,16.0,19.0,16.0,14.0,21.0,27.0,15.0,17.0,20.0,16.0,11.0,12.0,277.0
[EYE],7.0,5.0,8.0,6.0,13.0,6.0,7.0,8.0,11.0,10.0,16.0,5.0,28.0,28.0,25.0,22.0,24.0,17.0,22.0,268.0
[POCKET],10.0,7.0,7.0,10.0,11.0,11.0,11.0,21.0,23.0,30.0,23.0,21.0,28.0,19.0,9.0,6.0,8.0,5.0,6.0,266.0
[HOUSE],9.0,5.0,13.0,17.0,13.0,12.0,24.0,18.0,19.0,26.0,7.0,12.0,18.0,15.0,12.0,8.0,15.0,12.0,10.0,265.0
