lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[PLACE],228.0,290.0,219.0,265.0,243.0,266.0,254.0,218.0,235.0,187.0,176.0,192.0,168.0,149.0,154.0,138.0,158.0,126.0,97.0,3763.0
[CARE],39.0,67.0,67.0,39.0,80.0,51.0,52.0,76.0,55.0,66.0,55.0,124.0,88.0,99.0,67.0,55.0,66.0,66.0,69.0,1281.0
[PART],63.0,80.0,60.0,63.0,71.0,76.0,73.0,97.0,90.0,61.0,59.0,49.0,51.0,52.0,43.0,37.0,38.0,24.0,28.0,1115.0
[ADVANTAGE],32.0,40.0,35.0,26.0,38.0,27.0,30.0,47.0,34.0,52.0,45.0,29.0,34.0,32.0,39.0,25.0,37.0,56.0,50.0,708.0
[STEP],16.0,24.0,38.0,19.0,22.0,27.0,31.0,53.0,30.0,25.0,36.0,48.0,34.0,45.0,30.0,55.0,54.0,36.0,62.0,685.0
[ACCOUNT],22.0,10.0,15.0,19.0,21.0,27.0,42.0,52.0,34.0,39.0,32.0,20.0,16.0,25.0,13.0,13.0,13.0,31.0,18.0,462.0
[HAND],18.0,22.0,20.0,20.0,33.0,27.0,25.0,30.0,29.0,39.0,40.0,32.0,23.0,12.0,21.0,11.0,13.0,9.0,16.0,440.0
[POSSESSION],54.0,46.0,33.0,50.0,34.0,43.0,38.0,48.0,28.0,20.0,11.0,8.0,5.0,3.0,8.0,1.0,3.0,2.0,0.0,435.0
[VIEW],25.0,33.0,36.0,30.0,24.0,23.0,30.0,26.0,29.0,25.0,15.0,19.0,12.0,21.0,16.0,21.0,18.0,11.0,9.0,423.0
[INTEREST],24.0,35.0,27.0,20.0,30.0,29.0,34.0,29.0,29.0,25.0,19.0,24.0,17.0,12.0,20.0,15.0,10.0,9.0,3.0,411.0
[FORM],4.0,6.0,12.0,10.0,25.0,23.0,28.0,27.0,31.0,34.0,29.0,25.0,17.0,22.0,19.0,13.0,17.0,14.0,14.0,370.0
[POSITION],5.0,4.0,16.0,21.0,23.0,27.0,24.0,25.0,17.0,24.0,11.0,16.0,8.0,16.0,35.0,18.0,22.0,15.0,7.0,334.0
[CHARGE],13.0,13.0,10.0,14.0,20.0,30.0,25.0,36.0,15.0,16.0,13.0,22.0,22.0,15.0,12.0,15.0,13.0,7.0,12.0,323.0
[MAN],6.0,8.0,17.0,16.0,19.0,17.0,29.0,33.0,22.0,17.0,26.0,28.0,25.0,21.0,13.0,7.0,2.0,13.0,3.0,322.0
[LOOK],1.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,13.0,26.0,33.0,43.0,37.0,25.0,26.0,42.0,42.0,311.0
[HOLD],9.0,19.0,21.0,18.0,25.0,15.0,17.0,25.0,17.0,14.0,19.0,25.0,13.0,12.0,9.0,11.0,9.0,11.0,19.0,308.0
[COURSE],16.0,16.0,13.0,18.0,5.0,14.0,18.0,16.0,17.0,15.0,15.0,23.0,15.0,26.0,29.0,16.0,14.0,15.0,6.0,307.0
[SEAT],12.0,25.0,21.0,22.0,26.0,28.0,26.0,21.0,10.0,7.0,8.0,13.0,11.0,11.0,11.0,15.0,18.0,3.0,9.0,297.0
[ACTION],2.0,4.0,1.0,4.0,6.0,4.0,10.0,13.0,12.0,10.0,29.0,32.0,18.0,21.0,26.0,27.0,27.0,18.0,25.0,289.0
[PAIN],17.0,23.0,19.0,22.0,31.0,23.0,18.0,27.0,14.0,24.0,9.0,15.0,6.0,7.0,7.0,7.0,7.0,9.0,2.0,287.0
[MEASURE],22.0,34.0,22.0,21.0,17.0,26.0,16.0,12.0,14.0,9.0,11.0,14.0,10.0,12.0,10.0,10.0,7.0,10.0,4.0,281.0
[CHANCE],2.0,2.0,5.0,1.0,5.0,5.0,11.0,10.0,17.0,17.0,24.0,47.0,23.0,27.0,15.0,21.0,24.0,9.0,8.0,273.0
[OFFICE],1.0,6.0,5.0,8.0,7.0,13.0,21.0,9.0,17.0,7.0,10.0,17.0,22.0,27.0,23.0,29.0,35.0,11.0,4.0,272.0
[LIFE],12.0,11.0,12.0,13.0,16.0,7.0,14.0,19.0,18.0,24.0,16.0,14.0,12.0,2.0,21.0,10.0,19.0,10.0,16.0,266.0
[LEAVE],38.0,36.0,27.0,25.0,15.0,23.0,8.0,8.0,3.0,5.0,9.0,5.0,7.0,11.0,4.0,6.0,16.0,5.0,4.0,255.0
