lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[PLACE],202.0,258.0,345.0,266.0,288.0,251.0,197.0,226.0,272.0,217.0,247.0,253.0,296.0,300.0,309.0,295.0,205.0,186.0,161.0,4774.0
[CARE],43.0,113.0,85.0,86.0,67.0,87.0,58.0,48.0,56.0,56.0,50.0,61.0,58.0,94.0,54.0,52.0,22.0,45.0,46.0,1181.0
[PART],38.0,42.0,74.0,50.0,65.0,38.0,54.0,43.0,53.0,96.0,64.0,63.0,72.0,55.0,65.0,46.0,36.0,38.0,41.0,1033.0
[ADVANTAGE],14.0,44.0,34.0,33.0,24.0,36.0,16.0,29.0,35.0,59.0,27.0,31.0,36.0,41.0,48.0,29.0,35.0,40.0,40.0,651.0
[ACCOUNT],15.0,14.0,22.0,14.0,22.0,9.0,28.0,13.0,24.0,22.0,42.0,31.0,43.0,39.0,47.0,66.0,58.0,59.0,46.0,614.0
[FORM],10.0,6.0,14.0,13.0,13.0,18.0,19.0,32.0,34.0,33.0,35.0,50.0,48.0,48.0,56.0,45.0,48.0,42.0,21.0,585.0
[POSSESSION],21.0,27.0,43.0,46.0,62.0,41.0,27.0,48.0,35.0,38.0,24.0,19.0,4.0,12.0,4.0,7.0,6.0,0.0,3.0,467.0
[STEP],4.0,18.0,14.0,15.0,7.0,22.0,18.0,13.0,22.0,15.0,23.0,31.0,15.0,31.0,30.0,21.0,34.0,43.0,36.0,412.0
[HAND],16.0,34.0,26.0,33.0,23.0,33.0,35.0,24.0,30.0,32.0,23.0,18.0,9.0,10.0,5.0,10.0,4.0,5.0,7.0,377.0
[COURSE],22.0,30.0,15.0,11.0,12.0,17.0,9.0,14.0,12.0,10.0,21.0,10.0,12.0,16.0,31.0,14.0,20.0,22.0,31.0,329.0
[INTEREST],13.0,19.0,37.0,23.0,15.0,25.0,16.0,12.0,16.0,28.0,20.0,10.0,19.0,9.0,20.0,7.0,11.0,16.0,8.0,324.0
