count,lemma
39,mind
15,name
13,interest
12,witness
11,man
11,fruit
10,testimony
8,burden
8,question
7,relation
7,subject
7,""
7,proportion
6,title
5,resemblance
5,examination
4,rate
4,fact
4,point
3,history
3,influence
3,evidence
3,end
3,government
3,part
3,tax
3,action
3,thing
3,human
3,arm
3,direction
3,chief
3,power
3,place
3,trace
2,final
2,brunt
2,workingmen
2,premium
2,remark
2,taxation
2,face
2,harmony
2,company
2,other
2,//
2,illustration
2,weight
2,force
2,promise
2,experience
2,manner
2,answer
2,account
2,crimson
2,expression
2,controversy
2,language
2,presence
2,anxiety
2,shoulder
2,individual
2,law
2,problem
2,inverse
2,public
2,mark
2,life
2,date
2,stamp
2,present
2,think
2,father
2,work
2,seal
2,issue
2,profit
2,pennant
1,imputation
1,cost
1,wing
1,dispatch
1,light
1,score
1,verification
1,high-bred
1,military
1,cross
1,brewer
1,greek
1,press
1,tribute
1,pool
1,hero
1,encouragement
1,deal
1,youth
1,process
1,study
1,truthfulness
1,wall
1,foundation
1,design
1,pig
1,courtesy
1,hearty
1,pain
1,equanimity
1,climate
1,character
1,district
1,fellow
1,commissioner
1,tobe
1,future
1,walk
1,church
1,republic
1,stillness
1,unitarian
1,gentleness
1,king
1,relief
1,bradlaugh
1,route
1,supply
1,safety
1,envelope
1,fertility
1,load
1,lobby
1,labor
1,plain
1,punishment
1,commission
1,exposition
1,purchaser
1,division
1,assent
1,whole
1,outline
1,darwinism
1,giant
1,indian
1,artist
1,pardon
1,murderer
1,ship
1,inn
1,member
1,reader
1,trait
1,morris
1,marks
1,surface
1,lion
1,genius
1,market
1,flag
1,pack
1,wilderness
1,theory
1,locomotive
1,animal
1,consequence
1,conversation
1,correctness
1,doom
1,number
1,pressure
1,scandal
1,puritan
1,majority
1,narrative
1,workmanship
1,torrent
1,share
1,past
1,deer
1,cash
1,appearance
1,solution
1,green
1,red
1,capacity
1,hall
1,peace
1,oil
1,reporting
1,opposition
1,capital
1,safe
1,husband
1,private
1,fern
1,dark
1,separation
1,memory
1,novel
1,rear
1,scar
1,wife
1,forest
1,system
1,conclusion
1,soul
1,ethnologist
1,center
1,patience
1,college
1,german
1,welfare
1,scroll
1,healing
1,sergeant-at-arms
1,suffer
1,policy
1,infirmity
1,description
1,moment
1,truth
1,childhood
1,dance
1,lie
1,nature
1,politics
1,aspect
1,misery
1,iscariot
1,door
1,faithfulness
1,separatist
1,cabinet
1,shield
1,existence
1,carpet
1,freedom
1,likeness
1,odium
1,garb
1,child
1,dismay
1,ratio
1,thoughtfulness
1,railway
1,town-meetings
1,sake
1,book
1,reign
1,heart
1,defect
1,spectator
1,sword
1,motive
1,approach
1,court
1,convention
1,brush
1,servitude
1,brother
1,limit
1,bas-relief
1,reward
1,strain
1,bow
1,world
1,candidate
1,taunt
1,mount
1,refine
1,person
1,guard
1,quality
1,wind
1,command
1,love
1,transportation
1,enemy
1,preacher
1,pine
1,department
1,combination
1,sentiment
1,teaching
1,go
1,trouble
1,value
1,story
1,brand
1,way
1,breathe
1,test
1,crop
1,university
1,proposition
1,calamity
1,party
1,luxury
1,scrutiny
1,tree
1,development
1,river
1,infamy
1,it
1,analogy
1,responsibility
1,countenance
1,floor
1,irrigation
1,will
1,officer
1,carving
1,education
1,make
1,lapse
1,balm
1,sermon
1,accumulation
1,plan
1,burthen
1,judge
1,mirror
1,horse
1,dampness
1,speaker
1,enterprise
1,preoccupation
1,journey
1,ceiling
1,store
1,carry
1,criticism
1,fellow-citizen
1,peak
1,consecration
1,record
1,position
1,take
1,leg
1,risk
1,use
1,comparison
1,lot
1,shock
1,sea
1,flower
1,vault
1,decree
1,fight
1,--
1,success
1,popularity
1,leader
1,case
1,timber
1,defeat
1,reform
