count,lemma
18,fork
6,bull
6,bear
6,name
6,""
5,pup
5,weight
4,school
4,mind
3,child
3,thing
3,cub
3,door
3,breath
3,son
3,mouse
3,part
3,hippy
3,blossom
3,man
3,back
3,bud
3,club
3,wood
3,hand
3,grudge
3,valley
2,food
2,tail
2,table
2,meat
2,boy
2,life
2,mountain
2,right
2,cold
2,top
2,traffic
2,cross
2,think
2,school-house
2,case
2,message
2,stamp
2,body
2,marks
2,mouth
2,love
2,blaze
2,beast
2,tray
2,lord
2,chief
2,floor
2,road
2,dog
2,camp
2,pilgrim
2,brother
2,likeness
1,acrobat
1,country
1,bosom
1,xi
1,companion
1,revolver
1,kill
1,litter
1,lupe
1,platter
1,store
1,task
1,record
1,scent
1,leg
1,shelf
1,landsman
1,junior
1,bank
1,vacation
1,be
1,lair
1,bawl
1,fight
1,mate
1,chin
1,lumberjack
1,sound
1,mule
1,silence
1,autograph
1,joy-bells
1,headquarters
1,squirrel
1,sort
1,liver
1,donkey
1,fuss
1,basket
1,hero
1,garden
1,hebrew
1,ruff
1,inscription
1,bill
1,tickler
1,note
1,investigation
1,agility
1,flat
1,county
1,pikes
1,sheriff
1,experience
1,word
1,master
1,talk
1,bobbsey
1,fence
1,snow
1,townley
1,hunt
1,shuffling
1,wattle
1,magenta
1,relation
1,heaven
1,platform
1,chalice
1,scratch
1,raspberry
1,sympathy
1,tribe
1,fat
1,play-ground
1,intention
1,shoulder
1,tale
1,force
1,half-god
1,corner
1,spate
1,job
1,feed
1,head
1,decorum
1,line
1,hue
1,commerce
1,trait
1,dierdre
1,libel
1,approval
1,lion
1,depth
1,chapter
1,flag
1,wilderness
1,yell
1,fur
1,pace
1,nest
1,aggie
1,event
1,animal
1,language
1,censure
1,wolf
1,roar
1,people
1,hound
1,gem
1,carbide
1,mask
1,bush
1,look
1,agony
1,log
1,leopard
1,resemblance
1,face
1,husband
1,maxim
1,candle
1,dark
1,letter
1,spot
1,fill
1,series
1,rear
1,latitude
1,dan'l
1,marguerite
1,secret
1,figure
1,crowd
1,watch
1,wingate
1,sparkle
1,current
1,mother
1,womb
1,edge
1,tuck
1,thief
1,rose
1,sadness
1,sleep
1,robin
1,hug
1,elephant
1,moment
1,introduction
1,base
1,wire
1,earth
1,twin
1,dance
1,trouble
1,notation
1,charge
1,guest
1,cave
1,grumble
1,blood
1,way
1,stuff
1,dish
1,axe
1,rule
1,care
1,oscar
1,friar
1,girl
1,troop
1,party
1,peril
1,history
1,station
1,book
1,heart
1,company
1,parrot
1,romance
1,more'n
1,reproach
1,jacket
1,river
1,queen
1,arm
1,sight
1,grief
1,sister
1,steward
1,eatin
1,witness
1,politeness
1,foot
1,conflict
1,temper
1,tongue
1,loan
1,distress
1,disgrace
1,p.s.-and
1,emperor
1,arrogance
1,will
1,cat
1,guard
1,mirth
1,panther
1,again
1,matter
