count,lemma
37,mind
33,name
11,witness
10,arm
8,child
8,fruit
8,resemblance
6,end
6,relation
5,""
5,evidence
5,date
4,stamp
4,title
3,value
3,fact
3,imprint
3,topic
3,problem
3,loss
3,theory
3,brunt
3,point
3,testimony
3,burden
3,man
3,share
3,question
3,government
2,animal
2,falsity
2,health
2,woman
2,number
2,family
2,party
2,standard
2,side
2,character
2,situation
2,english
2,head
2,cross
2,general
2,relationship
2,belief
2,author
2,bow
2,log
2,symbol
2,issue
2,gender
2,mystic
2,gift
2,future
2,wife
2,story
2,flower
2,consideration
2,wind
2,institution
2,interest
2,figure
2,inscription
2,power
2,fight
2,authority
2,success
2,psychology
2,barrel
2,war
2,leaf
2,attention
2,leader
2,truth
2,mark
1,gold
1,science
1,popularity
1,devotion
1,porter
1,case
1,drive
1,hostility
1,anglicanism
1,cost
1,price
1,proportion
1,element
1,garden
1,paradise
1,water
1,dipper
1,deal
1,indifference
1,uniformity
1,polygyny
1,knights
1,wall
1,information
1,blame
1,investigation
1,set
1,saddle
1,reaction
1,official
1,column
1,soldier
1,aid
1,experience
1,rickets
1,word
1,machine
1,article
1,horribilis
1,present
1,wood
1,lack
1,amino
1,congress
1,horseback
1,cross-examination
1,discussion
1,buffalo
1,scout
1,amount
1,sale
1,intellectual
1,identification
1,region
1,security
1,overwork
1,theology
1,safety
1,mean
1,oyster
1,gilt
1,ritual
1,initial
1,arabic
1,son
1,ratification
1,plant
1,shoulder
1,experiment
1,horseman
1,meditation
1,exposition
1,origin
1,color
1,failure
1,draft
1,rate
1,apple
1,classic
1,group
1,waste
1,diversity
1,member
1,wear
1,guilt
1,yoke
1,traction
1,cessation
1,marks
1,terror
1,surface
1,lion
1,spear
1,primitive
1,flag
1,kind
1,rump
1,arrow
1,banner
1,folly
1,statistics
1,function
1,legend
1,wolf
1,language
1,productivity
1,skull
1,stamina
1,street
1,malay
1,executive
1,propulsion
1,bracket
1,image
1,goat
1,obligation
1,friend
1,deer
1,role
1,product
1,ether
1,work
1,resistance
1,lance
1,face
1,symptom
1,al-khwarizmi
1,activity
1,portrait
1,honor
1,defense
1,system
1,soul
1,handle
1,ear
1,serpent
1,data
1,ground
1,tiger
1,expense
1,bacon
1,snake
1,welfare
1,poverty
1,target
1,policy
1,rose
1,attitude
1,nature
1,affair
1,portion
1,height
1,ursus
1,picture
1,cave
1,sheep
1,seal
1,shield
1,wave
1,existence
1,clock
1,accuracy
1,nutrition
1,strike
1,finding
1,other
1,company
1,bullet
1,sword
1,tendency
1,italian
1,analysis
1,clamp
1,postage
1,wholesomeness
1,commissariat
1,society
1,succession
1,exporter
1,indication
1,attempt
1,editorial
1,weapon
1,farmer
1,diction
1,elk
1,lubrication
1,cove
1,part
1,acid
1,example
1,way
1,rock
1,crop
1,president
1,policeman
1,history
1,scrutiny
1,worshipper
1,stirrup
1,chapel
1,manchild
1,tree
1,happiness
1,right
1,state
1,sight
1,relative
1,mammoth
1,analogy
1,imprimatur
1,responsibility
1,god
1,fruitfulness
1,taboo
1,reporter
1,rabbit
1,divorce
1,interpretation
1,bolshevik
1,act
1,person
1,stoicism
1,watermark
1,back
1,penetration
1,death
1,comment
1,yule
1,change
1,marking
1,militia
1,recreation
1,transportation
1,growth
1,nubbin
1,antiquity
1,ink
1,sign
1,usufruct
1,heat
1,bruin
1,sanction
1,celsus
1,latin
1,record
1,purpose
1,place
1,shock
1,lot
1,sea
1,legislator
1,masonry
1,labour
1,soil
