count,lemma
5,man
4,respect
3,room
3,law
3,--
3,demand
3,sensation
2,stir
2,religion
2,power
2,panic
2,excitement
2,earth
2,being
2,material
2,duke
2,doubt
2,mortal
2,title
2,baron
2,end
2,thing
2,interest
2,current
2,scene
2,object
2,soul
2,marquis
2,other
2,poem
2,class
2,happiness
2,benefit
2,want
1,niche
1,money
1,impression
1,quarter
1,family
1,negligence
1,air
1,woman
1,taste
1,imperator
1,steward
1,aggrandizement
1,leaf
1,industry
1,major-general
1,commodity
1,outline
1,life
1,distrust
1,world
1,bustle
1,bequest
1,courts-martial
1,pair
1,mass
1,school
1,ment
1,fate
1,market
1,genius
1,kind
1,monarch
1,arena
1,disturbance
1,monarchy
1,mind
1,bread
1,tulipomania
1,consequence
1,language
1,judge
1,number
1,art
1,navy
1,pressure
1,annihilation
1,noble
1,flesh
1,necessity
1,majority
1,movement
1,pur
1,horror
1,charter
1,image
1,improvement
1,auction
1,war
1,general
1,lead
1,sailor
1,pose
1,dirt
1,use
1,""
1,wealth
1,be
1,feudalism
1,choice
1,association
1,wonder
1,judgment
1,face
1,separation
1,success
1,din
1,reality
1,manner
1,magic
1,marriage
1,instrument
1,dream
1,body
1,tyranny
1,variety
1,vision
1,exertion
1,deal
1,exchange
1,animosity
1,attraction
1,liberality
1,minister
1,infantado
1,rain
1,character
1,apprehension
1,present
1,vermin
1,future
1,certitude
1,church
1,heaven
1,stage
1,security
1,insolvency
1,haven
1,mean
1,lord
1,marshal
1,subject
1,office
1,moment
1,sentiment
1,literature
1,furniture
1,operation
1,part
1,hand
1,portion
1,earl
1,general-in-chief
1,easy-chair
1,preference
1,dwelling
1,think
1,confusion
1,imagination
1,fund
1,universe
1,connaught
1,channel
1,development
1,service
1,diversion
1,mode
1,son
1,argu
1,court
1,substitution
1,era
