count,lemma
6,problem
5,""
5,difficulty
5,world
5,fear
5,image
4,division
4,work
4,society
3,man
3,condition
3,church
3,situation
3,agency
3,demand
3,committee
3,board
3,woman
3,--
3,atmosphere
3,one
3,state
3,space
2,public-health
2,department
2,home
2,council
2,divorce
2,climate
2,father
2,character
2,impression
2,illusion
2,electron
2,emergency
2,job
2,nation
2,hysteria
2,scene
2,citizen
2,peace
2,army
2,tension
2,city
2,empire
2,will
2,system
2,defense
2,monster
2,college
2,decision
2,german
2,kind
2,attention
2,public
2,law
1,coalition
1,park
1,civilian
1,death
1,invention
1,dam
1,antiparticle
1,change
1,help
1,production
1,chaos
1,enemy
1,monopoly
1,model
1,bleakness
1,dislike
1,arab
1,pud
1,agriculture
1,strength
1,vibration
1,root
1,phrase
1,institution
1,authority
1,female
1,purpose
1,elbow
1,place
1,challenge
1,wealth
1,sap
1,material
1,blockade
1,paragraph
1,temptation
1,reality
1,sound
1,tax
1,neighborhood
1,fact-finding
1,body
1,theater
1,advertisement
1,context
1,synthesis
1,requirement
1,distance
1,pool
1,garden
1,democracy
1,travelogue
1,colony
1,power
1,redskin
1,schedule
1,study
1,panic
1,investigation
1,grace
1,controversy
1,employment
1,ling
1,bankruptcy
1,annoyance
1,antiproton
1,doubt
1,museum
1,unemployment
1,presumption
1,crisis
1,shipping
1,unit
1,republic
1,circumstance
1,thing
1,boycott
1,relation
1,stage
1,hatred
1,structure
1,refusal
1,democrat
1,informer
1,kit
1,room
1,mean
1,guzman
1,freight
1,apparatus
1,crescendo
1,service
1,noise
1,masterpiece
1,apartment
1,class
1,segment
1,framework
1,commission
1,marsh
1,contrary
1,rate
1,shortage
1,indian
1,group
1,line
1,mass
1,mess
1,reformer
1,member
1,composition
1,guilt
1,interest
1,couple
1,competition
1,octopus
1,optimism
1,belgian
1,liability
1,cluster
1,live
1,sail
1,foreign-aid
1,animal
1,number
1,disorder
1,art
1,scandal
1,revolution
1,fire
1,style
1,grave
1,sandwich
1,good
1,inability
1,meal
1,question
1,appearance
1,role
1,general
1,red
1,relationship
1,feature
1,capital
1,sum
1,age
1,base
1,human
1,expectation
1,portrait
1,convertibility
1,taxpayer
1,multitude
1,real-estate
1,grease
1,sincerity
1,artz
1,figure
1,livelihood
1,opportunity
1,mony
1,target
1,policy
1,need
1,song
1,de
1,convenience
1,personality
1,irritation
1,rise
1,affair
1,lie
1,ouster
1,community
1,corps
1,civilization
1,expansion
1,american
1,adventure
1,cell
1,visit
1,secrecy
1,editorial
1,desire
1,office
1,cutback
1,literature
1,car
1,justice
1,complex
1,part
1,break
1,trouble
1,sponsor
1,example
1,esprit
1,way
1,calypso
1,child
1,cabot
1,counter-reality
1,party
1,imagination
1,imperialism
1,sin
1,fund
1,proton
1,right
1,faith
1,registration
1,behemoth
1,aggression
1,seat
1,fruit
1,kraho
1,surplus
1,lieutenant
1,industry
1,hazard
1,opinion
1,innovation
1,conflict
1,combustion
1,stream
1,effect
1,inspection
1,request
1,loophole
1,nitroglycerin
1,forestry
1,person
1,diplomat
