count,lemma
3,union
2,halo
2,difficulty
2,birth
2,sensation
2,world
2,path
2,spot
2,flatrock
2,other
2,""
2,balance
2,problem
2,sort
2,excitement
2,effect
2,sense
2,machine
2,shield
2,suspense
1,greenhouse
1,walk
1,shame
1,circumstance
1,designer
1,history
1,emptiness
1,method
1,book
1,room
1,heart
1,ritual
1,company
1,atmosphere
1,violin
1,awareness
1,brush
1,agent
1,furrow
1,spaceship
1,impression
1,mammoth
1,fantasy
1,feeling
1,labor
1,framework
1,man
1,life
1,forgiveness
1,indian
1,mountain
1,demon
1,maw
1,murderer
1,ship
1,inside
1,runaway
1,furor
1,quality
1,bag
1,kind
1,glow
1,laboratory
1,maze
1,enemy
1,logo
1,artery
1,delight
1,stand
1,language
1,vocabulary
1,scandal
1,companion
1,land
1,meal
1,image
1,crease
1,ache
1,fairytale
1,breath
1,computer
1,position
1,general
1,irony
1,mollifying
1,place
1,relationship
1,risk
1,peace
1,work
1,filigreed
1,angel
1,convulsion
1,harmony
1,gig
1,dark
1,arbor
1,wormhole
1,cloud
1,program
1,text
1,reality
1,wait
1,producer
1,semantics
1,madhouse
1,ripple
1,sound
1,defense
1,building
1,particle
1,cheek
1,silence
1,incident
1,jew
1,light
1,voice
1,layout
1,aquarium
1,seizure
1,water
1,music
1,emu
1,sculpture
1,power
1,oral
1,danger
1,studio
1,dance
1,identity
1,border
1,poetry
1,value
1,trouble
1,story
1,hole
1,landry
1,way
1,motorboat
1,wave
