count,lemma
55,""
45,credit
39,idea
36,power
33,opinion
32,evidence
31,account
31,name
28,notice
24,rise
24,public
24,right
22,way
22,instruction
22,man
21,word
21,character
21,view
20,direction
20,effect
20,reason
20,information
20,security
20,boil
19,heart
18,general
18,point
18,money
18,description
18,order
16,opportunity
16,advantage
15,interest
15,person
15,satisfaction
14,bank
14,birth
14,authority
13,house
12,place
12,proof
12,air
12,law
12,other
12,statement
12,life
11,child
11,note
11,preference
11,pleasure
10,circulation
10,state
10,employment
10,advice
10,son
10,wage
10,amount
10,congress
10,government
10,value
10,title
9,object
9,quantity
9,court
9,exercise
9,vote
9,part
9,case
9,attention
9,patent
8,land
8,appearance
8,constitution
8,weight
8,assurance
8,occasion
8,party
8,/z/
8,book
8,bill
8,education
8,construction
8,thing
7,habit
7,form
7,letter
7,paper
7,act
7,representative
7,offense
7,period
7,term
7,community
7,list
7,question
7,fruit
7,relief
7,expression
7,subject
7,liberty
7,--
7,honor
7,color
7,testimony
7,flavour
6,currency
6,pledge
6,bond
6,countenance
6,position
6,instance
6,purpose
6,invention
6,pupil
6,mercy
6,impulse
6,sketch
6,individual
6,assent
6,benefit
6,explanation
6,example
6,capital
6,mind
6,officer
6,monopoly
6,country
5,soul
5,leave
5,importance
5,facility
5,privilege
5,god
5,kind
5,specimen
5,friend
5,slave
5,utterance
5,consent
5,branch
5,average
5,portion
5,passage
5,horse
5,school
5,intruder
5,encouragement
5,wine
5,report
5,society
5,hint
5,fact
5,eye
5,service
5,sign
5,ransom
5,scope
5,certificate
5,thanks
5,promise
5,strength
5,force
5,sentiment
5,reader
5,variety
5,inspiration
5,lafayette
5,pain
5,commission
5,church
4,industry
4,future
4,history
4,stability
4,declaration
4,use
4,tract
4,counsel
4,warning
4,space
4,town
4,principle
4,chance
4,writing
4,size
4,silver
4,perspective
4,aspect
4,produce
4,sanction
4,female
4,sense
4,grace
4,present
4,servant
4,whole
4,metal
4,energy
4,tone
4,taste
4,article
4,meaning
4,business
4,prayer
4,share
4,class
4,head
4,hope
4,permission
4,invitation
4,study
4,bread
4,soldier
4,number
4,mean
4,sort
4,master
4,welcome
4,activity
4,specification
4,corn
4,committee
4,operation
4,meeting
4,company
4,receipt
4,trade
4,make
4,vine
4,french
4,confidence
4,publicity
4,inventor
4,equivalent
4,world
4,water
4,exchange
4,property
3,control
3,height
3,price
3,hand
3,decision
3,trouble
3,vigor
3,zest
3,charge
3,woman
