count,lemma
31,""
28,power
28,right
27,chance
27,way
23,credit
22,opportunity
21,life
21,rise
21,man
20,place
20,reason
19,impression
18,order
16,government
16,name
15,woman
14,pleasure
14,information
14,attention
12,advice
12,think
12,world
11,people
11,number
11,work
11,child
11,fact
11,aid
10,answer
10,hand
10,party
10,money
10,public
10,feel
10,idea
10,effect
10,thanks
10,law
9,birth
9,account
9,vote
9,expression
9,hint
9,support
9,service
9,thing
8,performance
8,evidence
7,signal
7,german
7,hope
7,business
7,sense
7,consideration
7,country
7,state
7,authority
7,subject
7,tea
7,value
7,run
7,treatment
7,comfort
6,relief
6,question
6,--
6,title
6,picture
6,promise
6,lesson
6,individual
6,present
6,room
6,family
6,company
6,form
6,opinion
6,point
6,freedom
6,permission
6,girl
6,food
6,word
6,effort
6,moment
5,officer
5,practice
5,student
5,book
5,press
5,advantage
5,statement
5,praise
5,voice
5,plan
5,general
5,turn
5,filipino
5,assurance
5,method
5,executive
5,interest
5,excuse
5,back
5,clue
5,insight
5,light
5,commission
5,member
5,court
5,water
5,look
5,piece
5,appearance
5,air
5,position
5,nation
5,church
5,art
5,help
5,education
4,soul
4,reader
4,artist
4,exhibition
4,talk
4,war
4,prestige
4,letter
4,instruction
4,english
4,liberty
4,turk
4,force
4,control
4,publicity
4,impulse
4,indication
4,wife
4,reality
4,head
4,human
4,vitality
4,body
4,increase
4,knowledge
4,example
4,sort
4,courage
4,union
4,view
4,data
4,ear
4,advertising
4,concert
4,approval
4,pause
4,other
4,story
4,importance
4,part
4,medicine
4,deal
4,assistance
4,page
4,labor
4,job
4,bill
4,note
4,date
4,chief
4,address
4,mind
4,measure
4,warning
4,whole
4,reading
4,president
4,detail
4,college
4,impetus
4,confidence
4,strength
3,concern
3,dinner
3,city
3,message
3,banquet
3,consent
3,person
3,key
3,cause
3,nature
3,income
3,space
3,science
3,appointment
3,material
3,bird
3,set
3,investigation
3,prisoner
3,term
3,nourishment
3,training
3,devotion
3,office
3,bread
3,class
3,sound
3,marriage
3,result
3,prize
3,heart
3,sensation
3,notice
3,group
3,rest
3,report
3,news
3,collection
3,son
3,post
3,possessor
3,boost
3,figure
3,choice
3,belladonna
3,engine
3,honor
3,return
3,sport
3,secret
3,american
3,lecture
3,theatre
3,line
3,circumstance
3,contest
3,coat
3,university
3,claim
3,happiness
3,berth
3,reply
3,oil
3,benefit
3,career
3,share
3,charge
3,french
3,production
3,desk
3,governor-general
3,truth
3,lie
3,community
3,peace
3,filigree
3,ground
3,play
3,command
3,operation
3,dance
3,representation
3,hostage
3,enemy
2,dose
2,grant
2,motive
2,vent
2,sacrifice
2,thrill
2,arm
2,investment
2,check
2,volume
2,doctrine
2,bride
2,schooling
2,music
2,institute
2,museum
2,assent
2,star
2,oxygen
2,lift
2,communist
2,product
2,desire
2,devil
2,athlete
2,spring
2,preference
2,trial
2,fashion
2,bit
2,bible
2,trim
2,profit
2,remainder
2,seat
2,weapon
2,bath
2,interpretation
2,glimpse
2,prompt
2,republican
2,adult
2,silver
2,jump
2,appreciation
2,remark
2,fall
2,amount
2,success
2,majority
2,official
2,county
2,horse
2,stimulus
2,side
2,land
2,victim
2,literature
2,it
2,precedent
2,fortune
2,house
2,failure
2,milk
2,start
2,opposition
2,grain
2,demand
2,hearty
2,experience
2,election
2,encouragement
2,soldier
2,love
2,legislation
2,eye
2,origin
2,novel
2,study
2,belief
2,poison
2,dignity
2,copy
2,wheel
2,selection
2,employer
2,problem
2,baritone
2,protection
2,guide
2,element
2,instinct
2,generation
2,zest
2,home
2,delectation
2,admiration
2,character
2,representative
2,luncheon
2,bridge
2,train
2,future
2,taste
2,test
2,congress
2,poet
2,security
2,care
2,final
2,utterance
2,description
2,quarter
2,membership
2,balance
2,mandate
2,father
2,trip
2,base
2,conductor
2,leader
2,total
2,parent
2,mood
2,organization
2,kind
2,degree
2,sanction
2,locality
2,school
2,possession
2,course
2,store
2,precedence
2,weight
2,use
2,society
2,birthday
2,politics
2,wheat
2,negro
2,awe
2,manager
2,species
2,piano
2,weekly
2,welcome
2,god
2,enthusiasm
2,flight
2,loyalty
2,charity
2,lip
2,spot
2,offense
2,concrete
2,defense
2,worker
2,ray
2,intelligence
2,passenger
2,supply
2,factory
2,wing
2,lunch
2,surplus
2,hotel
2,s.-a
2,skill
2,energy
2,case
2,friend
2,judge
2,settlement
2,mean
2,animal
2,passion
2,towel
2,credo
2,self-government
2,condition
2,issue
2,despair
2,salute
2,live
2,subsidy
2,owner
2,privilege
2,egg
2,cigarette
2,version
2,cast
2,scene
2,italian
2,text
2,end
2,satis
2,unit
2,circle
2,confederate
2,recital
2,tariff
2,expense
2,prominence
2,development
2,provision
2,reach
2,section
1,friendship
1,anguish
1,block
1,belt
1,export
1,common-sense
1,front-page
1,sidamo
1,belasco
1,couple
1,elegants
1,perfectibility
1,establishment
1,restaurant
1,hair-cut
1,roll
1,toy
1,theory
1,progress
1,insinuate
1,conversation
1,gush
1,host
1,reconstruction
1,match
1,submarine
1,reprimand
1,squawk
1,traffic
1,capital
1,face
1,lance
1,contract
1,husband
1,formula
1,inspiration
1,mention
1,expectation
1,independent
1,termination
1,conclusion
1,widow
1,patience
1,recovery
1,ambush
1,psychology
1,verisimilitude
1,reparation
1,facility
1,dear
1,source
1,potato
1,self-restraint
1,sodium
1,approbation
1,corroboration
1,doles
1,possibility
1,leadership
1,portion
1,household
1,compensation
1,chicken
1,nepmen
1,separatist
1,talent
1,heifer
1,existence
1,isolation
1,editor
1,tryout
1,trunk
1,tooth
1,surroundings
1,testimony
1,distribution
1,hate
1,worship
1,skyscraper
1,damn
1,rank
1,logic
1,campaign
1,analysis
1,close-up
1,guild
1,audience
1,accordant
1,definition
1,fiddle
1,maturity
1,lash
1,curve
1,pacifist
1,bow
1,candidate
1,patent
1,demonstration
1,village
1,flogger
1,reduction
1,card
1,sack
1,collective
1,absolution
1,salary
1,parish
1,license
1,elegance
1,conspectus
1,life-sustaining
1,carthaginian
1,hoover
1,sex
1,counterpane
1,excitement
1,transportation
1,growth
1,mortal
1,monopoly
1,vocabulary
1,boating
1,precept
1,currency
1,gift
1,primary
1,arab
1,tuskegee
1,financier
1,criticism
1,liberal
1,research
1,purpose
1,record
1,shirt
1,wealth
1,sun
1,sea
1,phase
1,herd
1,emotion
1,rochelle
1,bust
1,doctor
1,optimist
1,sentence
1,handful
1,significance
1,wail
1,opiate
1,berthelot
1,ideal
1,subscription
1,enunciation
1,variety
1,surge
1,quest
1,liver
1,tactic
1,quiet
1,paper
1,remedy
1,cross
1,highway
1,self
1,paradise
1,reichswehr
1,pinch
1,major
1,decline
1,sit
1,flat
1,hero-worship
1,employment
1,pain
1,aviation
1,fellow
1,lack
1,doubt
1,site
1,discussion
1,governor
1,correspondent
1,sketch
1,proof
1,house-number
1,pole
1,practicability
1,professor
1,meed
1,refinement
1,sustenance
1,fool
1,swing
1,independence
1,ahn
1,setback
1,heavier-than-air
1,stress
1,staff
1,load
1,plain
1,prima
1,bribe
1,despatch
1,mefistofele
1,debate
1,routine
1,indian
1,legion
1,disappointment
1,ship
1,noun
1,enforcement
1,cuisine
1,margin
1,overlordship
1,clientele
1,conviction
1,purchase
1,swallowtail
1,burgh
1,function
1,sensibility
1,equality
1,dispassionate
1,gasoline
1,hygiene
1,breadth
1,prosperity
1,writing
1,overhaul
1,summary
1,electric
1,goat
1,earnest
1,hegemony
1,sample
1,obduracy
1,descent
1,ottoman
1,guidance
1,continuum
1,quo
1,half-pay
1,socialist
1,sallet
1,dark
1,series
1,ally
1,stall
1,pump
1,valu
1,poe
1,precision
1,crowd
1,doing
1,gasp
1,ability
1,native
1,preacher
1,laugh
1,bronze
1,department
1,status
1,ruthlessness
1,quid
1,handshake
1,living-wage
1,novelty
1,receipt
1,coal
1,burrow
1,drink
1,lady
1,queen
1,fruit
1,divorce
1,stare
1,kars
1,rival
1,death
1,invention
1,warmth
1,committee
1,immunity
1,rower
1,appropriation
1,monoplane
1,kill
1,tennis
1,plenty
1,pro
1,rhetoric
1,deed
1,architect
1,priest
1,sailor
1,marble
1,bank
1,vacation
1,speech
1,fight
1,appeal
1,retailer
1,raise
1,tax
1,building
1,scream
1,thrust
1,minority
1,fundamentalism
1,burden
1,clarity
1,spellacy
1,concession
1,peep
1,say
1,prevention
1,nitrite
1,emphasis
1,minister
1,bearing
1,broker
1,provocation
1,exponent
1,entertainment
1,newspaper
1,certainty
1,opera-comique
1,goodwill
1,yield
1,examination
1,niche
1,endorsement
1,stroke
1,rate
1,average
1,boy
1,divine
1,pedestrian
1,chairman
1,wriggle
1,aide
1,glance
1,shout
1,trumpery
1,spear
1,event
1,mob
1,exactitude
1,fly
1,nity
1,depiction
1,sum
1,maxim
1,cheekbone
1,candle
1,grown-up
1,period
1,fertilizer
1,christianity
1,annual
1,ishmaelite
1,banana
1,category
1,vision
1,culture
1,butterfly
1,observation
1,list
1,employee
1,rose
1,sleep
1,need
1,song
1,participation
1,corn
1,jersey
1,aspect
1,resume
1,height
1,conjecture
1,render
1,heroine
1,mill
1,subconscious
1,gin
1,cry
1,faith
1,barber
1,charm
1,ovation
1,handkerchief
1,peg
1,combination
1,attitude
1,monthly
1,hum
1,misconception
1,acid
1,break
1,boer
1,sky
1,movie
1,jail
1,maker
1,luxury
1,gargoyle
1,scope
1,illustration
1,maid
1,transcript
1,secretary
1,reserve
1,inkling
1,justification
1,methodist
1,aircraft
1,affinity
1,bail
1,graft
1,reporter
1,semblance
1,will
1,coalition
1,astonishment
1,calm
1,maximum
1,sermon
1,theft
1,glass
1,companion
1,sign
1,investor
1,take
1,prince
1,substance
1,oratory
1,gold
1,stabilization
1,physiology
1,missionary
1,jew
1,twitch
1,leisure
1,cost
1,wanderings
1,stamp
1,stilt
1,complication
1,salt
1,exchange
1,tapestry
1,savor
1,institutionalism
1,benediction
1,salad
1,explore
1,master
1,musician
1,rash
1,unemployment
1,avenue
1,compass
1,programme
1,privacy
1,patrol
1,con
1,steel
1,noise
1,opponent
1,health
1,experiment
1,voter
1,offend
1,greeting
1,prohibition
1,advance
1,mass
1,interview
1,cake
1,guaranty
1,mosul
1,drama
1,belgian
1,chapter
1,inc
1,tistics
1,shud
1,delight
1,pressure
1,contribution
1,movement
1,testimonial
1,imitation
1,cynic
1,magazine
1,escape
1,tragedy
1,by-product
1,livelihood
1,just
1,shudder
1,mag
1,threat
1,money-making
1,sob
1,policy
1,ill-health
1,seacoast
1,hen
1,rhythm
1,objective
1,draught
1,patio
1,brick
1,item
1,extravagance
1,speculation
1,let
1,sake
1,contractor
1,rumor
1,atmosphere
1,photograph
1,convention
1,dog
1,impromptu
1,amateur
1,commodity
1,reward
1,foot
1,tongue
1,pincushion
1,adler
1,kronen
1,chest
1,fear
1,town
1,basis
1,grass
1,twenty-four-yearold
1,stranger
1,bell
1,hockey
1,repulsion
1,unrest
1,amusement
1,matter
1,ghost
1,option
1,clay
1,opening
1,one
1,playhouse
1,fuel
1,coolidge
1,post-office
1,congregation
1,den
1,instance
1,ink
1,joie
1,visa
1,root
1,hirn
1,institution
1,caligula
1,jury
1,tingle
1,reception
1,female
1,allowance
1,bonus
1,tote
1,crew
1,founding
1,priority
1,decision
1,tobacco
1,smalltown
1,emigrant
1,area
1,filling-in
1,fora
1,railroad
1,pledge
1,verse
1,object
1,cheek
1,expo
1,incident
1,battle
1,theater
1,beauty
1,jubilee
1,proceeding
1,domination
1,requirement
1,access
1,professional
1,freshman
1,diet
1,schedule
