count,lemma
60,""
37,chance
31,look
29,order
28,money
27,way
26,name
23,life
22,man
20,think
19,word
17,laugh
15,pleasure
15,hope
15,smile
14,child
14,cry
14,glance
13,attention
12,answer
12,instruction
12,idea
12,address
12,impression
12,thing
12,sign
12,reason
11,feel
11,back
11,present
11,permission
10,damn
10,evidence
10,credit
10,kiss
10,comfort
10,signal
9,advice
9,power
9,place
9,sense
9,fact
9,command
9,hand
9,trouble
8,message
8,room
8,ring
8,work
8,right
8,lesson
8,freedom
8,opportunity
8,direction
8,girl
7,birth
7,information
7,sigh
7,mother
7,number
7,people
7,voice
7,woman
7,love
7,bottle
6,story
6,baby
6,job
6,pat
6,arm
6,wife
6,letter
6,food
6,appearance
6,key
6,satisfaction
6,party
6,lot
5,gasp
5,land
5,report
5,description
5,indication
5,cigarette
5,other
5,dinner
5,creep
5,tobey
5,rest
5,title
5,evil
5,excuse
5,heart
5,piece
5,advantage
5,star
5,water
5,kind
5,notice
5,clue
5,bit
5,lady
4,shot
4,slip
4,effect
4,slap
4,father
4,daughter
4,mind
4,lecture
4,husband
4,quarter
4,value
4,change
4,protection
4,son
4,god
4,thanks
4,air
4,book
4,head
4,chloroform
4,car
4,moment
4,access
4,boy
4,luxury
4,hell
4,confidence
4,business
4,home
4,space
4,suggestion
4,news
4,warning
4,sir
3,headache
3,nod
3,gold
3,honor
3,house
3,captain
3,transmitter
3,dose
3,rabbit
3,leave
3,appraise
3,final
3,help
3,berth
3,account
3,salute
3,rein
3,care
3,dance
3,mankind
3,certificate
3,drink
3,death
3,suite
3,hat
3,hug
3,view
3,victory
3,figure
3,illusion
3,list
3,data
3,horse
3,bath
3,reception
3,door
3,im
3,sort
3,return
3,light
3,side
3,detail
3,part
3,consent
3,liberty
3,shock
3,ground
3,--
3,game
3,superiority
3,share
3,driver
3,dog
3,face
3,gift
3,example
3,hint
3,picture
3,kick
3,bill
3,animal
3,stare
3,shake
3,gesture
3,history
3,wink
3,friend
3,support
3,pain
3,medicine
3,king
3,opinion
3,talk
3,notion
3,copy
3,turn
2,phone
2,encouragement
2,couple
2,countess
2,treatment
2,rundown
2,treat
2,speech
2,sail
2,hotel
2,explanation
2,robot
2,note
2,cash
2,consideration
2,understanding
2,wine
2,heritage
2,fare
2,course
2,sample
2,security
2,red
2,general
2,virtue
2,examination
2,planet
2,education
2,assurance
2,peace
2,slave
2,transfusion
2,verdict
2,sugar
2,bag
2,tirzah
2,nurse
2,individual
2,unction
2,try
2,cat
2,receipt
2,favor
2,touch
2,eye
2,feeling
2,white
2,service
2,joy
2,recipe
2,seat
2,rise
2,bread
2,earth
2,boyhood
2,allowance
2,boot
2,fire
2,leisure
2,dress
2,spin
2,p.-a
2,decision
2,authority
2,point
2,obedience
2,clothes
2,jail
2,whickering
2,result
2,puff
2,lift
2,gun
2,peck
2,shop
2,cake
2,sister
2,shudder
2,song
2,housewarming
2,hair
2,christening
2,therapy
2,world
2,capsule
2,property
2,start
2,bosun
2,injection
2,cause
2,license
2,fright
2,tea
2,egg
2,breeding
2,duty
2,incentive
2,situation
2,taxi
2,stand
2,strength
2,piano
2,character
2,city
2,call
2,war
2,shove
2,bitch
2,machine
2,master
2,sun
2,wave
2,problem
2,watch
2,reality
2,clerk
2,progeny
2,promise
2,pass
2,diamond
2,officer
2,delight
2,cold
2,paper
2,briefing
2,cross
2,action
2,country
2,religion
2,medal
2,hatred
2,fish
2,cop
2,blaster
2,messala
2,go-ahead
2,oil
2,appetite
2,task
2,hump
2,pressure
2,training
2,joke
2,ballroom
2,smack
2,lick
2,nickname
2,prize
2,soul
2,relief
2,impetus
2,jew
2,awareness
2,negro
2,pattern
2,farm
2,sympathy
2,tail
2,trial
2,future
2,glimpse
2,tip
2,devil
2,dream
2,coat
2,box
2,shriek
2,folder
2,circuit
2,breath
2,member
1,bark
1,taste
1,jeep
1,responsibility
1,broth
1,laughter
1,sedative
1,subordinate
1,floor
1,newswire
1,grandchildren
1,anaesthetic
1,scarf
1,inside
1,cue
1,hail
1,rocket
1,delusion
1,innocent
1,germanicus
1,parting
1,tatting
1,galley
1,loyalty
1,mine
1,orange
1,execution
1,mamie
1,whistle
1,platter
1,clees
1,tide
1,mama
1,once-over
1,handout
1,particular
1,little-girl
1,blessing
1,penance
1,angel
1,exercise
1,performance
1,blow-by-blow
1,program
1,earthman
1,drive
1,lina
1,ma
1,plea
1,mana
1,radio
1,shore
1,hussy
1,wheel
1,remain
1,goblet
1,blow
1,deal
1,struggle
1,fortune
1,lung
1,brandy
1,nourishment
1,eloquence
1,foundation
1,laundry
1,panic
1,column
1,flicker
1,poetry
1,background
1,practice
1,chase
1,rain
1,disposition
1,jerk
1,lake
1,musicologist
1,itchy
1,messenger
1,hoist
1,document
1,empire
1,limb
1,lunge
1,diploma
1,difficulty
1,mean
1,safety
1,darling
1,cabriolet
1,ritual
1,collection
1,lee
1,agent
1,splendor
1,gurgle
1,alms
1,commission
1,type
1,meeting
1,friendship
1,luster
1,valentino
1,merchant
1,tane
1,check
1,glare
1,roadster
1,simonides
1,duck
1,omnipotent
1,doilies
1,orbit
1,fall
1,stretch
1,reprimand
1,chore
1,cup
1,birthplace
1,benefit
1,contract
1,go-by
1,mention
1,dad
1,abernathy
1,murder
1,ms
1,crack
1,tablet
1,ear
1,bellyache
1,alien
1,rug
1,recovery
1,schoolteacher
1,snicker
1,measles
1,poverty
1,coulisses
1,sauterne
1,rationality
1,cap
1,dear
1,caution
1,source
1,severity
1,truth
1,tug
1,bastard
1,okay
1,cabman
1,unbar
1,possibility
1,fisher
1,vantage
1,password
1,guest
1,camp
1,attendant
1,shield
1,resonance
1,tooth
1,coordinate
1,surroundings
1,half
1,resource
1,step
1,succor
1,photo
1,brownie
1,dosage
1,hate
1,giggle
1,theme
1,mum
1,motive
1,campaign
1,farewell
1,ecstasy
1,contentment
1,road
1,attack
1,port
1,czar
1,spice
1,comb
1,succession
1,worth
1,collie
1,belief
1,village
1,breadfruit
1,card
1,hank
1,absolution
1,salary
1,spring
1,guard
1,remittance
1,person
1,diagnosis
1,anya
1,cheers
1,thirst
1,excitement
1,sublet
1,law
1,vocabulary
1,transfer
1,stocking
1,factory
1,meat
1,mantle
1,argument
1,serenity
1,steak
1,enthusiasm
1,equivalent
1,purpose
1,betsy
1,mercy
1,reaffirmation
1,english
1,flower
1,emotion
1,search
1,mood
1,handful
1,frustration
1,significance
1,wail
1,body
1,wreath
1,squirt
1,oleander
1,aspirin
1,associate
1,variety
1,beer
1,proportion
1,scheme
1,paradise
1,study
1,irresponsibility
1,wheeze
1,set
1,spruce-up
1,identity
1,surcease
1,snort
1,musketeers
1,soldier
1,faster-than-light
1,hearty
1,heed
1,bar
1,aviation
1,fellow
1,knee
1,reference
1,governor
1,discussion
1,proof
1,serum
1,fetid
1,sustenance
1,oats
1,hoot
1,camera
1,ejaculation
1,student
1,fool
1,delegation
1,swing
1,bang
1,maybelle
1,magi
1,staff
1,intention
1,importance
1,playwright
1,assent
1,sensation
1,bang-up
1,polish
1,moral
1,pull
1,ship
1,zero
1,retirement
1,pity
1,stern
1,approval
1,chocolate
1,depth
1,malady
1,conviction
1,umbrella
1,sputum
1,live
1,lothar
1,despair
1,pullman
1,rating
1,omelette
1,shawl
1,rap
1,write
1,summary
1,recommendation
1,banking
1,respect
1,past
1,green
1,towel
1,choice
1,guidance
1,wonder
1,hay
1,latitude
1,iip
1,canoe
1,pump
1,poem
1,dude
1,brooch
1,department
1,motorcyclist
1,schooling
1,nobleman
1,guilelessness
1,knowledge
1,coal
1,rock
1,split
1,university
1,holler
1,citizenship
1,gate
1,happiness
1,labourer
1,sight
1,european
1,glory
1,cover
1,blue
1,bestiality
1,lentil
1,screen
1,trumpete
1,base
1,committee
1,psi
1,neologism
1,knock
1,mother-in-law
1,spank
1,plague
1,co-ordinate
1,movie
1,lazarus
1,author
1,goose-pimple
1,supper
1,backing
1,inkling
1,travel
1,cord
1,inventory
1,it
1,impact
1,fire-fight
1,reporter
1,pointer
1,fit
1,rind
1,visitor
1,grandson
1,form
1,glass
1,ease
1,fey
1,farman
1,plenty
1,sofa
1,rhetoric
1,worm
1,comprehension
1,response
1,oration
1,priest
1,satellite
1,downbeat
1,clout
1,lead
1,histo
1,longevity
1,chronicle
1,villa
1,end
1,case
1,solace
1,expression
1,scream
1,salve
1,score
1,shower
