count,lemma
10,request
5,pardon
4,confidence
4,power
4,privilege
3,patience
3,protection
3,petition
3,success
3,interview
3,heaven
3,thing
2,brother
2,curiosity
2,sir
2,restoration
2,boon
2,wilderness
2,oblivion
2,letter
2,people
2,prayer
2,esteem
2,place
2,past
2,peace
2,""
2,life
2,prisoner
1,sake
1,alb
1,favour
1,mean
1,omen
1,other
1,right
1,name
1,ancient
1,faith
1,alloy
1,service
1,motive
1,independence
1,trial
1,advantage
1,liberty
1,charm
1,catholic
1,chap
1,crime
1,family
1,fortitude
1,difference
1,permission
1,man
1,beam
1,grant
1,resignation
1,fugitive
1,destruction
1,reprieve
1,prophecy
1,pathos
1,suit
1,fear
1,chance
1,offspring
1,exit
1,excellency
1,beacon
1,warrant
1,matter
1,absence
1,love
1,creature
1,conversation
1,strength
1,necessity
1,farm
1,good
1,side
1,land
1,suspicion
1,leave
1,respect
1,impudence
1,look
1,lodge
1,government
1,supplicant
1,female
1,controul
1,english
1,vanity
1,speech
1,escort
1,decision
1,face
1,hope
1,period
1,manner
1,father
1,pass
1,case
1,exemption
1,maiden
1,coachman
1,venom
1,soul
1,quietness
1,sovereign
1,accident
1,exertion
1,parole
1,refuge
1,say
1,information
1,repentance
1,danger
1,enmity
1,grace
1,dutchman
1,delp
1,hesitation
1,mause
1,influence
1,word
1,character
1,anatomist
1,healing
1,term
1,visit
1,attention
1,sacrifice
1,dear
1,need
1,cause
1,moment
1,clemency
1,duty
1,dwell
1,bliss
1,portion
1,oppression
1,pleasure
1,courage
1,door
1,solicitation
1,affection
1,governor
1,child
1,victory
1,curl
1,wish
1,reason
1,retribution
1,intercession
1,direction
1,commiseration
