count,lemma
12,""
10,land
9,general
8,army
7,campaign
7,president
6,headquarters
6,power
5,request
5,letter
5,city
4,condition
4,secretary
4,word
4,man
4,command
4,pension
4,administration
3,house
3,change
3,preparation
3,country
3,relation
3,effort
3,front
3,government
3,order
3,service
3,staff
3,war
3,position
3,officer
3,idea
3,lieutenant-general
3,demand
3,point
3,term
2,act
2,license
2,evil
2,spring
2,presence
2,field
2,money
2,tent
2,authority
2,battle
2,despatch
2,right
2,subject
2,movement
2,subsidy
2,apprehension
2,advice
2,purchase
2,life
2,write
2,use
2,instruction
2,part
2,correspondence
2,monument
2,member
2,reader
2,congress
2,custom
2,uniform
2,party
2,fact
2,birthday
2,interest
2,sin
2,manner
2,patent
2,woman
2,midst
2,company
2,privilege
2,mind
2,death
2,hand
2,relief
2,extension
2,foresight
2,opinion
2,message
2,appearance
2,confidence
2,limitation
2,son
1,modification
1,concession
1,struggle
1,page
1,interim
1,confederacy
1,indignation
1,information
1,bill
1,meade
1,essence
1,sit
1,flint
1,aid
1,aim
1,home
1,practice
1,career
1,admiration
1,machine
1,article
1,district
1,halleck
1,treaty
1,reference
1,piece
1,exchequer
1,crisis
1,discussion
1,church
1,proof
1,circumstance
1,medal
1,veto
1,sale
1,ingalls
1,difficulty
1,honesty
1,room
1,increase
1,foreigner
1,application
1,purse
1,opponent
1,examination
1,class
1,stapf
1,stump
1,suggestion
1,permission
1,senate
1,grant
1,major-general
1,meeting
1,resignation
1,indian
1,line
1,advance
1,common-sense
1,interview
1,understanding
1,school
1,offspring
1,senator
1,demeanor
1,recognition
1,congressman
1,establishment
1,inauguration
1,capture
1,injunction
1,policy-holder
1,language
1,equality
1,number
1,farmhouse
1,passage
1,necessity
1,style
1,fire
1,writing
1,negro
1,post
1,reprimand
1,charter
1,attorney
1,friend
1,french
1,clan
1,norwegian
1,peace
1,suicide
1,association
1,capital
1,sum
1,escape
1,//
1,series
1,confederate
1,bat
1,system
1,wage
1,union
1,college
1,view
1,goodness
1,mail
1,province
1,admission
1,facility
1,proposal
1,patriotism
1,moment
1,operation
1,dance
1,aspect
1,illness
1,title
1,compensation
1,camp
1,general-in-chief
1,door
1,award
1,child
1,butler
1,reason
1,claimant
1,half
1,step
1,method
1,inventor
1,sake
1,baker
1,other
1,rumor
1,atmosphere
1,court
1,prediction
1,dinner
1,brother
1,attack
1,eagerness
1,presidency
1,musical
1,aggressiveness
1,slavery
1,attitude
1,bound
1,office
1,shilling
1,amelioration
1,listener
1,citizen
1,constitution
1,propriety
1,charge
1,way
1,drink
1,arrival
1,tomb
1,still
1,proposition
1,slaughter
1,direction
1,station
1,perception
1,table
1,state
1,cigar
1,climax
1,ad
1,vol
1,treasury
1,valor
1,net
1,fruit
1,review
1,responsibility
1,boarding-school
1,witness
1,nomination
1,chivalry
1,determination
1,nation
1,start
1,suffrage
1,visitor
1,concentration
1,will
1,parish
1,instigation
1,seigneurs
1,disease
1,back
1,education
1,ord
1,matter
1,magnanimity
1,help
1,butcher
1,plan
1,enemy
1,peculiarity
1,law
1,stand
1,situation
1,smoker
1,strength
1,argument
1,leave
1,purpose
1,particular
1,blessing
1,bank
1,tour
1,mood
1,appointment
1,membership
1,anxiety
1,success
1,hot-headed
1,accompaniment
1,temptation
1,end
1,case
1,pledge
1,porch
1,speak
1,associate
1,dispatch
1,light
1,police
1,fork
1,statement
1,voice
