count,lemma
10,fund
10,program
8,authority
6,association
6,research
6,contract
6,right
5,relief
5,university
5,permission
5,usda
5,system
4,request
4,express
4,status
4,exemption
4,government
4,citizenship
3,power
3,college
3,state
3,scientist
3,support
3,basis
3,school
3,money
2,primary
2,motion
2,subject
2,administrator
2,visa
2,institution
2,land
2,amount
2,area
2,king
2,responsibility
2,engineering
2,inventor
2,""
2,independence
2,principle
2,prisoner
2,credit
2,degree
2,shilling
2,village
2,science
2,child
2,fact
2,suit
2,need
2,recognition
2,privilege
2,subsidy
2,production
2,monopoly
2,tax
2,number
2,practice
1,education
1,agency
1,merit
1,death
1,concept
1,option
1,change
1,thanks
1,love
1,fuel
1,judge
1,enjoyment
1,accent
1,conservation
1,technology
1,equivalent
1,purpose
1,allowance
1,escape
1,exercise
1,decision
1,formula
1,performance
1,activity
1,letter
1,legislation
1,turn
1,project
1,human
1,historian
1,castle
1,housing
1,terminer
1,result
1,defense
1,train
1,building
1,problem
1,mathematics
1,sort
1,discretion
1,category
1,cost
1,minority
1,police
1,quest
1,anachronism
1,increment
1,water
1,violence
1,exchange
1,sole
1,townsman
1,buckskin
1,religion
1,colony
1,note
1,foundation
1,male
1,researcher
1,idea
1,dispensation
1,background
1,adult
1,soldier
1,home
1,aid
1,character
1,mouth
1,foster
1,term
1,food
1,training
1,subcommittee
1,unit
1,plaintiff
1,intellectual
1,specialist
1,order
1,toleration
1,increase
1,delegation
1,pc
1,application
1,service
1,class
1,clothing
1,experiment
1,potpourri
1,inman
1,cigs
1,chevaux
1,greeting
1,export
1,infrastructure
1,ile
1,oyer
1,choose
1,shift
1,control
1,public
1,purchase
1,thought
1,listing
1,sewer
1,scale
1,wolf
1,equality
1,art
1,people
1,noble
1,contribution
1,mortalite
1,necessity
1,perquisite
1,effort
1,charter
1,executive
1,general
1,condition
1,roman
1,memoir
1,originality
1,ethics
1,farmer
1,office
1,cadet
1,justice
1,complex
1,teaching
1,part
1,citizen
1,trouble
1,camp
1,solicitation
1,rule
1,item
1,think
1,wish
1,cryptography
1,history
1,exasperation
1,discipline
1,citation
1,station
1,integration
1,sake
1,secretary
1,presentation
1,travel
1,ceremony
1,ownership
1,development
1,mode
1,bias
1,allotment
1,jacket
1,hire
1,boon
1,lounge
1,grizzly
1,funding
1,mammoth
1,impact
1,review
1,satisfaction
1,city
1,darpa
1,commodity
1,destruction
1,patent
1,board
1,effect
1,act
1,huguenot
1,duke
1,salary
1,certificate
1,proficiency
1,exposure
