count,lemma
102,money
75,""
65,man
57,speech
52,effort
47,news
46,way
42,mistake
37,people
37,profit
37,mind
35,trip
35,public
34,loan
33,--
32,world
32,sense
29,life
29,difference
29,peace
28,work
28,success
27,impression
27,business
27,thing
27,friend
25,study
25,use
23,statement
22,sound
22,living
21,war
21,progress
21,home
19,case
19,government
19,country
18,child
18,state
18,point
17,record
17,decision
17,woman
17,appearance
16,investment
16,remark
15,contribution
15,suggestion
15,change
15,picture
15,arrangement
14,attempt
14,president
14,investigation
14,room
14,member
14,provision
14,end
14,place
13,city
13,fortune
13,rule
13,payment
12,history
12,fact
12,part
12,law
12,marriage
12,price
12,flight
12,gesture
11,company
11,party
11,contract
11,name
11,comment
11,acquaintance
11,survey
11,show
11,noise
11,trouble
11,present
10,individual
10,radio
10,automobile
10,kind
10,lot
10,sacrifice
10,deal
10,claim
10,condition
10,trade
10,live
10,power
10,house
10,demand
10,hand
10,labor
10,collective
10,book
10,plan
10,issue
10,general
9,promise
9,capital
9,farmer
9,fool
9,line
9,interest
9,headline
9,cause
9,film
9,democracy
9,inquiry
9,good
9,right
9,manager
9,note
9,stock
9,page
8,future
8,school
8,feel
8,allowance
8,boy
8,industry
8,journey
8,factory
8,story
8,reader
8,discovery
8,will
8,pay
8,market
8,preparation
8,figure
8,family
8,settlement
8,run
8,basis
8,purchase
8,nation
8,other
7,pilgrimage
7,contact
7,car
7,debut
7,report
7,oil
7,negro
7,bow
7,person
7,agreement
7,official
7,necessity
7,protest
7,attack
7,land
7,policy
7,advance
7,bid
7,choice
7,union
7,letter
7,practice
6,plain
6,talk
6,examination
6,tour
6,congress
6,think
6,dent
6,bed
6,copy
6,organization
6,appointment
6,shoe
6,farm
6,exception
6,bank
6,side
6,experiment
6,author
6,announcement
6,turn
6,town
6,appeal
6,headway
6,face
6,job
6,call
6,cost
6,error
6,subject
6,income
6,head
6,front
6,pretense
6,request
6,department
6,concession
6,beginning
6,improvement
6,test
6,steel
6,move
6,plea
6,water
6,bargaining
6,safe
5,grade
5,address
5,recommendation
5,connection
5,information
5,purpose
5,idea
5,knowledge
5,french
5,husband
5,stride
5,paper
5,chairman
5,membership
5,number
5,need
5,return
5,amount
5,hit
5,plane
5,recovery
5,human
5,wife
5,court
5,director
5,newspaper
5,reputation
5,cow
5,champion
5,release
5,church
5,clothes
5,offer
5,character
5,chief
5,relief
5,charge
5,visit
5,list
5,material
5,salary
5,tariff
5,bread
5,blood
5,sell
5,pair
5,total
5,system
5,cooperation
5,ship
5,mess
5,opinion
5,secretary
5,conference
5,campaign
5,stage
5,pass
5,estimate
5,boom
5,police
4,career
4,jew
4,gold
4,proposal
4,fame
4,victory
4,volume
4,american
4,crowd
4,election
4,hero
4,drive
4,escape
4,jump
4,wood
4,sort
4,age
4,final
4,expenditure
4,matter
4,budget
4,argument
4,neighbor
4,port
4,administration
4,inspection
4,gift
4,skin
4,sensation
4,development
4,coffee
4,production
4,fuss
4,judgment
4,dog
4,german
4,tax
4,representative
4,bone
4,faith
4,look
4,field
4,profession
4,youth
4,broadcast
4,board
4,net
4,prediction
4,body
4,airplane
4,officer
4,secret
4,group
4,start
4,society
4,leader
4,bond
4,surplus
4,mark
4,mud
4,animal
4,dictator
4,fire
4,dark
4,lady
4,music
4,college
4,comparison
4,river
4,loss
4,measure
4,patient
4,office
4,sale
4,wage
4,machine
4,schedule
4,mean
4,cut
4,minister
4,employment
4,article
4,constitution
4,club
4,bargain
4,student
4,fur
4,accident
4,reason
4,sentence
4,term
4,adjustment
3,teacher
3,question
3,distribution
3,republican
3,habit
3,wool
3,management
3,round
3,saint
3,blunder
3,belief
3,army
3,love
3,enemy
3,utility
3,declaration
3,stick
3,be
3,eye
3,iron
3,producer
3,stand
3,image
3,game
3,device
3,reservation
3,cardinal
3,economy
3,pupil
3,saving
3,combination
3,radical
3,supply
3,transaction
3,customer
3,expedition
3,liver
3,cross
3,chance
3,course
3,greek
3,criminal
3,flour
3,statesman
3,rebel
3,magazine
3,meal
3,hope
3,authority
3,reference
3,view
3,expense
3,sport
3,dash
3,sketch
3,stuff
3,swing
3,girl
3,boat
3,concern
3,god
3,just
3,comeback
3,level
3,nose
3,birth
3,bull
3,agency
3,transcription
3,detour
3,hay
3,engine
3,influence
3,steam
3,play
3,dispute
3,document
3,native
3,service
3,program
3,furniture
3,commission
3,negotiation
3,perjury
3,rush
3,pound
3,box
3,nature
3,marks
3,drink
3,medium
3,university
3,occasion
3,pattern
3,farming
3,advertising
3,worthy
3,conclusion
3,assistant
3,crack
3,sign
3,joke
3,act
3,telephone
3,community
3,date
3,spectacle
3,editor
3,death
3,half
3,step
3,refusal
3,skyscraper
3,rank
3,cabinet
3,collection
3,distinction
3,worth
3,application
3,fight
3,building
3,faculty
3,virtue
3,stop
3,voice
3,situation
3,plant
3,firm
3,quantity
3,english
3,wealth
3,sun
3,wish
3,translation
3,father
3,fish
3,manufacturing
3,art
3,standpoint
3,rate
3,class
3,crime
3,purchaser
3,motor
3,bet
3,sales
3,opposition
3,sail
3,wheat
3,independent
3,surface
3,facility
3,wonder
3,source
3,ground
3,coup
3,moment
3,miracle
3,employee
3,go
3,break
3,movie
3,ring
3,nuisance
3,operation
3,camp
3,duty
3,scale
3,form
3,stability
3,disarmament
3,mountain
3,football
3,knight
3,tone
3,exchange
2,communication
2,catalogue
2,vote
2,unity
2,wake
2,armament
2,pile
2,approach
2,banking
2,eagle
2,mine
2,possibility
2,agriculture
2,limitation
2,addition
2,committee
2,strike
2,sick
2,hutchins
2,inventor
2,lehman
2,horse
2,confession
2,climb
2,appropriation
2,structure
2,pother
2,judge
2,path
2,theater
2,chapter
2,variation
2,lawyer
2,restriction
2,road
2,suspect
2,safety
2,order
2,household
2,merit
2,personnel
2,bee
2,orchestra
2,barn
2,emperor
2,storage
2,cod
2,son
2,creditor
2,it
2,excuse
2,convention
2,longterm
2,loyalist
2,toast
2,drawing
2,care
2,raid
2,object
2,particle
2,intervention
2,trail
2,delivery
2,deposit
2,outcry
2,martyr
2,generation
2,baby
2,pitcher
2,deficiency
2,hoover
2,sex
2,participation
2,leftist
2,moral
2,conquest
2,relative
2,impact
2,celebrant
2,star
2,watch
2,concrete
2,lay-off
2,witness
2,direction
2,selection
2,staff
2,graft
2,dance
2,receiver
2,hospital
2,misrepresentation
2,position
2,laughter
2,tragedy
2,moralist
2,vow
2,fit
2,bench
2,executive
2,detective
2,say
2,search
2,resumption
2,attitude
2,peer
2,doctor
2,getaway
2,colleague
2,municipality
2,canadian
2,belt
2,graze
2,arrest
2,justice
2,discount
2,being
2,word
2,ideal
2,cattle
2,visitor
2,subscription
2,relation
2,light
2,china
2,cheese
2,employer
2,commissioner
2,silk
2,framework
2,snow
2,disclosure
2,evidence
2,fraction
2,press
2,carrier
2,piece
2,gamble
2,triumph
2,race
2,cinema
2,railway
2,training
2,inroad
2,p.-a
2,set
2,speculation
2,security
2,bat
2,optimism
2,senate
