count,lemma
77,use
66,""
47,man
40,way
32,contract
32,material
28,study
28,world
24,money
24,part
24,room
23,price
23,difference
23,contribution
22,mistake
21,thing
21,law
20,progress
19,people
19,change
18,life
18,work
18,effort
18,school
17,plan
16,color
16,demand
16,wood
15,war
15,peace
15,piece
15,attempt
15,appearance
14,business
14,purpose
14,home
14,repair
14,impression
14,type
14,record
14,investigation
13,joint
13,general
13,profit
13,cotton
12,form
12,mind
12,garment
12,authority
12,duty
12,land
12,comparison
12,living
12,number
11,fact
11,jam
11,discovery
11,design
11,survey
11,adjustment
11,public
11,point
11,distinction
11,right
11,appeal
11,safe
11,group
11,headway
11,government
10,other
10,education
10,fiber
10,speech
10,trip
10,light
10,stitch
10,method
10,good
10,rug
10,pattern
9,friend
9,suggestion
9,machine
9,case
9,observation
9,silk
9,side
9,cloth
9,violation
9,list
9,fortune
9,individual
9,uniform
9,member
8,jelly
8,nature
8,furniture
8,arrangement
8,article
8,glass
8,connection
8,canal
8,report
8,agreement
8,payment
8,assumption
8,size
8,success
8,cut
8,examination
8,construction
8,lamp
8,line
8,teacher
8,question
8,kind
7,wool
7,promise
7,thread
7,cause
7,meal
7,application
7,end
7,//
7,shoe
7,pottery
7,fabric
7,hand
7,settlement
7,student
7,power
7,object
7,purchase
7,sort
7,background
7,start
7,effect
7,child
7,claim
7,occasion
7,board
7,subject
7,note
7,image
7,country
7,state
7,metal
7,loss
7,acquaintance
7,term
7,family
7,angle
7,addition
7,decision
7,basis
7,sound
7,picture
7,choice
7,bid
6,symbol
6,lace
6,linen
6,action
6,pilgrimage
6,contact
6,treaty
6,manufacturer
6,product
6,show
6,principle
6,food
6,wave
6,word
6,rope
6,human
6,concession
6,selection
6,attack
6,science
6,place
6,farm
6,instrument
6,sport
6,tube
6,preparation
6,rule
6,clothes
6,farmer
6,valley
6,oil
6,knowledge
6,test
6,system
6,table
6,decoration
6,english
6,market
6,sign
6,footnote
6,book
6,advance
6,manner
5,charge
5,mountain
5,determination
5,sales
5,cost
5,water
5,exchange
5,play
5,violin
5,experiment
5,sweep
5,french
5,bridge
5,gesture
5,wire
5,heart
5,reform
5,statement
5,weight
5,interest
5,surface
5,measurement
5,center
5,data
5,feel
5,worker
5,skin
5,writing
5,bed
5,building
5,firm
5,team
5,seam
5,sale
5,corporation
5,organization
5,acetate
5,provision
5,clay
5,marriage
5,wall
5,region
5,protest
5,union
5,name
5,woman
5,dulcimer
5,service
5,person
5,gift
5,insertion
5,live
5,industry
4,stone
4,screen
4,production
4,research
4,circumstance
4,sea
4,value
4,remark
4,future
4,party
4,labor
4,body
4,expenditure
4,brother
4,process
4,butt
4,floor
4,paste
4,office
4,turn
4,property
4,distribution
4,knot
4,court
4,loan
4,return
4,transfer
4,scale
4,argument
4,sake
4,recognition
4,development
4,army
4,response
4,total
4,stock
4,eye
4,course
4,route
4,clearing
4,round
4,agent
4,lock
4,force
4,section
4,practice
4,shadow
4,curtain
4,rise
4,president
4,length
4,lap
4,present
4,wine
4,division
4,house
4,order
4,declaration
4,finish
4,district
4,soil
4,iron
4,inquiry
4,interior
4,leap
4,mark
4,result
4,photography
4,regulation
4,planning
4,majority
4,china
4,requirement
4,king
4,disregard
4,noun
4,stand
4,final
4,removal
4,pupil
4,passage
4,hem
4,lip
4,quality
4,period
4,atom
4,conference
4,recommendation
4,animal
4,chair
4,face
4,condition
4,confession
4,letter
4,series
4,ground
4,gain
4,air
4,wage
4,voyage
4,virtue
4,psychology
4,supply
4,gold
4,sacrifice
4,quantity
4,trouble
4,scientist
4,meaning
3,rate
3,consent
3,italian
3,reality
3,blue
3,reader
3,conservative
3,officer
3,cabinet
3,economy
3,improvement
3,sum
3,comment
3,handicraft
3,orange
3,resolution
3,level
3,task
3,plunge
3,county
3,spot
3,standard
3,love
3,enemy
3,creature
3,cake
3,border
3,religion
3,location
3,idea
3,seller
3,drainage
3,pass
3,german
3,fuss
3,soldier
3,employment
3,medicine
3,ice
3,problem
3,feature
3,budget
3,possibility
3,clothing
3,green
3,introduction
3,defense
3,prayer
3,convert
3,handle
3,household
3,leisure
3,contrast
3,merchant
3,allowance
3,fast
3,amount
3,red
3,rayon
3,spring
3,technique
3,call
3,combination
3,factor
3,erection
3,exception
3,forest
3,composition
3,earth
3,figure
3,quartz
3,platinum
3,crowd
3,detail
3,cream
3,statute
3,brotherhood
3,appointment
3,classification
3,electron
3,wheel
3,degree
3,seed
3,noise
3,native
3,coat
3,plea
3,walnut
3,issue
3,radio
3,step
3,artist
3,river
3,city
3,corn
3,haste
3,class
3,relationship
3,factory
3,pope
3,computation
3,draw
3,circuit
3,analysis
3,plain
3,road
3,variety
3,language
3,fan
3,entry
3,trade
3,stride
3,back
3,paper
3,democracy
3,society
3,escape
3,boiler
3,element
3,direction
3,tooth
3,solution
3,bow
3,deal
3,slip
3,foundation
3,achievement
3,dish
3,agriculture
3,beginning
3,plant
3,ware
3,fill
3,filament
3,chloride
3,influence
3,style
3,maple
3,waterway
3,mass
3,roman
3,flour
3,move
3,weave
3,bargain
3,reaction
3,leather
