count,lemma
124,""
92,sense
84,way
80,love
59,difference
56,decision
49,thing
47,sound
46,mistake
40,man
40,feel
36,noise
35,people
34,move
33,money
33,life
31,call
30,mind
29,face
28,effort
26,gesture
24,fun
24,note
22,--
22,trip
20,father
20,point
20,joke
20,plan
19,friend
19,think
18,look
18,sign
17,woman
17,kind
17,right
16,contact
16,eye
16,statement
15,tea
15,peace
15,lot
15,arrangement
15,room
15,home
14,coffee
14,back
14,work
13,place
13,run
13,child
13,world
12,promise
12,speech
12,fool
12,team
12,change
11,movie
11,sick
11,cry
11,stop
11,king
11,excuse
10,camp
10,connection
10,light
10,living
10,deal
10,round
10,hand
10,word
9,story
9,offer
9,turn
9,bed
9,shake
9,scene
8,war
8,wonder
8,heart
8,cut
8,circle
8,picture
8,mother
8,motion
8,sort
8,pass
7,stone
7,progress
7,wood
7,fortune
7,final
7,list
7,spear
7,journey
7,song
7,guiliano
7,choice
7,other
7,baby
7,use
7,voice
7,air
7,bone
7,rule
7,laugh
7,attempt
7,boy
7,shape
7,cake
7,side
7,son
7,flesh
7,business
7,start
6,trouble
6,mess
6,car
6,remark
6,water
6,conversation
6,fire
6,judgment
6,public
6,order
6,cross
6,slave
6,comment
6,human
6,race
6,phone
6,house
6,name
6,smile
6,blood
6,sex
6,bet
6,salad
5,jeronimo
5,go
5,marriage
5,shimmy
5,entrance
5,hut
5,catch
5,job
5,whole
5,fist
5,ice
5,number
5,meal
5,reference
5,response
5,copy
5,ass
5,fact
5,god
5,reply
5,pattern
5,appointment
5,live
5,city
5,p.-a
5,acquaintance
5,dress
5,death
5,telephone
5,foot
5,tooth
5,vow
5,secret
4,figure
4,colony
4,shadow
4,end
4,model
4,noria
4,stranger
4,appearance
4,creature
4,door
4,mark
4,fish
4,good
4,toy
4,film
4,body
4,gold
4,party
4,impression
4,arc
4,fat
4,history
4,fuss
4,metal
4,rendezvous
4,dash
4,wife
4,luck
4,stuff
4,heaven
4,law
4,plain
4,stand
4,couple
4,exit
4,lip
4,cow
4,clothes
4,ground
4,welcome
4,pipe
4,one
4,member
4,arm
4,pain
4,hair
4,kid
4,dream
4,contribution
4,doubt
4,family
4,church
4,basket
4,pay
4,inventory
4,tool
4,leaf
4,part
4,talk
4,paper
4,tree
4,head
4,bus
4,horse
3,recovery
3,liver
3,sweep
3,haste
3,floor
3,pocket
3,gasp
3,concert
3,policy
3,tent
3,mouth
3,wall
3,matter
3,plant
3,mate
3,success
3,page
3,situation
3,heir
3,date
3,attachment
3,doctor
3,company
3,mud
3,earth
3,trade
3,grab
3,book
3,weapon
3,supper
3,vic
3,center
3,spirit
3,dummy
3,music
3,chair
3,foray
3,issue
3,kitchen
3,container
3,bit
3,design
3,reverence
3,test
3,transition
3,tour
3,sport
3,check
3,cotton
3,tzaddik
3,table
3,marks
3,discovery
3,inquiry
3,rock
3,demand
3,delivery
3,darkness
3,soldier
3,devil
3,jam
3,cat
3,bad
3,carol
3,reason
3,lean-to
3,covenant
3,reaction
3,strip
3,rise
3,partner
3,track
3,kill
3,sherry
3,image
3,set
3,ring
3,island
3,jungle
3,amends
3,example
3,show
3,fly
3,meat
3,truth
3,club
3,heat
3,case
3,mystery
3,seat
3,hell
3,presence
3,shelter
3,leave
3,adjustment
3,top
3,brick
3,area
3,wire
3,sacrifice
3,jew
3,game
3,mention
3,contrast
3,return
2,base
2,iceberg
2,poet
2,leather
2,relationship
2,bowl
2,speak
2,comeback
2,pearl
2,tick
2,interview
2,hall
2,animal
2,appraisal
2,lawyer
2,weep
2,confession
2,husband
2,mask
2,will
2,recommendation
2,answer
2,candy
2,settlement
2,respect
2,past
2,condition
2,owner
2,rest
2,dark
2,nonhuman
2,cookie
2,fur
2,american
2,form
2,poem
2,mound
2,potato
2,field
2,shrug
2,value
2,aisle
2,soap
2,language
2,bulk
2,error
2,drink
2,finger
2,sky
2,ink
2,lady
2,movement
2,herb
2,kiss
2,queen
2,sight
2,bread
2,glory
2,existence
2,blind
2,siren
2,survey
2,act
2,request
2,stomach
2,rabbit
2,shoe
2,pile
2,allowance
2,mirror
2,apology
2,half
2,milk
2,spark
2,escape
2,pink
2,hear
2,material
2,plastic
2,shoot
2,convert
2,pig
2,detail
2,paste
2,anger
2,prediction
2,idiot
2,construction
2,food
2,snow
2,future
2,exception
