lemma,count
make,12654
say,12226
see,10106
take,8478
give,8354
know,7859
come,7510
go,7246
find,6603
think,4722
"",4574
seem,4381
look,4078
become,3967
leave,3948
call,3911
let,3529
bring,3420
speak,3328
tell,3323
hear,3283
feel,3207
get,3046
appear,2737
keep,2720
pass,2677
stand,2653
believe,2497
hold,2474
receive,2410
show,2390
lay,2389
form,2327
put,2301
follow,2204
enter,2199
produce,2163
begin,2032
ask,2018
fall,2012
turn,1960
meet,1945
consider,1926
carry,1925
grow,1887
live,1850
require,1820
send,1795
lead,1769
love,1701
remain,1697
use,1691
answer,1688
write,1655
place,1642
lose,1634
suppose,1595
draw,1582
set,1550
bear,1478
throw,1472
return,1443
pay,1437
continue,1412
read,1405
prove,1399
understand,1385
die,1380
seek,1364
reach,1354
want,1353
/z/,1318
open,1316
admit,1289
possess,1259
wish,1259
add,1253
mean,1234
raise,1224
establish,1202
save,1186
allow,1184
like,1180
regard,1175
exist,1173
break,1148
present,1144
observe,1142
contain,1137
render,1132
learn,1129
rise,1121
fill,1113
expect,1105
prepare,1099
act,1089
obtain,1079
strike,1070
adopt,1064
secure,1047
express,1038
cover,1035
proceed,1030
try,1026
sit,1026
discover,1015
run,1009
employ,1006
move,990
teach,984
forget,979
suffer,976
reply,969
hope,962
increase,951
apply,948
cry,929
need,917
extend,915
determine,910
arise,910
belong,909
bind,896
fear,896
fail,894
offer,887
prevent,885
lie,884
work,881
furnish,881
declare,878
remember,831
choose,824
intend,816
remove,816
represent,806
change,795
engage,795
serve,788
wear,783
attend,776
behold,771
cut,767
gain,762
describe,762
perceive,758
stop,742
propose,739
close,738
state,736
drive,734
arrive,732
afford,732
enjoy,732
advance,730
maintain,729
attempt,728
resolve,725
wait,708
depend,707
succeed,704
deny,702
assume,700
watch,699
hang,699
destroy,695
direct,693
perform,692
consist,691
create,690
occupy,683
provide,672
approach,669
pursue,660
cause,658
walk,658
introduce,656
escape,652
appoint,645
play,645
connect,640
exercise,633
trust,631
support,629
affect,626
enable,626
exclaim,625
occur,618
mark,612
rest,611
publish,609
cease,609
refer,608
cast,607
can,606
catch,602
visit,601
desire,597
yield,593
listen,591
talk,590
decide,589
settle,589
mention,585
constitute,585
start,585
spring,584
commence,582
join,579
recognize,578
permit,576
doubt,576
build,573
unite,571
address,570
treat,569
sustain,565
gather,562
supply,561
accomplish,561
win,560
derive,560
judge,558
sink,558
sing,557
repeat,554
happen,554
preserve,549
plant,548
compel,547
refuse,545
fix,545
relate,545
dispose,544
kill,543
exhibit,540
distinguish,540
deem,539
owe,535
point,534
agree,533
examine,533
dare,531
commit,529
force,527
will,525
touch,524
compare,521
please,520
excite,519
conceive,516
govern,516
name,514
expose,513
oppose,512
help,511
acquire,506
compose,504
sell,503
separate,501
explain,500
urge,499
sleep,499
ride,498
protect,497
demand,496
fly,496
inform,496
fit,496
spread,495
avoid,491
attain,490
conduct,489
spend,487
claim,487
pray,487
utter,484
acknowledge,480
seize,479
laugh,478
effect,476
accompany,474
shake,472
cross,467
dwell,464
divide,463
tend,463
retain,461
submit,461
indicate,460
surround,458
promise,453
bend,451
gaze,451
assure,449
conclude,448
burn,446
eat,442
inquire,441
manifest,440
found,438
remark,437
prevail,436
satisfy,435
pour,432
shine,431
confess,430
press,428
grant,428
collect,427
notice,421
command,420
tremble,420
assert,417
confine,417
suggest,417
recommend,417
born,413
descend,412
obey,412
ascertain,412
complete,408
imagine,406
reflect,406
preach,405
free,404
cultivate,404
fight,402
acquaint,401
awaken,399
shoot,398
retire,398
entitle,393
rush,392
devote,389
witness,387
hide,385
induce,383
stay,383
oblige,382
bid,381
attach,380
drink,379
resist,379
buy,379
conceal,378
deliver,377
suspect,374
thank,371
mingle,371
embrace,371
marry,370
restore,368
