lemma,1830,1840,1850,sum
[SAY],14623.0,12226.0,17843.0,44692.0
[MAKE],13392.0,12654.0,13558.0,39604.0
[SEE],9382.0,10106.0,9920.0,29408.0
[TAKE],9271.0,8478.0,8650.0,26399.0
[GIVE],8786.0,8354.0,8049.0,25189.0
[KNOW],7804.0,7859.0,7956.0,23619.0
[GO],7040.0,7246.0,8125.0,22411.0
[COME],6645.0,7510.0,8031.0,22186.0
[FIND],6306.0,6603.0,7147.0,20056.0
[THINK],5267.0,4722.0,5558.0,15547.0
[SEEM],4271.0,4381.0,4448.0,13100.0
[LOOK],3756.0,4078.0,4508.0,12342.0
[LEAVE],3941.0,3948.0,3941.0,11830.0
[BECOME],3438.0,3967.0,4108.0,11513.0
[CALL],3854.0,3911.0,3669.0,11434.0
[TELL],4004.0,3323.0,3753.0,11080.0
[GET],3748.0,3046.0,3400.0,10194.0
[BRING],3149.0,3420.0,3423.0,9992.0
[HEAR],3316.0,3283.0,3201.0,9800.0
[LET],3089.0,3529.0,2984.0,9602.0
[FEEL],3029.0,3207.0,3192.0,9428.0
[SPEAK],2989.0,3328.0,3019.0,9336.0
[PASS],2977.0,2677.0,2777.0,8431.0
[APPEAR],3181.0,2737.0,2332.0,8250.0
[KEEP],2775.0,2720.0,2747.0,8242.0
[PUT],3220.0,2301.0,2529.0,8050.0
[RECEIVE],3029.0,2410.0,2330.0,7769.0
[STAND],2297.0,2653.0,2504.0,7454.0
[BELIEVE],2668.0,2497.0,2275.0,7440.0
[HOLD],2440.0,2474.0,2409.0,7323.0
[SHOW],2219.0,2390.0,2439.0,7048.0
[FOLLOW],2266.0,2204.0,2301.0,6771.0
[LAY],2147.0,2389.0,2225.0,6761.0
[FORM],2207.0,2327.0,2082.0,6616.0
[TURN],2113.0,1960.0,2357.0,6430.0
[ASK],1866.0,2018.0,2429.0,6313.0
[PRODUCE],2008.0,2163.0,2035.0,6206.0
[BEGIN],1970.0,2032.0,2177.0,6179.0
[ENTER],2229.0,2199.0,1692.0,6120.0
[FALL],1876.0,2012.0,2172.0,6060.0
[MEET],2018.0,1945.0,2045.0,6008.0
[CONSIDER],2262.0,1926.0,1708.0,5896.0
[CARRY],1768.0,1925.0,2135.0,5828.0
[SEND],1948.0,1795.0,1919.0,5662.0
[REQUIRE],1921.0,1820.0,1896.0,5637.0
[USE],1896.0,1691.0,1987.0,5574.0
[WRITE],1850.0,1655.0,1827.0,5332.0
[DRAW],1920.0,1582.0,1780.0,5282.0
[REMAIN],1705.0,1697.0,1873.0,5275.0
[LIVE],1500.0,1850.0,1876.0,5226.0
[LEAD],1556.0,1769.0,1774.0,5099.0
[PAY],1984.0,1437.0,1637.0,5058.0
[LOSE],1616.0,1634.0,1747.0,4997.0
[RETURN],1674.0,1443.0,1840.0,4957.0
[SET],1644.0,1550.0,1708.0,4902.0
[SUPPOSE],1572.0,1595.0,1667.0,4834.0
[PLACE],1623.0,1642.0,1532.0,4797.0
[THROW],1644.0,1472.0,1673.0,4789.0
[GROW],1231.0,1887.0,1657.0,4775.0
[READ],1667.0,1405.0,1649.0,4721.0
[LOVE],1493.0,1701.0,1445.0,4639.0
[CONTINUE],1641.0,1412.0,1554.0,4607.0
[ADD],1799.0,1253.0,1392.0,4444.0
[BEAR],1451.0,1478.0,1457.0,4386.0
[WANT],1398.0,1353.0,1446.0,4197.0
[ANSWER],1168.0,1688.0,1337.0,4193.0
[PROVE],1403.0,1399.0,1373.0,4175.0
[OPEN],1335.0,1316.0,1499.0,4150.0
[UNDERSTAND],1389.0,1385.0,1373.0,4147.0
[DIE],1234.0,1380.0,1438.0,4052.0
[WISH],1351.0,1259.0,1439.0,4049.0
[MEAN],1317.0,1234.0,1345.0,3896.0
[REACH],1066.0,1354.0,1463.0,3883.0
[OBTAIN],1458.0,1079.0,1334.0,3871.0
[LIKE],1200.0,1180.0,1455.0,3835.0
[ADMIT],1368.0,1289.0,1123.0,3780.0
[ALLOW],1281.0,1184.0,1305.0,3770.0
[PRESENT],1389.0,1144.0,1230.0,3763.0
[SEEK],1027.0,1364.0,1336.0,3727.0
[SIT],1136.0,1026.0,1512.0,3674.0
[POSSESS],1204.0,1259.0,1200.0,3663.0
[BREAK],1227.0,1148.0,1262.0,3637.0
[/Z/],1213.0,1318.0,1090.0,3621.0
[CONTAIN],1388.0,1137.0,1080.0,3605.0
[OBSERVE],1310.0,1142.0,1149.0,3601.0
[RENDER],1371.0,1132.0,1057.0,3560.0
[RAISE],1120.0,1224.0,1216.0,3560.0
[LEARN],1100.0,1129.0,1303.0,3532.0
[EXPECT],1258.0,1105.0,1151.0,3514.0
[REPLY],1274.0,969.0,1246.0,3489.0
[RISE],1092.0,1121.0,1225.0,3438.0
[ESTABLISH],1176.0,1202.0,1060.0,3438.0
[PROCEED],1347.0,1030.0,1052.0,3429.0
[PREPARE],1247.0,1099.0,1060.0,3406.0
[EXIST],1094.0,1173.0,1118.0,3385.0
[TRY],1088.0,1026.0,1264.0,3378.0
[RUN],1021.0,1009.0,1348.0,3378.0
[FILL],1042.0,1113.0,1201.0,3356.0
