lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum,wpm
[WAY],184.0,133.0,116.0,127.0,108.0,179.0,138.0,154.0,107.0,161.0,106.0,101.0,130.0,89.0,94.0,86.0,102.0,91.0,89.0,2295.0,20.13157894736842
[NAME],65.0,83.0,81.0,67.0,89.0,93.0,92.0,127.0,103.0,61.0,60.0,70.0,107.0,78.0,64.0,89.0,57.0,51.0,69.0,1506.0,13.210526315789474
[CHANCE],18.0,20.0,23.0,23.0,37.0,40.0,44.0,63.0,92.0,135.0,96.0,117.0,117.0,101.0,102.0,94.0,110.0,62.0,73.0,1367.0,11.991228070175438
[RISE],64.0,70.0,89.0,79.0,64.0,103.0,68.0,69.0,81.0,45.0,75.0,66.0,107.0,63.0,78.0,60.0,76.0,53.0,43.0,1353.0,11.868421052631579
[MAN],54.0,75.0,78.0,65.0,75.0,93.0,96.0,119.0,81.0,102.0,73.0,78.0,77.0,65.0,44.0,56.0,34.0,19.0,22.0,1306.0,11.456140350877194
[ACCOUNT],141.0,131.0,124.0,104.0,101.0,69.0,83.0,73.0,69.0,43.0,42.0,32.0,35.0,44.0,23.0,29.0,23.0,21.0,13.0,1200.0,10.526315789473685
[ORDER],58.0,74.0,68.0,59.0,69.0,87.0,61.0,92.0,68.0,75.0,96.0,56.0,91.0,51.0,37.0,51.0,34.0,24.0,26.0,1177.0,10.324561403508772
[IDEA],59.0,89.0,65.0,85.0,67.0,72.0,70.0,64.0,61.0,63.0,44.0,76.0,63.0,52.0,53.0,38.0,32.0,35.0,36.0,1124.0,9.859649122807017
[PLACE],99.0,74.0,90.0,98.0,60.0,80.0,80.0,104.0,80.0,75.0,56.0,53.0,53.0,29.0,19.0,23.0,14.0,13.0,17.0,1117.0,9.798245614035087
[POWER],83.0,73.0,104.0,84.0,61.0,60.0,55.0,53.0,50.0,55.0,50.0,40.0,75.0,52.0,42.0,43.0,29.0,36.0,40.0,1085.0,9.517543859649123
[LIFE],68.0,47.0,66.0,58.0,66.0,70.0,68.0,75.0,56.0,78.0,47.0,66.0,42.0,54.0,36.0,41.0,51.0,44.0,37.0,1070.0,9.385964912280702
[OPPORTUNITY],76.0,43.0,43.0,57.0,43.0,45.0,58.0,66.0,62.0,77.0,66.0,61.0,61.0,49.0,48.0,45.0,45.0,41.0,42.0,1028.0,9.017543859649123
[MONEY],33.0,39.0,32.0,23.0,71.0,46.0,54.0,48.0,52.0,48.0,41.0,65.0,57.0,61.0,59.0,62.0,47.0,59.0,44.0,941.0,8.25438596491228
[HAND],124.0,66.0,62.0,46.0,58.0,58.0,49.0,52.0,60.0,38.0,46.0,34.0,33.0,20.0,45.0,24.0,23.0,25.0,23.0,886.0,7.771929824561403
[BIRTH],73.0,43.0,62.0,51.0,54.0,33.0,46.0,44.0,29.0,21.0,20.0,26.0,36.0,33.0,27.0,67.0,57.0,64.0,90.0,876.0,7.684210526315789
[WORD],49.0,62.0,54.0,43.0,49.0,48.0,44.0,46.0,65.0,67.0,54.0,55.0,55.0,29.0,30.0,31.0,15.0,11.0,12.0,819.0,7.184210526315789
[ATTENTION],28.0,30.0,39.0,38.0,30.0,61.0,44.0,50.0,51.0,69.0,73.0,42.0,53.0,38.0,32.0,29.0,30.0,29.0,18.0,784.0,6.87719298245614
[REASON],67.0,46.0,61.0,38.0,37.0,38.0,52.0,56.0,42.0,40.0,36.0,34.0,48.0,32.0,33.0,37.0,30.0,28.0,22.0,777.0,6.815789473684211
[LOOK],16.0,14.0,13.0,11.0,25.0,34.0,16.0,36.0,35.0,35.0,54.0,25.0,68.0,40.0,61.0,53.0,51.0,66.0,87.0,740.0,6.491228070175438
[CHILD],28.0,22.0,23.0,34.0,27.0,48.0,27.0,41.0,42.0,67.0,45.0,37.0,47.0,41.0,23.0,50.0,32.0,49.0,44.0,727.0,6.37719298245614
[RIGHT],34.0,52.0,52.0,34.0,30.0,33.0,28.0,39.0,49.0,39.0,54.0,51.0,54.0,27.0,29.0,29.0,35.0,28.0,22.0,719.0,6.307017543859649
[PLEASURE],61.0,44.0,31.0,49.0,46.0,51.0,56.0,82.0,45.0,39.0,30.0,36.0,26.0,31.0,34.0,11.0,20.0,10.0,16.0,718.0,6.298245614035087
[IMPRESSION],6.0,20.0,28.0,20.0,13.0,28.0,27.0,27.0,37.0,46.0,43.0,57.0,72.0,47.0,57.0,40.0,51.0,31.0,25.0,675.0,5.921052631578948
[INFORMATION],48.0,40.0,35.0,32.0,38.0,39.0,24.0,57.0,23.0,26.0,37.0,33.0,53.0,42.0,21.0,29.0,37.0,33.0,20.0,667.0,5.850877192982456
[PEOPLE],20.0,19.0,21.0,24.0,21.0,31.0,43.0,57.0,34.0,30.0,21.0,35.0,54.0,29.0,29.0,41.0,46.0,62.0,38.0,655.0,5.745614035087719
[CREDIT],40.0,91.0,40.0,22.0,22.0,27.0,22.0,22.0,32.0,21.0,40.0,45.0,41.0,29.0,27.0,31.0,34.0,27.0,33.0,646.0,5.666666666666667
[THINK],11.0,14.0,21.0,19.0,23.0,29.0,36.0,43.0,40.0,57.0,43.0,27.0,44.0,38.0,32.0,35.0,31.0,23.0,29.0,595.0,5.219298245614035
[EVIDENCE],43.0,60.0,37.0,50.0,36.0,35.0,52.0,37.0,31.0,36.0,30.0,17.0,32.0,29.0,16.0,15.0,17.0,13.0,6.0,592.0,5.192982456140351
[WORK],26.0,22.0,24.0,40.0,18.0,36.0,55.0,40.0,39.0,39.0,39.0,36.0,24.0,35.0,32.0,14.0,24.0,23.0,14.0,580.0,5.087719298245614
[DIRECTION],60.0,66.0,59.0,55.0,29.0,41.0,16.0,45.0,22.0,12.0,21.0,18.0,13.0,28.0,19.0,18.0,16.0,17.0,8.0,563.0,4.93859649122807
[ANSWER],34.0,31.0,27.0,22.0,27.0,28.0,25.0,23.0,31.0,23.0,32.0,25.0,47.0,36.0,34.0,28.0,32.0,24.0,25.0,554.0,4.859649122807017
[ADVICE],28.0,32.0,20.0,37.0,35.0,29.0,27.0,26.0,37.0,26.0,40.0,27.0,36.0,23.0,26.0,23.0,37.0,16.0,22.0,547.0,4.798245614035087
[INSTRUCTION],32.0,34.0,31.0,27.0,34.0,20.0,30.0,30.0,19.0,30.0,54.0,27.0,48.0,22.0,23.0,19.0,20.0,18.0,15.0,533.0,4.675438596491228
[WORLD],45.0,27.0,36.0,36.0,43.0,34.0,30.0,27.0,30.0,32.0,32.0,31.0,22.0,28.0,14.0,26.0,14.0,12.0,13.0,532.0,4.666666666666667
[HOPE],40.0,20.0,46.0,35.0,21.0,25.0,23.0,30.0,18.0,20.0,21.0,17.0,21.0,33.0,19.0,26.0,14.0,21.0,23.0,473.0,4.149122807017544
[OPINION],57.0,68.0,28.0,31.0,45.0,28.0,34.0,31.0,26.0,7.0,15.0,12.0,18.0,9.0,16.0,10.0,7.0,4.0,6.0,452.0,3.9649122807017543
