lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum,wpm
[POWER],33.0,66.0,23.0,19.0,11.0,7.0,14.0,8.0,6.0,4.0,6.0,11.0,9.0,3.0,2.0,3.0,8.0,8.0,3.0,244.0,2.1403508771929824
[LAND],14.0,51.0,8.0,21.0,11.0,10.0,25.0,19.0,3.0,2.0,8.0,5.0,5.0,7.0,6.0,3.0,2.0,3.0,2.0,205.0,1.7982456140350878
[RIGHT],4.0,13.0,6.0,6.0,3.0,3.0,10.0,5.0,5.0,7.0,6.0,10.0,7.0,7.0,8.0,7.0,8.0,9.0,9.0,133.0,1.1666666666666667
[MAN],6.0,8.0,8.0,3.0,6.0,7.0,17.0,8.0,14.0,7.0,5.0,5.0,5.0,8.0,3.0,2.0,1.0,0.0,2.0,115.0,1.0087719298245614
[STATE],13.0,4.0,6.0,3.0,5.0,3.0,9.0,2.0,4.0,1.0,7.0,8.0,13.0,1.0,7.0,3.0,5.0,12.0,5.0,111.0,0.9736842105263158
[REQUEST],11.0,7.0,7.0,6.0,5.0,5.0,4.0,9.0,9.0,7.0,6.0,3.0,3.0,5.0,2.0,1.0,11.0,3.0,1.0,105.0,0.9210526315789473
[GOVERNMENT],5.0,15.0,6.0,6.0,3.0,3.0,11.0,5.0,2.0,5.0,9.0,4.0,6.0,4.0,4.0,4.0,5.0,3.0,3.0,103.0,0.9035087719298246
[PRIVILEGE],13.0,7.0,11.0,4.0,3.0,3.0,8.0,9.0,13.0,5.0,4.0,3.0,3.0,3.0,6.0,3.0,2.0,1.0,1.0,102.0,0.8947368421052632
[CHARTER],7.0,27.0,11.0,7.0,3.0,1.0,6.0,2.0,6.0,0.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,1.0,2.0,86.0,0.7543859649122807
[PATENT],7.0,40.0,3.0,2.0,4.0,0.0,4.0,3.0,2.0,0.0,2.0,3.0,8.0,2.0,0.0,1.0,1.0,3.0,0.0,85.0,0.7456140350877193
[AUTHORITY],4.0,5.0,2.0,3.0,6.0,1.0,1.0,2.0,4.0,4.0,2.0,5.0,6.0,3.0,6.0,2.0,10.0,4.0,3.0,73.0,0.6403508771929824
[PERMISSION],4.0,3.0,1.0,2.0,0.0,5.0,1.0,2.0,7.0,5.0,8.0,7.0,2.0,8.0,4.0,2.0,8.0,1.0,2.0,72.0,0.631578947368421
[COMPANY],4.0,7.0,4.0,9.0,3.0,2.0,8.0,4.0,5.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,3.0,60.0,0.5263157894736842
[MONEY],2.0,8.0,0.0,5.0,3.0,1.0,2.0,3.0,2.0,0.0,3.0,5.0,4.0,5.0,1.0,6.0,4.0,3.0,0.0,57.0,0.5
[CONGRESS],6.0,6.0,6.0,4.0,2.0,3.0,11.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,55.0,0.4824561403508772
[GENERAL],1.0,2.0,1.0,4.0,5.0,0.0,7.0,11.0,0.0,4.0,2.0,4.0,3.0,1.0,2.0,0.0,3.0,1.0,2.0,53.0,0.4649122807017544
[PEOPLE],4.0,6.0,8.0,3.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,4.0,51.0,0.4473684210526316
[CONDITION],2.0,7.0,0.0,5.0,4.0,3.0,5.0,4.0,1.0,5.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,0.0,49.0,0.4298245614035088
[PARDON],16.0,6.0,3.0,3.0,3.0,5.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,48.0,0.42105263157894735
[LICENSE],4.0,3.0,0.0,4.0,1.0,0.0,2.0,5.0,1.0,2.0,1.0,0.0,12.0,5.0,1.0,3.0,1.0,1.0,1.0,47.0,0.41228070175438597
[PUBLIC],3.0,5.0,4.0,4.0,1.0,2.0,4.0,0.0,1.0,1.0,1.0,6.0,2.0,3.0,4.0,1.0,2.0,1.0,0.0,45.0,0.39473684210526316
[TERM],4.0,7.0,1.0,2.0,2.0,1.0,9.0,3.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,45.0,0.39473684210526316
