lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[POWER],33.0,66.0,23.0,19.0,11.0,7.0,14.0,8.0,6.0,4.0,6.0,11.0,9.0,3.0,2.0,3.0,8.0,8.0,3.0,244.0
[LAND],14.0,51.0,8.0,21.0,11.0,10.0,25.0,19.0,3.0,2.0,8.0,5.0,5.0,7.0,6.0,3.0,2.0,3.0,2.0,205.0
[RIGHT],4.0,13.0,6.0,6.0,3.0,3.0,10.0,5.0,5.0,7.0,6.0,10.0,7.0,7.0,8.0,7.0,8.0,9.0,9.0,133.0
[MAN],6.0,8.0,8.0,3.0,6.0,7.0,17.0,8.0,14.0,7.0,5.0,5.0,5.0,8.0,3.0,2.0,1.0,0.0,2.0,115.0
[STATE],13.0,4.0,6.0,3.0,5.0,3.0,9.0,2.0,4.0,1.0,7.0,8.0,13.0,1.0,7.0,3.0,5.0,12.0,5.0,111.0
[REQUEST],11.0,7.0,7.0,6.0,5.0,5.0,4.0,9.0,9.0,7.0,6.0,3.0,3.0,5.0,2.0,1.0,11.0,3.0,1.0,105.0
[GOVERNMENT],5.0,15.0,6.0,6.0,3.0,3.0,11.0,5.0,2.0,5.0,9.0,4.0,6.0,4.0,4.0,4.0,5.0,3.0,3.0,103.0
[PRIVILEGE],13.0,7.0,11.0,4.0,3.0,3.0,8.0,9.0,13.0,5.0,4.0,3.0,3.0,3.0,6.0,3.0,2.0,1.0,1.0,102.0
[CHARTER],7.0,27.0,11.0,7.0,3.0,1.0,6.0,2.0,6.0,0.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,1.0,2.0,86.0
[PATENT],7.0,40.0,3.0,2.0,4.0,0.0,4.0,3.0,2.0,0.0,2.0,3.0,8.0,2.0,0.0,1.0,1.0,3.0,0.0,85.0
[AUTHORITY],4.0,5.0,2.0,3.0,6.0,1.0,1.0,2.0,4.0,4.0,2.0,5.0,6.0,3.0,6.0,2.0,10.0,4.0,3.0,73.0
[PERMISSION],4.0,3.0,1.0,2.0,0.0,5.0,1.0,2.0,7.0,5.0,8.0,7.0,2.0,8.0,4.0,2.0,8.0,1.0,2.0,72.0
[COMPANY],4.0,7.0,4.0,9.0,3.0,2.0,8.0,4.0,5.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,3.0,60.0
[MONEY],2.0,8.0,0.0,5.0,3.0,1.0,2.0,3.0,2.0,0.0,3.0,5.0,4.0,5.0,1.0,6.0,4.0,3.0,0.0,57.0
[CONGRESS],6.0,6.0,6.0,4.0,2.0,3.0,11.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,55.0
[GENERAL],1.0,2.0,1.0,4.0,5.0,0.0,7.0,11.0,0.0,4.0,2.0,4.0,3.0,1.0,2.0,0.0,3.0,1.0,2.0,53.0
[PEOPLE],4.0,6.0,8.0,3.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,4.0,51.0
[CONDITION],2.0,7.0,0.0,5.0,4.0,3.0,5.0,4.0,1.0,5.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,0.0,49.0
[PARDON],16.0,6.0,3.0,3.0,3.0,5.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,48.0
[LICENSE],4.0,3.0,0.0,4.0,1.0,0.0,2.0,5.0,1.0,2.0,1.0,0.0,12.0,5.0,1.0,3.0,1.0,1.0,1.0,47.0
[PUBLIC],3.0,5.0,4.0,4.0,1.0,2.0,4.0,0.0,1.0,1.0,1.0,6.0,2.0,3.0,4.0,1.0,2.0,1.0,0.0,45.0
[TERM],4.0,7.0,1.0,2.0,2.0,1.0,9.0,3.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,45.0
[PRESIDENT],1.0,1.0,0.0,1.0,2.0,4.0,7.0,7.0,1.0,2.0,0.0,2.0,5.0,2.0,0.0,0.0,3.0,2.0,4.0,44.0
[CONSTITUTION],4.0,15.0,8.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,44.0
[WOMAN],0.0,2.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,7.0,4.0,42.0
[MONOPOLY],3.0,9.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,3.0,7.0,1.0,3.0,2.0,1.0,0.0,41.0
[FAVOR],0.0,4.0,5.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,41.0
[CONCESSION],0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,7.0,4.0,6.0,3.0,2.0,1.0,3.0,2.0,1.0,39.0
[CREDIT],1.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,6.0,1.0,4.0,5.0,1.0,39.0
[INTERVIEW],3.0,2.0,2.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,2.0,3.0,5.0,1.0,39.0
[--],1.0,4.0,0.0,2.0,2.0,1.0,4.0,2.0,0.0,4.0,1.0,2.0,1.0,3.0,0.0,0.0,3.0,7.0,1.0,38.0
[COUNTRY],1.0,4.0,1.0,0.0,3.0,0.0,1.0,4.0,0.0,2.0,1.0,2.0,13.0,1.0,1.0,2.0,1.0,0.0,1.0,38.0
