lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[WAY],57.0,41.0,60.0,67.0,68.0,61.0,64.0,102.0,113.0,99.0,97.0,60.0,60.0,65.0,76.0,104.0,84.0,95.0,129.0,1502.0
[MIND],47.0,55.0,47.0,60.0,84.0,75.0,53.0,68.0,80.0,93.0,61.0,79.0,87.0,39.0,57.0,46.0,30.0,18.0,18.0,1097.0
[MAN],54.0,46.0,46.0,33.0,59.0,50.0,39.0,69.0,69.0,50.0,38.0,49.0,53.0,43.0,45.0,36.0,40.0,23.0,27.0,869.0
[MISTAKE],9.0,9.0,10.0,16.0,22.0,38.0,31.0,54.0,57.0,57.0,31.0,59.0,73.0,66.0,60.0,47.0,46.0,53.0,55.0,793.0
[DIFFERENCE],17.0,33.0,15.0,34.0,42.0,31.0,32.0,40.0,55.0,45.0,54.0,60.0,54.0,49.0,58.0,30.0,59.0,32.0,23.0,763.0
[EFFORT],58.0,32.0,33.0,27.0,34.0,59.0,41.0,39.0,42.0,58.0,24.0,31.0,33.0,51.0,21.0,28.0,28.0,22.0,20.0,681.0
[LOVE],26.0,14.0,26.0,24.0,20.0,27.0,42.0,19.0,21.0,22.0,20.0,20.0,22.0,38.0,41.0,81.0,80.0,78.0,38.0,659.0
[MONEY],12.0,19.0,21.0,14.0,25.0,35.0,25.0,48.0,55.0,13.0,30.0,43.0,60.0,50.0,56.0,30.0,33.0,47.0,31.0,647.0
[THING],18.0,21.0,9.0,17.0,32.0,32.0,26.0,31.0,63.0,48.0,41.0,33.0,45.0,29.0,50.0,24.0,49.0,30.0,32.0,630.0
[NOISE],29.0,13.0,19.0,32.0,20.0,39.0,27.0,24.0,26.0,31.0,31.0,29.0,41.0,20.0,43.0,42.0,36.0,51.0,50.0,603.0
[SENSE],2.0,2.0,1.0,1.0,0.0,1.0,2.0,4.0,2.0,0.0,3.0,8.0,44.0,42.0,76.0,66.0,92.0,87.0,86.0,519.0
