lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[USE],66.0,61.0,63.0,70.0,80.0,29.0,50.0,52.0,71.0,86.0,100.0,77.0,109.0,92.0,62.0,78.0,70.0,57.0,18.0,1291.0
[MAN],54.0,42.0,33.0,43.0,40.0,73.0,86.0,44.0,49.0,62.0,53.0,47.0,69.0,42.0,16.0,31.0,21.0,20.0,16.0,841.0
[WAY],25.0,38.0,34.0,24.0,54.0,87.0,56.0,49.0,77.0,65.0,33.0,40.0,58.0,33.0,21.0,33.0,32.0,34.0,45.0,838.0
[EFFORT],31.0,24.0,24.0,20.0,23.0,37.0,27.0,33.0,46.0,36.0,46.0,18.0,38.0,31.0,27.0,42.0,45.0,19.0,29.0,596.0
[DECISION],0.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,6.0,14.0,7.0,46.0,55.0,73.0,62.0,101.0,82.0,79.0,536.0
[DIFFERENCE],17.0,20.0,21.0,20.0,9.0,18.0,14.0,15.0,18.0,25.0,25.0,23.0,58.0,41.0,40.0,24.0,37.0,57.0,32.0,514.0
[APPEARANCE],16.0,17.0,74.0,29.0,50.0,49.0,39.0,36.0,30.0,10.0,17.0,15.0,39.0,28.0,15.0,6.0,10.0,8.0,8.0,496.0
[PART],20.0,35.0,38.0,24.0,21.0,22.0,25.0,20.0,26.0,25.0,29.0,24.0,43.0,29.0,27.0,18.0,26.0,10.0,13.0,475.0
[LAW],70.0,74.0,34.0,60.0,17.0,8.0,21.0,29.0,15.0,12.0,23.0,21.0,20.0,17.0,10.0,10.0,8.0,13.0,5.0,467.0
[PROGRESS],19.0,21.0,24.0,36.0,27.0,16.0,17.0,19.0,18.0,33.0,27.0,20.0,36.0,35.0,17.0,15.0,18.0,26.0,19.0,443.0
[MONEY],4.0,29.0,10.0,15.0,20.0,26.0,22.0,15.0,10.0,28.0,27.0,24.0,33.0,18.0,20.0,34.0,33.0,14.0,41.0,423.0
[PEOPLE],8.0,15.0,24.0,14.0,19.0,8.0,34.0,21.0,18.0,33.0,19.0,19.0,36.0,24.0,24.0,24.0,23.0,25.0,33.0,421.0
[WORK],10.0,8.0,9.0,23.0,12.0,46.0,34.0,19.0,19.0,20.0,24.0,18.0,32.0,24.0,20.0,22.0,26.0,15.0,23.0,404.0
[SENSE],1.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,7.0,20.0,45.0,36.0,63.0,115.0,95.0,400.0
[THING],26.0,23.0,17.0,23.0,13.0,15.0,18.0,14.0,15.0,27.0,18.0,21.0,26.0,28.0,21.0,25.0,20.0,13.0,21.0,384.0
[MIND],16.0,22.0,17.0,27.0,20.0,53.0,35.0,23.0,34.0,31.0,23.0,12.0,9.0,20.0,9.0,10.0,7.0,4.0,8.0,380.0
[CHANGE],8.0,12.0,12.0,6.0,7.0,8.0,12.0,12.0,5.0,13.0,22.0,19.0,31.0,21.0,26.0,15.0,45.0,36.0,25.0,335.0
[ATTEMPT],26.0,8.0,28.0,11.0,24.0,26.0,14.0,17.0,8.0,17.0,30.0,15.0,27.0,13.0,18.0,12.0,17.0,12.0,9.0,332.0
[LIFE],9.0,5.0,3.0,1.0,9.0,26.0,28.0,26.0,17.0,23.0,17.0,18.0,24.0,18.0,22.0,28.0,20.0,11.0,25.0,330.0
[MISTAKE],6.0,10.0,4.0,10.0,7.0,9.0,10.0,19.0,21.0,29.0,15.0,22.0,32.0,27.0,19.0,23.0,27.0,17.0,17.0,324.0
[POINT],12.0,13.0,7.0,14.0,9.0,13.0,11.0,9.0,9.0,14.0,12.0,11.0,30.0,15.0,30.0,24.0,34.0,29.0,28.0,324.0
[WAR],20.0,12.0,9.0,15.0,26.0,9.0,13.0,12.0,19.0,20.0,24.0,15.0,19.0,33.0,9.0,18.0,9.0,6.0,6.0,294.0
[HOME],15.0,2.0,24.0,6.0,13.0,16.0,19.0,26.0,11.0,24.0,22.0,14.0,27.0,13.0,9.0,9.0,15.0,13.0,10.0,288.0
[PUBLIC],13.0,24.0,12.0,24.0,20.0,5.0,14.0,12.0,11.0,9.0,22.0,11.0,25.0,14.0,9.0,10.0,18.0,13.0,14.0,280.0
[IMPRESSION],21.0,16.0,18.0,14.0,12.0,20.0,20.0,17.0,10.0,23.0,20.0,14.0,27.0,9.0,7.0,10.0,8.0,3.0,10.0,279.0
[CONTRIBUTION],0.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,8.0,7.0,19.0,23.0,49.0,22.0,32.0,25.0,31.0,24.0,18.0,268.0
[CHOICE],6.0,9.0,3.0,5.0,6.0,4.0,5.0,7.0,7.0,6.0,10.0,7.0,28.0,16.0,36.0,22.0,27.0,15.0,42.0,261.0
[DISTINCTION],15.0,11.0,14.0,8.0,2.0,8.0,2.0,4.0,7.0,8.0,18.0,11.0,19.0,31.0,15.0,14.0,24.0,21.0,10.0,242.0
[STUDY],3.0,1.0,2.0,9.0,4.0,7.0,18.0,13.0,15.0,17.0,19.0,28.0,31.0,17.0,19.0,9.0,14.0,7.0,5.0,238.0
[STATEMENT],4.0,10.0,8.0,2.0,8.0,7.0,7.0,7.0,15.0,8.0,19.0,5.0,43.0,21.0,16.0,14.0,15.0,13.0,15.0,237.0
[WORLD],7.0,6.0,3.0,9.0,15.0,10.0,12.0,9.0,7.0,17.0,7.0,28.0,16.0,17.0,7.0,12.0,17.0,16.0,19.0,234.0
[CHILD],8.0,6.0,3.0,4.0,12.0,26.0,5.0,6.0,6.0,30.0,24.0,7.0,17.0,15.0,9.0,25.0,8.0,19.0,2.0,232.0
[OTHER],20.0,16.0,7.0,16.0,15.0,14.0,11.0,5.0,6.0,9.0,14.0,10.0,16.0,8.0,11.0,14.0,18.0,9.0,10.0,229.0
[GOVERNMENT],10.0,25.0,13.0,5.0,27.0,8.0,7.0,9.0,9.0,5.0,17.0,11.0,21.0,10.0,12.0,8.0,12.0,9.0,8.0,226.0
[--],6.0,12.0,16.0,17.0,29.0,36.0,35.0,12.0,15.0,18.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,7.0,221.0
[PLACE],7.0,7.0,16.0,6.0,10.0,11.0,17.0,13.0,9.0,9.0,7.0,6.0,18.0,56.0,7.0,11.0,4.0,0.0,7.0,221.0
