lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum,wpm
[PLACE],783.0,704.0,784.0,607.0,659.0,700.0,682.0,647.0,649.0,565.0,667.0,565.0,710.0,541.0,585.0,524.0,416.0,395.0,361.0,11544.0,101.26315789473684
[CARE],272.0,307.0,268.0,341.0,346.0,321.0,221.0,235.0,294.0,255.0,217.0,367.0,349.0,323.0,267.0,244.0,240.0,242.0,320.0,5429.0,47.62280701754386
[HAND],232.0,186.0,141.0,197.0,148.0,209.0,223.0,188.0,167.0,190.0,193.0,179.0,164.0,149.0,130.0,115.0,150.0,165.0,121.0,3247.0,28.482456140350877
[PART],141.0,166.0,123.0,116.0,155.0,137.0,168.0,255.0,168.0,180.0,154.0,146.0,187.0,136.0,102.0,90.0,88.0,65.0,66.0,2643.0,23.18421052631579
[STEP],47.0,71.0,65.0,54.0,59.0,74.0,88.0,115.0,96.0,105.0,112.0,115.0,148.0,140.0,125.0,112.0,135.0,152.0,185.0,1998.0,17.526315789473685
[ADVANTAGE],100.0,103.0,98.0,77.0,76.0,95.0,77.0,103.0,105.0,133.0,94.0,101.0,118.0,105.0,97.0,85.0,97.0,131.0,112.0,1907.0,16.728070175438596
[ARM],94.0,67.0,61.0,77.0,87.0,87.0,62.0,84.0,55.0,65.0,81.0,98.0,103.0,84.0,76.0,66.0,69.0,76.0,40.0,1432.0,12.56140350877193
[POSSESSION],136.0,108.0,120.0,116.0,114.0,139.0,96.0,149.0,94.0,69.0,41.0,31.0,23.0,25.0,18.0,9.0,9.0,10.0,5.0,1312.0,11.508771929824562
[ACCOUNT],41.0,34.0,30.0,50.0,56.0,42.0,60.0,58.0,80.0,72.0,74.0,47.0,87.0,77.0,92.0,82.0,86.0,111.0,71.0,1250.0,10.964912280701755
[LOOK],10.0,13.0,24.0,22.0,36.0,29.0,24.0,33.0,39.0,50.0,55.0,78.0,126.0,103.0,121.0,95.0,94.0,133.0,130.0,1215.0,10.657894736842104
[SEAT],60.0,143.0,91.0,98.0,89.0,110.0,56.0,97.0,58.0,50.0,42.0,41.0,19.0,41.0,32.0,38.0,40.0,42.0,61.0,1208.0,10.596491228070175
[FORM],22.0,20.0,28.0,36.0,40.0,57.0,58.0,76.0,68.0,77.0,70.0,92.0,109.0,72.0,85.0,61.0,64.0,68.0,39.0,1142.0,10.017543859649123
[MAN],41.0,45.0,66.0,44.0,62.0,54.0,51.0,68.0,86.0,74.0,80.0,82.0,104.0,72.0,49.0,49.0,42.0,33.0,36.0,1138.0,9.982456140350877
[INTEREST],48.0,80.0,64.0,62.0,61.0,60.0,83.0,82.0,80.0,72.0,58.0,51.0,61.0,38.0,42.0,31.0,31.0,36.0,26.0,1066.0,9.350877192982455
[HOLD],48.0,70.0,59.0,72.0,63.0,64.0,54.0,50.0,58.0,58.0,77.0,64.0,76.0,52.0,31.0,33.0,31.0,28.0,51.0,1039.0,9.114035087719298
[LEAVE],156.0,145.0,129.0,128.0,67.0,58.0,50.0,55.0,23.0,29.0,20.0,19.0,20.0,34.0,14.0,25.0,33.0,8.0,20.0,1033.0,9.06140350877193
[VIEW],62.0,75.0,67.0,68.0,63.0,54.0,73.0,45.0,43.0,36.0,31.0,50.0,49.0,44.0,32.0,33.0,41.0,29.0,28.0,923.0,8.096491228070175
[CHARGE],53.0,49.0,47.0,55.0,77.0,51.0,46.0,80.0,44.0,68.0,38.0,55.0,55.0,41.0,39.0,28.0,34.0,15.0,28.0,903.0,7.921052631578948
[CHANCE],11.0,9.0,16.0,13.0,20.0,14.0,30.0,37.0,51.0,67.0,79.0,94.0,124.0,55.0,68.0,71.0,47.0,42.0,43.0,891.0,7.815789473684211
[LIFE],71.0,47.0,66.0,41.0,53.0,46.0,56.0,59.0,47.0,55.0,39.0,43.0,39.0,27.0,24.0,31.0,41.0,32.0,49.0,866.0,7.5964912280701755
[COURSE],54.0,42.0,44.0,31.0,24.0,36.0,38.0,52.0,43.0,37.0,43.0,47.0,47.0,58.0,57.0,51.0,40.0,38.0,47.0,829.0,7.271929824561403
[POSITION],26.0,27.0,48.0,46.0,50.0,51.0,57.0,49.0,39.0,41.0,66.0,40.0,50.0,48.0,43.0,37.0,35.0,21.0,38.0,812.0,7.12280701754386
[BREATH],17.0,18.0,10.0,14.0,20.0,29.0,11.0,17.0,22.0,36.0,30.0,40.0,61.0,40.0,59.0,52.0,66.0,97.0,158.0,797.0,6.991228070175438
[TURN],21.0,32.0,32.0,26.0,42.0,42.0,29.0,39.0,36.0,31.0,48.0,33.0,56.0,44.0,50.0,56.0,54.0,59.0,64.0,794.0,6.964912280701754
[THING],33.0,27.0,34.0,39.0,35.0,49.0,29.0,62.0,44.0,70.0,53.0,53.0,45.0,38.0,41.0,43.0,31.0,27.0,32.0,785.0,6.885964912280702
[MONEY],24.0,15.0,30.0,38.0,40.0,34.0,36.0,32.0,48.0,38.0,37.0,67.0,62.0,47.0,58.0,37.0,29.0,45.0,33.0,750.0,6.578947368421052
[PAIN],68.0,55.0,50.0,61.0,49.0,62.0,45.0,47.0,34.0,50.0,25.0,29.0,37.0,18.0,25.0,36.0,19.0,21.0,14.0,745.0,6.535087719298246
[CHILD],49.0,20.0,33.0,41.0,36.0,51.0,32.0,60.0,43.0,45.0,35.0,26.0,35.0,45.0,31.0,43.0,42.0,39.0,32.0,738.0,6.473684210526316
[NOTICE],79.0,49.0,54.0,42.0,65.0,47.0,35.0,47.0,31.0,33.0,36.0,41.0,35.0,26.0,18.0,18.0,14.0,16.0,19.0,705.0,6.184210526315789
[WAY],43.0,37.0,62.0,36.0,56.0,29.0,48.0,53.0,54.0,23.0,34.0,23.0,29.0,29.0,30.0,27.0,31.0,32.0,26.0,702.0,6.157894736842105
[NOTE],21.0,46.0,27.0,31.0,36.0,22.0,53.0,49.0,37.0,41.0,14.0,30.0,27.0,26.0,41.0,47.0,37.0,47.0,47.0,679.0,5.956140350877193
[ACTION],3.0,3.0,6.0,5.0,7.0,10.0,19.0,25.0,31.0,30.0,36.0,59.0,50.0,58.0,55.0,73.0,72.0,55.0,68.0,665.0,5.833333333333333
