count,lemma
55,mind
13,name
13,resemblance
10,fruit
9,""
9,testimony
9,wolf
8,--
6,deer
6,man
6,weight
5,marks
5,cherry
5,question
5,water
4,witness
4,arm
4,child
4,life
3,relation
3,horse
3,trace
3,lake
3,case
3,burden
3,tahoe
3,subject
3,fire
3,creek
3,hyaena
3,bear
3,head
3,part
3,body
3,boar
3,back
3,title
3,character
3,indian
3,bosom
2,truth
2,gem
2,fox
2,opinion
2,proportion
2,artist
2,wagon
2,power
2,disease
2,existence
2,strength
2,river
2,government
2,story
2,solution
2,intellectual
2,sin
2,earth
2,point
2,nurse
2,leopard
2,god
2,son
2,species
2,forbear
2,terror
2,lion
2,influence
2,grass
2,stamp
2,flag
2,kind
2,word
2,beast
2,love
2,transportation
2,examination
2,present
2,leaf
2,banner
2,theory
2,tiger
2,mountain
2,evil
2,meat
2,shoulder
2,term
2,house
2,flower
2,emigrant
1,yard
1,home
1,call
1,sigurd
1,experience
1,pain
1,hole
1,disposition
1,wood
1,barking
1,piece
1,discussion
1,malice
1,grudge
1,foment
1,amount
1,dependent
1,springs
1,heaven
1,savage
1,region
1,fore
1,platform
1,stratagem
1,discovery
1,raspberry
1,nursing
1,transaction
1,tribe
1,trial
1,vicissitude
1,comfort
1,fat
1,health
1,treasure
1,bench
1,tray
1,family
1,load
1,seed
1,force
1,standard
1,vine
1,rate
1,apple
1,eruption
1,canine
1,issue
1,group
1,gratitude
1,venison
1,glaciation
1,disruption
1,needle
1,mineral
1,consolation
1,reader
1,mass
1,consideration
1,fragment
1,uncertainty
1,yoke
1,fact
1,interest
1,course
1,debt
1,genius
1,ball
1,sail
1,aperture
1,live
1,arrow
1,living
1,inhabitant
1,elucidation
1,trap
1,horn
1,fall
1,marl
1,flesh
1,writer
1,majority
1,movement
1,grave
1,decomposition
1,taxation
1,beginning
1,good
1,side
1,sub-ject
1,land
1,image
1,silver
1,respect
1,flood
1,interference
1,look
1,bush
1,breath
1,red
1,hall
1,log
1,peace
1,condition
1,choice
1,bunch
1,whirlwind
1,hope
1,focus
1,age
1,letter
1,assertion
1,exterior
1,wife
1,confederate
1,forest
1,honor
1,slave
1,conclusion
1,soul
1,problem
1,ground
1,ear
1,moisture
1,scrawl
1,conception
1,achievement
1,beaver
1,row
1,misfortune
1,welfare
1,list
1,raccoon
1,rose
1,buddhist
1,moment
1,indication
1,jaw
1,prey
1,duty
1,affair
1,growl
1,possibility
1,illness
1,household
1,ursus
1,rope
1,evidence
1,odium
1,likeness
1,isolation
1,think
1,monster
1,wish
1,circus
1,estimate
1,tooth
1,composure
1,book
1,coolness
1,company
1,cry
1,frontiersman
1,count
1,charm
1,grizzly
1,sting
1,shelter
1,defiance
1,worth
1,foot
1,infant
1,tongue
1,bride
1,eye
1,stream
1,plumage
1,placard
1,cat
1,hollow
1,quality
1,panther
1,obstacle
1,matter
1,robe
1,enemy
1,creature
1,mortal
1,clay
1,one
1,law
1,perform
1,den
1,uttermost
1,heat
1,possession
1,vallejo
1,oar
1,scent
1,coffin
1,sea
1,manner
1,mate
1,squatter
1,object
1,timber
1,mast
1,light
1,loss
1,pod
1,night-wind
1,cross
1,skin
1,basket
1,distance
1,study
1,native
1,process
1,universality
1,visit
1,wolfskin
1,gorge
1,daughter
1,hand
1,trouble
1,compound
1,prolongation
1,example
1,globe
1,stone
1,rule
1,test
1,crop
1,wash
1,girl
1,history
1,injury
1,direction
1,depletion
1,suffering
1,tree
1,happiness
1,right
1,table
1,development
1,hunter
1,reproach
1,spirituality
1,cub
1,sight
1,analogy
1,simplicity
1,glory
1,bale
1,bucket
1,destruction
1,stag
1,interpretation
1,genesis
1,effect
1,arkadians
1,will
1,kinship
1,picket
1,sarpedon
1,officer
1,buffaloes
1,merit
1,distention
1,bull
1,lapse
1,bread
1,alligator
1,peculiarity
1,litter
1,place
1,temple
1,comparison
1,jungle
1,science
1,stem
1,lantern
1,hare
1,dose
1,news
1,bowel
1,poet
1,sovereign
1,imputation
1,fancy
1,sally
1,motto
1,blush
1,inscription
1,fortune
1,nitrite
1,essence
1,hog
1,investigation
1,relic
1,woodchuck
1,monkey
1,impunity
1,abode
1,crash
1,collector
1,liberality
