count,lemma
17,market
12,mind
11,name
8,interest
7,child
6,fruit
6,burden
6,witness
6,rate
4,resemblance
4,truth
4,employer
4,cub
4,man
4,bull
4,title
3,arm
3,brunt
3,think
3,""
3,flower
2,picture
2,king
2,reverse
2,rock
2,learn
2,family
2,letter
2,--
2,commission
2,way
2,bronze
2,male
2,situation
2,life
2,gift
2,word
2,problem
2,argument
2,cold
2,matter
2,radio
2,position
2,legend
2,thing
2,relation
2,stock
2,front
2,female
2,farm
2,side
2,motto
1,upheaval
1,plane
1,airline
1,difference
1,spike
1,fortitude
1,fluctuation
1,responsibility
1,cooler
1,seller
1,stockholder
1,graft
1,opinion
1,world
1,eye
1,inspection
1,corp
1,spring
1,park
1,back
1,zoo
1,wind
1,committee
1,economy
1,production
1,trailside
1,woodshed
1,model
1,ease
1,device
1,root
1,sign
1,administration
1,scientist
1,task
1,tide
1,pessimist
1,missioner
1,chronicle
1,fume
1,judgment
1,virgin
1,end
1,sound
1,tax
1,dial
1,honor
1,defense
1,silence
1,competitor
1,operate
1,figure
1,watch
1,cost
1,expense
1,light
1,beaver
1,harbor
1,coverage
1,accident
1,assure
1,trace
1,skin
1,stamp
1,cross
1,pool
1,pilgrim
1,refuge
1,firm
1,individual
1,stimpson
1,blame
1,masthead
1,background
1,dent
1,pain
1,serpentarium
1,food
1,museum
1,lever
1,congress
1,piece
1,future
1,size
1,allegiance
1,suitcase
1,grudge
1,trade-mark
1,paw
1,breeze
1,diploma
1,newspaper
1,relief
1,fee
1,gunboat
1,health
1,advantage
1,gull
1,money
1,load
1,tale
1,weigh
1,division
1,eugenics
1,joy
1,equipment
1,boar
1,bundle
1,issue
1,venison
1,explanation
1,high-voltage
1,majesty
1,superiority
1,fragment
1,yoke
1,canvas
1,statue
1,despair
1,growing
1,crest
1,animal
1,trap
1,number
1,people
1,fall
1,grave
1,touch
1,operator
1,friend
1,share
1,question
1,government
1,fly
1,face
1,report
1,owner
1,trader
1,activity
1,vandal
1,exhibition
1,period
1,scar
1,wife
1,corporation
1,woodchopping
1,observation
1,mother
1,generalization
1,raider
1,printer
1,rose
1,sleep
1,claw
1,sell
1,need
1,dear
1,outcome
1,ox
1,operation
1,elk
1,thesis
1,probability
1,wire
1,citizen
1,part
1,affair
1,nature
1,pit
1,height
1,coal
1,civilization
1,brand
1,door
1,stone
1,seal
1,wave
1,newsreel
1,likeness
1,similarity
1,crop
1,president
1,venture
1,estimate
1,over-simplification
1,fish
1,presi
1,fund
1,sake
1,mra
1,table
1,label
1,pendulum
1,hunter
1,italian
1,bear
