count,lemma
9,""
5,child
5,tray
4,think
4,man
3,torch
3,arm
3,girl
2,shooter
2,people
2,address
2,silver
2,witness
2,green
2,weight
2,gift
2,way
2,mind
2,wind
2,leg
2,burden
2,routine
2,hug
2,resemblance
2,son
2,power
1,bruise
1,killer
1,suffering
1,ralegh
1,slip
1,name
1,sword
1,label
1,turkey
1,width
1,bear
1,trial
1,anger
1,admi
1,moneylender
1,plate
1,furrow
1,maddy
1,sight
1,quarter
1,desert
1,drummond
1,load
1,brass
1,tale
1,dog
1,woman
1,responsibility
1,star
1,prospect
1,comb
1,outline
1,come
1,button
1,weis
1,decanter
1,disgrace
1,canister
1,placard
1,wine
1,beggar
1,mark
1,speck
1,uncertainty
1,guilt
1,clutter
1,fact
1,injun
1,sarcophagus
1,couple
1,babe
1,market
1,stake
1,kind
1,matter
1,bull
1,banner
1,musket
1,nest
1,animal
1,one
1,trap
1,glass
1,crimson
1,lila
1,smile
1,cottage
1,grin
1,mine
1,motion
1,litter
1,meat
1,honey
1,post
1,prostitute
1,cargo
1,suspicion
1,platter
1,godell
1,damp
1,friend
1,war
1,appearance
1,crown
1,red
1,female
1,schooner
1,gypsy
1,degree
1,bowl
1,gallstone
1,cucumber
1,news
1,dream
1,instrument
1,defeat
1,baldachins
1,ice
1,ground
1,wreath
1,cabin
1,postmark
1,rug
1,light
1,ballet
1,fault
1,beer
1,skin
1,distance
1,hero
1,flow
1,slipper
1,fortune
1,wall
1,uncle
1,liza
1,pikes
1,support
1,rain
1,temperature
1,cabernet
1,reading
1,house
1,paw
1,regret
1,attitude
1,certainty
1,sedan
1,claw
1,jade
1,tomato
1,subject
1,knock
1,elephant
1,peace-minded
1,mummy-case
1,chair
1,lip
1,enamel
1,hand
1,overcoat
1,title
1,solitude
1,pleasure
1,pot
1,drink
1,dish
1,rattle
1,circus
1,tooth
1,ware
1,sauvignon
