lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[MAN],27.0,27.0,41.0,30.0,37.0,30.0,38.0,37.0,30.0,44.0,31.0,32.0,41.0,26.0,21.0,25.0,20.0,11.0,9.0,557.0
[LIGHT],32.0,32.0,38.0,45.0,41.0,50.0,27.0,66.0,45.0,37.0,22.0,24.0,19.0,11.0,8.0,18.0,9.0,8.0,10.0,542.0
[HOME],8.0,19.0,20.0,25.0,14.0,21.0,25.0,28.0,30.0,32.0,25.0,40.0,23.0,32.0,15.0,19.0,25.0,42.0,35.0,478.0
[CHILD],14.0,16.0,16.0,14.0,14.0,30.0,13.0,28.0,28.0,37.0,23.0,17.0,31.0,24.0,15.0,25.0,10.0,13.0,22.0,390.0
[LIFE],14.0,9.0,17.0,16.0,17.0,8.0,21.0,26.0,14.0,18.0,14.0,21.0,19.0,24.0,14.0,26.0,29.0,31.0,24.0,362.0
[PEOPLE],19.0,6.0,14.0,18.0,15.0,21.0,15.0,28.0,19.0,17.0,11.0,15.0,21.0,17.0,17.0,20.0,23.0,21.0,25.0,342.0
[WATER],13.0,11.0,10.0,15.0,16.0,28.0,18.0,33.0,15.0,16.0,18.0,13.0,32.0,10.0,6.0,7.0,6.0,21.0,25.0,313.0
[END],7.0,21.0,16.0,11.0,17.0,20.0,25.0,18.0,24.0,12.0,18.0,18.0,21.0,25.0,11.0,18.0,17.0,5.0,7.0,311.0
[WORLD],6.0,11.0,10.0,14.0,20.0,14.0,10.0,20.0,9.0,25.0,20.0,19.0,26.0,14.0,18.0,15.0,21.0,14.0,23.0,309.0
[CHANGE],2.0,4.0,9.0,4.0,4.0,15.0,6.0,16.0,12.0,21.0,18.0,21.0,35.0,22.0,27.0,24.0,21.0,26.0,18.0,305.0
[CONTACT],7.0,18.0,34.0,23.0,15.0,22.0,15.0,34.0,29.0,18.0,9.0,17.0,9.0,13.0,11.0,8.0,6.0,3.0,4.0,295.0
[FACE],1.0,1.0,2.0,13.0,22.0,36.0,41.0,31.0,36.0,25.0,16.0,10.0,9.0,9.0,4.0,3.0,7.0,8.0,15.0,289.0
[NEWS],14.0,14.0,11.0,10.0,13.0,17.0,12.0,25.0,25.0,24.0,16.0,22.0,20.0,15.0,10.0,9.0,12.0,6.0,12.0,287.0
[HOUSE],16.0,18.0,13.0,15.0,19.0,17.0,10.0,25.0,11.0,23.0,10.0,19.0,13.0,16.0,12.0,15.0,9.0,12.0,11.0,284.0
[MIND],35.0,26.0,28.0,14.0,23.0,19.0,16.0,17.0,21.0,16.0,16.0,13.0,6.0,3.0,4.0,6.0,2.0,7.0,4.0,276.0
[ACTION],35.0,26.0,24.0,22.0,12.0,17.0,17.0,11.0,10.0,14.0,13.0,6.0,10.0,8.0,8.0,14.0,5.0,20.0,4.0,276.0
[THING],11.0,13.0,19.0,12.0,18.0,16.0,16.0,16.0,15.0,15.0,20.0,15.0,8.0,16.0,11.0,10.0,9.0,17.0,6.0,263.0
[COUNTRY],17.0,14.0,21.0,16.0,16.0,16.0,16.0,16.0,12.0,11.0,13.0,13.0,17.0,16.0,11.0,8.0,17.0,2.0,7.0,259.0
[STATE],16.0,21.0,20.0,24.0,17.0,11.0,14.0,8.0,12.0,9.0,14.0,9.0,22.0,10.0,9.0,3.0,3.0,8.0,2.0,232.0
[COURT],14.0,34.0,13.0,11.0,17.0,8.0,13.0,5.0,12.0,14.0,12.0,14.0,13.0,8.0,7.0,13.0,7.0,6.0,4.0,225.0
