lemma,count
"",60
light,45
trial,39
man,30
home,25
state,24
contact,23
action,22
people,18
country,16
work,16
life,16
notice,15
house,15
water,15
world,14
child,14
existence,14
place,14
mind,14
perfection,14
result,13
face,13
power,13
matter,12
public,12
thing,12
father,12
knowledge,11
end,11
letter,11
question,11
connection,11
use,11
side,11
fact,11
court,11
fruit,10
ground,10
news,10
field,9
door,9
close,9
relief,9
body,9
conclusion,9
head,9
condition,9
eye,9
level,8
portion,8
form,8
mass,8
law,8
number,8
friend,8
present,8
/z/,8
market,8
bear,8
point,8
individual,8
parliament,8
surface,8
consumer,7
right,7
money,7
rear,7
horse,7
other,7
food,7
intelligence,7
activity,7
influence,7
gift,7
foot,7
party,7
account,7
force,7
case,7
wind,7
supply,6
sense,6
provision,6
train,6
wealth,6
sea,6
paper,6
order,6
shore,6
bill,6
event,6
bird,6
hand,6
government,6
son,6
be,6
way,6
art,6
general,6
wood,6
justice,6
truth,6
play,6
school,6
book,6
suit,5
character,5
principle,5
view,5
distance,5
vessel,5
labor,5
wanderer,5
family,5
return,5
nation,5
treasure,5
destruction,5
presence,5
king,5
race,5
price,5
piece,5
heart,5
arm,5
tiding,5
relation,5
issue,5
weight,5
jury,5
scene,5
city,5
judge,5
material,5
bank,5
trade,5
girl,5
wife,4
boat,4
baby,4
coast,4
trouble,4
story,4
color,4
aid,4
spirit,4
daughter,4
measure,4
union,4
course,4
room,4
thought,4
ruin,4
sale,4
change,4
chair,4
production,4
glass,4
word,4
whole,4
gold,4
death,4
contrast,4
reach,4
circumstance,4
intercourse,4
necessity,4
competition,4
punishment,4
requisition,4
comfort,4
gentleman,4
luxury,4
rest,4
amount,4
scalp,4
flower,4
communion,4
position,4
war,4
evil,4
strength,4
person,4
think,4
carriage,4
period,4
camp,4
branch,4
subject,4
tea,4
revolution,4
quantity,4
mean,4
support,4
cheek,4
practice,4
fortune,4
cultivation,4
prisoner,4
communication,4
exercise,4
improvement,4
recollection,4
stage,4
plain,3
member,3
resource,3
pillow,3
pound,3
disgrace,3
reason,3
breast,3
witness,3
umbrella,3
disrepute,3
evidence,3
comparison,3
stable,3
desire,3
riches,3
pack,3
county,3
specimen,3
spot,3
earth,3
sum,3
source,3
dog,3
attention,3
mother,3
part,3
ice,3
candy,3
answer,3
memory,3
husband,3
conflict,3
owner,3
pair,3
dark,3
deer,3
atom,3
land,3
broth,3
promotion,3
stone,3
fanny,3
bag,3
rock,3
sight,3
verdict,3
bundle,3
collision,3
stick,3
god,3
joy,3
shadow,3
--,3
peace,3
shoulder,3
fame,3
senate,3
parent,3
intellectual,3
captain,3
bed,3
deck,3
ease,3
wheat,3
chase,3
shame,3
standard,3
object,3
value,3
fire,3
charge,3
range,3
brink,3
confidence,3
safe,3
test,3
contempt,3
association,3
officer,3
leader,3
bible,3
degree,3
impression,3
//,3
idea,3
tree,3
log,3
remedy,3
guinea,3
box,3
age,3
meat,3
fragment,3
producer,3
introduction,3
picture,3
share,3
company,3
treason,3
parlor,3
nature,3
operation,3
discussion,3
slavery,3
reward,3
class,3
blood,3
harvest,2
combination,2
office,2
corpus,2
secretary,2
relative,2
mountain,2
determination,2
inspection,2
coalition,2
flour,2
produce,2
bread,2
comprehension,2
prince,2
judgment,2
science,2
volume,2
ocean,2
sickness,2
exchange,2
knife,2
master,2
compass,2
health,2
habeas,2
cake,2
battery,2
libel,2
language,2
image,2
painting,2
soul,2
watch,2
province,2
lip,2
care,2
fish,2
resolution,2
spectator,2
liberty,2
plate,2
advice,2
corpse,2
authority,2
project,2
advocate,2
battle,2
legislature,2
beauty,2
statement,2
basket,2
moose,2
congress,2
coffee,2
stump,2
damage,2
consideration,2
space,2
kind,2
control,2
writer,2
charter,2
pause,2
