count,lemma
24,""
14,water
12,man
11,luck
11,child
11,coffee
10,house
9,room
9,friend
9,paper
9,home
9,food
9,peace
7,chair
7,news
7,money
7,gun
7,drink
6,woman
6,cup
6,eye
6,way
5,tray
5,tea
5,people
5,life
5,thing
5,tear
5,subject
5,bottle
5,ice
5,justice
5,wife
5,hand
5,gift
5,piece
4,world
4,present
4,light
4,father
4,flower
4,end
4,joy
4,place
4,well
4,bag
4,land
4,stuff
3,beauty
3,table
3,enemy
3,bowl
3,kind
3,wine
3,pair
3,chocolate
3,rifle
3,whole
3,other
3,bill
3,change
3,message
3,cake
3,boat
3,work
3,face
3,business
3,city
3,maid
3,gold
3,order
3,offering
3,happiness
3,head
3,state
3,hamper
3,live
3,freedom
3,trouble
3,town
3,mind
3,road
3,idea
3,bread
2,one
2,law
2,prisoner
2,throat
2,youth
2,health
2,rain
2,drue
2,evil
2,agent
2,sorrow
2,ewer
2,lettuce
2,force
2,can
2,luncheon
2,redeye
2,plane
2,confusion
2,canary
2,reality
2,package
2,boy
2,bird
2,soup
2,fire
2,step
2,stop
2,towel
2,scene
2,body
2,report
2,greeting
2,point
2,police
2,heart
2,salt
2,memory
2,letter
2,cream
2,rear
2,poem
2,view
2,skin
2,kermit
2,sight
2,ruin
2,lord
2,music
2,cane
2,trade
2,fruit
2,plague
2,arm
2,car
2,brother
2,bathrobe
2,tank
2,dinner
2,nurse
2,word
2,charge
2,medicine
2,leaf
2,girl
2,proposition
2,whiskey
2,valley
2,sweat
2,office
2,supper
2,mother
2,weight
2,cold
2,country
2,attention
2,lanny
2,bolt
2,death
2,relief
2,fight
2,roll
2,back
2,matter
2,arrow
2,mistress
2,comfort
2,coat
2,liquor
2,promise
2,baby
2,purse
2,picture
2,box
2,beast
2,truck
2,pot
2,evidence
1,newsreel
1,unity
1,think
1,cigarette
1,care
1,howl
1,reason
1,fish
1,assembly
1,hauptstadt
1,half
1,mammie
1,cholera
1,slug
1,demand
1,strike
1,consciousness
1,coolness
1,hate
1,finding
1,himinto
1,gin
1,cry
1,bullet
1,daiquiri
1,photograph
1,court
1,charm
1,folder
1,era
1,attack
1,hunger
1,refinery
1,ticket
1,passport
1,handkerchief
1,port
1,society
1,powder
1,reward
1,clean
1,dough
1,foot
1,hair
1,lagoon
1,thump
1,bow
1,parable
1,nation
1,hack
1,stream
1,fear
1,incense
1,hale
1,mark
1,spring
1,stranger
1,panther
1,gangway
1,caravan
1,thirst
1,loaf
1,wind
1,notion
1,chain
1,help
1,halt
1,self-consciousness
1,creature
1,breakfast
1,queer
1,stretcher-bearer
1,revolver
1,classmate
1,maple
1,steak
1,parent
1,lehigh
1,scent
1,record
1,cannon
1,beach
1,sea
1,cow
1,decision
1,material
1,guardian
1,--
1,alexia
1,leap
1,shear
1,handful
1,marriage
1,object
1,carney
1,lamp
1,fron
1,incident
1,celeste
1,battle
1,grandniece
1,you
1,wing
1,pamphlet
1,driller
1,price
1,butt
1,scapegoat
1,tobias
1,press
1,tribute
1,power
1,brightness
1,study
1,diet
1,deluge
1,hobo
1,uncle
1,band
1,microphone
1,set
1,witch
1,official
1,soldier
1,experience
1,pain
1,bar
1,barrat
1,mouth
1,ranch
1,hut
1,knee
1,papa
1,size
1,alertness
1,ax
1,lunchbox
1,vintage
1,champagne
1,harlot
1,proof
1,telephone
1,chariot
1,fringe
1,jump
1,tiding
1,heaven
1,breeze
1,specialist
1,cattle
1,shot
1,hardware
1,posy
1,frog
1,tsetse
1,camera
1,obelisk
1,inquirer
1,detective
1,solange
1,earring
1,trial
1,platoon
1,muzzle
1,chip
1,whitefish
1,hame
1,family
1,load
1,intention
1,steamship
1,lover
1,tribune
1,jag
1,cherry
1,ship
1,decanter
1,fodder
1,essay
1,member
1,contraband
1,corsage
1,lunch
1,gulch
1,pillow
1,fragment
1,chance
