count,lemma
7,man
6,world
5,credit
5,situation
5,amount
5,state
4,money
4,people
4,stir
4,life
4,""
4,demand
3,bank
3,board
3,condition
3,public
3,sensation
3,group
3,unemployment
3,energy
3,policy
3,value
3,society
3,labor
3,power
2,use
2,tension
2,ship
2,sport
2,wealth
2,mood
2,anarchy
2,uncertainty
2,interest
2,community
2,atmosphere
2,kind
2,live
2,fund
2,absence
2,act
2,want
2,idea
2,diversion
2,history
2,equality
2,friction
2,character
2,impression
2,concern
2,country
2,good
2,management
2,image
2,air
2,train
2,experiment
2,traffic
2,government
2,incident
2,right
2,prize
2,commission
2,business
2,excuse
2,form
2,president
2,law
2,instrument
2,thing
1,disappearance
1,ceiling
1,landscape
1,war
1,mystery
1,authority
1,task
1,record
1,staple
1,place
1,concerto
1,project
1,--
1,program
1,area
1,fiat
1,end
1,breach
1,link
1,marriage
1,trout
1,case
1,sound
1,vogue
1,volume
1,operate
1,balance
1,ideal
1,impasse
1,bloc
1,maladjustment
1,inferno
1,window
1,dissatisfaction
1,paper
1,distance
1,disorganization
1,automobile
1,shooting
1,process
1,bill
1,danger
1,cardinal
1,border
1,employment
1,machine
1,article
1,present
1,fellow
1,phenomenon
1,snowdrift
1,food
1,hardship
1,oneness
1,manufacturing
1,circumstance
1,front
1,stock
1,czechoslovak
1,breeze
1,difficulty
1,security
1,adjustment
1,professor
1,order
1,relief
1,shade
1,mean
1,ritual
1,philanthropy
1,angle
1,service
1,son
1,hookworm
1,masterpiece
1,class
1,family
1,potomac
1,force
1,dualist
1,corner
1,standard
1,job
1,whole
1,failure
1,average
1,boy
1,sunshine
1,shortage
1,organism
1,issue
1,chairman
1,fever
1,mass
1,reader
1,zone
1,peasantry
1,discontent
1,competition
1,debt
1,clique
1,market
1,purchase
1,network
1,buy
1,event
1,oasis
1,frenzy
1,number
1,hospitality
1,flyer
1,decoration
1,scandal
1,movement
1,indebtedness
1,post
1,land
1,share
1,consumer
1,past
1,general
1,munition
1,antitoxin
1,work
1,oil
1,army
1,legislation
1,trust
1,utility
1,novel
1,sense
1,corporation
1,system
1,problem
1,secret
1,reputation
1,figure
1,center
1,beaver
1,eviction
1,behavior
1,mail
1,runt
1,miracle
1,attention
1,storm
1,need
1,duty
1,nature
1,civilization
1,blood
1,overthrow
1,offense
1,existence
1,freedom
1,think
1,child
1,sonata
1,auditor
1,population
1,method
1,company
1,department
1,organization
1,self-pity
1,attitude
1,music
1,secrecy
1,mural
1,fighter
1,sentiment
1,citizen
1,internationalism
1,moder
1,lend
1,continent
1,party
1,imagination
1,luxury
1,author
1,prejudice
1,finance
1,deficit
1,collapse
1,rank
1,tendency
1,gambling
1,gallery
1,era
1,attack
1,treasury
1,sect
1,wesson
1,wrath
1,glory
1,industry
1,habit
1,commodity
1,bee
1,strain
1,nation
1,weltanschauung
1,irrigation
1,will
1,duke
1,kinship
1,bond
1,person
1,spectacle
1,illusion
1,death
1,foreign-exchange
1,bull
1,laboratory
1,gap
1,committee
1,economy
1,mind
1,militia
1,production
1,plan
1,chaos
1,vote
1,censorship
1,monopoly
1,one
1,radical
1,dissension
1,arab
1,plenty
1,sign
1,courtier
1,complaint
