count,lemma
12,problem
10,condition
6,interest
6,system
6,force
5,""
5,world
4,picture
4,job
4,part
4,impression
4,situation
4,labor
4,capital
4,railroad
3,difficulty
3,vacuum
3,purpose
3,effort
3,government
3,act
3,relationship
3,society
3,memory
3,state
3,empire
3,heat
2,one
2,tool
2,community
2,number
2,image
2,place
2,program
2,threat
2,confusion
2,process
2,traffic
2,zone
2,resource
2,demand
2,product
2,effect
2,school
2,psychology
2,monopoly
2,wealth
2,law
2,mythology
2,machine
2,afrs
2,public
2,position
2,saving
2,network
2,discontent
2,bay
2,difference
2,furor
2,army
2,factory
2,series
2,judge
2,health
2,air
2,body
2,field
2,labour
2,climate
2,need
2,nuisance
2,material
2,science
2,shortage
2,illusion
2,agency
2,split
1,sort
1,steppe
1,campus
1,schism
1,price
1,efficiency
1,scarcity
1,skill
1,burden
1,press
1,democracy
1,flow
1,water
1,environment
1,power
1,wall
1,to-do
1,design
1,flash
1,flat
1,institutionalism
1,poetry
1,home
1,hole
1,bar
1,sconce
1,myth
1,character
1,frontier
1,article
1,stalemate
1,present
1,temperature
1,administrator
1,congress
1,forum
1,unemployment
1,reference
1,site
1,merchandise
1,size
1,washboard
1,suction
1,projection
1,circumstance
1,payment
1,amount
1,action
1,release
1,lending
1,artificer
1,structure
1,sprinkler
1,order
1,security
1,serjeant
1,king
1,supply
1,scratch
1,initial
1,student
1,increase
1,curio
1,ruralurban
1,hydrolysis
1,penalty
1,independence
1,refugee
1,proletariat
1,advantage
1,foul-smelling
1,tie
1,class
1,money
1,family
1,regulation
1,hit
1,feeling
1,phonograph
1,man
1,rejection
1,draft
1,entry
1,type
1,consistency
1,frame
1,tension
1,copying
1,mass
1,enforcement
1,potential
1,generation
1,behin
1,unsuitability
1,frustation
1,dialogue
1,competition
1,surface
1,rest
1,broadcast
1,removal
1,market
1,kind
1,ellipse
1,parliament
1,complexity
1,control
1,disturbance
1,live
1,absence
1,occasion
1,animal
1,event
1,productivity
1,pattern
1,sequence
1,pressure
1,people
1,ideology
1,scandal
1,doublethink
1,movement
1,majority
1,revolution
1,good
1,shrinkage
1,obligation
1,past
1,respect
1,validity
1,french
1,confidence
1,role
1,interference
1,general
1,work
1,owner
1,symptom
1,fiction
1,turmoil
1,business
1,void
1,utility
1,human
1,self-assurance
1,sense
1,rail
1,corporation
1,propaganda
1,trough
1,boom
1,center
1,counsel
1,union
1,college
1,rod
1,opportunity
1,german
1,culture
1,inflow
1,lignin
1,policy
1,occupation
1,attention
1,source
1,-exhauster
1,operation
1,feel
1,drape
1,bandwagon
1,industrialization
1,affair
1,door
1,middle
1,emergence
1,think
1,governance
1,nine-man
1,malinowski
1,distribution
1,other
1,company
1,organization
1,pleat
1,court
1,limit
1,surplus
1,ticket
1,satisfaction
1,conflict
1,belief
1,board
1,superpower
1,basis
1,kaleidoscope
1,credit
1,matter
1,thirst
1,economy
1,chaos
1,transportation
1,enemy
1,urgency
1,chemical
1,institution
1,base
1,administration
1,transport
1,measure
1,incorporation
1,attitude
1,cell
1,door-opening
1,desire
1,superposition
1,literature
1,knowledge
1,acid
1,hand
1,value
1,steam-engine
1,internationalism
1,way
1,familiarity
1,rule
1,victory
1,party
1,bureaucracy
1,knighthood
1,right
1,philosophy
1,development
1,leverage
1,intervention
1,successor
1,european
1,woman
1,responsibility
1,industry
1,upsurge
1,hazard
1,semblance
1,frankness
1,loan
1,determination
1,chaleur
1,bond
1,cooperative
1,form
1,level
1,education
1,sphere
1,bread
1,production
1,model
1,glass
1,war
1,technology
1,richness
1,record
1,milk
1,migration
1,use
1,bank
1,phase
1,vacation
1,shock
1,classroom
1,speech
1,lamaism
1,craft
1,blacksmith
1,fight
1,performance
1,appeal
1,area
1,temptation
1,peninsula
1,historian
1,news
1,breach
1,drive
1,tax
