count,lemma
4,--
3,illusion
3,""
3,society
2,world
2,event
2,god
2,life
2,feel
2,storm
2,art
2,word
2,way
2,change
1,stir
1,seedling
1,hopefulness
1,story
1,possibility
1,asteroid
1,span
1,fusion
1,texture
1,favorite
1,melancholy
1,updraft
1,persona
1,crisis
1,monster
1,slaughter
1,tran
1,camouflage
1,circumstance
1,confusion
1,bureaucracy
1,zine
1,bit
1,injury
1,stage
1,perfection
1,morbidity
1,samonds
1,order
1,leah
1,hellhound
1,slungshot-
1,costume
1,other
1,martyr
1,dust
1,mankind
1,schaefer
1,class
1,impression
1,desert
1,fission
1,pariah
1,gravity
1,energy
1,shadow
1,sweat
1,bludgeon
1,scene
1,hair
1,damage
1,strain
1,destruction
1,peasant
1,crater
1,nation
1,explanation
1,envy
1,fountain
1,will
1,chance
1,dedrick
1,hollow
1,park
1,pink
1,death
1,foodstuff
1,backdrop
1,country
1,chaos
1,vacuum
1,enemy
1,oasis
1,monopoly
1,people
1,goyim
1,predator
1,camaraderie
1,bogyman
1,institution
1,image
1,homesickness
1,leave
1,female
1,place
1,lightning
1,phase
1,athe
1,mood
1,area
1,cloud
1,race
1,result
1,screening
1,train
1,system
1,ambience
1,beauty
1,window
1,surgery
1,cell
1,voice
1,feast
1,plastic
1,defender
1,colony
1,individual
1,ministry
1,power
1,field
1,male
1,code
1,elite
